U+1228F	𒊏	ẓi, zzi, RA, rah2
U+12182	𒆂	giguru, šeg10, dilib2, giguru3
U+12192	𒆒	KAD4, karaₓ, peš5, kam3, šed5, unu9
U+121A2	𒆢	ḪABRUD, habruda
U+121B2	𒆲	KUN
U+121C2	𒇂	sidug
U+121D2	𒇒	kunin, esir2
U+121E2	𒇢	
U+121F2	𒇲	LA2, LAL, sur5, lá, LÂ
U+12103	𒄃	GEL, GI16, GIB, GIL, GILIM, GE16
U+12113	𒄓	ziz4
U+12123	𒄣	GUM, KUM, NAĜA4, QUM, GAZ₂, GAZ2, ḳum, qu2
U+12133	𒄳	gukin2
U+12143	𒅃	kiši11
U+12153	𒅓	IMIN
U+12163	𒅣	
U+12173	𒅳	
U+12183	𒆃	ŠUDU2, burx, šud3
U+12193	𒆓	KAD5, PEŠ6, banšur2, banšur3, karaₓ
U+121A3	𒆣	kislah2
U+121B3	𒆳	KAR, sad, lat, mat, šad, GIN3, KUR, GUR₁₆, GUR16, rašu, zizanu, sat
U+121C3	𒇃	
U+121D3	𒇓	esirhia
U+121E3	𒇣	bara8, šara3, šurun2
U+121F3	𒇳	lal2, la&#x27;u
U+12104	𒄄	GI4, QI4, ge4, esir5
U+12114	𒄔	
U+12124	𒄤	GAZ, NAĜA3, GAZ₂, naga3
U+12134	𒄴	H, úH, A&#x27;, AḪ, EḪ, IḪ, NUMUN3, UḪ, UMUN3, gudux, uman, Aʾ, aᵓ, &#x27;, ‘
U+12144	𒅄	
U+12154	𒅔	EN6, IN, ISIN2, gir12
U+12164	𒅤	PU3, kana6, puzur5, tugure
U+12174	𒅴	EME, eme
U+12184	𒆄	
U+12194	𒆔	
U+121A4	𒆤	GE2, GI2, KID, KUP4, LIL2, KE4b, kit2, sah, líl, sah5
U+121B4	𒆴	lamhu
U+121C4	𒇄	sidug2
U+121D4	𒇔	NIGIN, niĝin6
U+121E4	𒇤	
U+121F4	𒇴	LAM, eš22, ešx
U+12105	𒄅	GIGI
U+12115	𒄕	GUR17
U+12125	𒄥	GUR, qur
U+12135	𒄵	BIR, ellag2, ellaĝ2, giriš, zanzana
U+12145	𒅅	IK, GAL2, ĜAL2, IG, IQ, TAK₄, ek, EQ, iḳ, GÁL
U+12155	𒅕	ṢA, ssa, IR, ER, ir7
U+12165	𒅥	GU7, ku2
U+12175	𒅵	
U+12185	𒆅	
U+12195	𒆕	DÙ, qaq, DA3, DU3, GAG, KAK, šukur, kuksu2, henbur, ru2
U+121A5	𒆥	ḳin, QI, qe, GUR10, KIĜ2, KIN, SAGA11, gukin, sig18, kig2, sag11, šig
U+121B5	𒆵	KUŠU2, UḪ3, aššatum
U+121C5	𒇅	buniĝ2, bunin2, immindu2
U+121D5	𒇕	
U+121E5	𒇥	GIGIR2, PU2, gigir2, bul5, buru16, dul2, hab2, bu6, ub4, gala3, kala3, TUL2
U+121F5	𒇵	
U+12106	𒄆	
U+12116	𒄖	GU
U+12126	𒄦	GUR7, GURU7, guru₇
U+12136	𒄶	DUBUR2, ellaĝx, šaru
U+12146	𒅆	si3, szi, IGI, LIM, ŠI, lib4, IL₂, GAN₂@t, MUŠ₃@g, sag10, saĝ-ki, se28, suku5, ge8, še20
U+12156	𒅖	IS, IŠ, sahar, kuš7, mel, ukum, milla, kukkuš
U+12166	𒅦	
U+12176	𒅶	emeĝarx
U+12186	𒆆	zukura
U+12196	𒆖	
U+121A6	𒆦	KISAL, giparₓ, giparx, ĝiparx, ĝiparₓ, gešgiparx, kis
U+121B6	𒆶	ḪIRINX
U+121C6	𒇆	ganam5, dabx, šurum3
U+121D6	𒇖	AKKAN3, ellamkuš2
U+121E6	𒇦	ABLAL3, UMAḪ
U+121F6	𒇶	ARATTA
U+12107	𒄇	GIDIM, gidim2
U+12117	𒄗	SUḪ3, sah4
U+12127	𒄧	
U+12137	𒄷	ḪU, MUŠEN, U11, dalx, ḪUL2, bu3, pag, ka6, mucen
U+12147	𒅇	U3, KU₄, ù
U+12157	𒅗	hurx, DU11, DUG4, GA14, GIRI17, GU3, INIM, KA, KIR4, PI4, SU11, ŠUDX, ZU2, ZUḪ, šeg10, šeg11, e7, kiri3, giri17, i5, zug2, zug₂, kiši4, kag2, gur14, murum, saĝĝar2, saguš, šilig6, UŠ₂, SUD₂, šar2-šar2, šed15, šušu, ug7, unkin, mar6, zu2, pî, pī, ZÚ, kipar, enim
U+12167	𒅧	
U+12177	𒅷	
U+12187	𒆇	
U+12197	𒆗	SUN7, ALAD2, DAN, ESI, ĜURUŠ, KAL, KALAG, LAMMA, RIB, ZI8, nap, sig15, la6, sag8, silim2, ursub2, zurzub2, ḳal, lab, dannu
