status	glyphs	meaning	note	similar_in_my_dictionary
missing_attested	𓏞 𓏲 𓍼 𓏤 𓂧 𓅱 𓏏 𓂷 𓂡	draft; sketch; ink drawing (hieratic)	sS qdwt (noun) [vygus] ~approx	
missing_attested	𓏟 𓅱 𓏏	outline Scribe	sS qdwt, sXA qdwt (noun) [vygus] ~approx	
missing_attested	𓏞 𓋴 𓎛 𓆰 𓈖 𓏜 𓀜	Administrative Scribe	sS sHn (noun) [vygus]	
missing_attested	𓏞 𓎘 𓎛 𓏲 𓏋 𓏫	Scribe of the Offering table	sS wDHw (noun) [vygus]	
missing_attested	𓊃 𓈙 𓏲 𓏭 𓍢 𓍢	two (linen) pads; splints ?	sS.wy (noun) [vygus]	𓊃 𓈙 𓄿 𓏮 𓀁 = pray (line 11710) ; 𓊃 𓈙 𓄿 𓏮 𓀁 = pray (to) (line 11908)
missing_attested	𓋴 𓈙 𓄿	action	sSA (noun) [vygus]	𓋴 𓈙 𓄿 𓏏 𓁐 = (divinity) Seshat (goddess) (line 13098) ; 𓋴 𓈙 𓄿 𓏏 𓅆 = (divinity) Seshat (goddess) (line 14601)
missing_attested	𓋴 𓈙 𓄿 𓏏 𓍢	tow rope	sSAt (noun) [vygus]	𓋴 𓈙 𓄿 𓏏 𓁐 = (divinity) Seshat (goddess) (line 13098) ; 𓋴 𓈙 𓄿 𓏏 𓅆 = (divinity) Seshat (goddess) (line 14601)
missing_attested	𓋴 𓈙 𓄿 𓏳	(unknown)	sSAt (none) [vygus]	𓋴 𓈙 𓄿 𓏏 𓁐 = (divinity) Seshat (goddess) (line 13098) ; 𓋴 𓈙 𓄿 𓏏 𓅆 = (divinity) Seshat (goddess) (line 14601)
missing_attested	𓋴 𓈙 𓏏	(an oil)	sSAt (noun) [vygus]	𓋴 𓈙 𓏏 𓍔 𓄿 𓏜 = (adj.) secret (line 14621) ; 𓋴 𓈙 𓏏 𓍔 𓄿 𓏜 = make secret, mysterious, make inaccessible (line 14622)
missing_attested	𓋴 𓆷 𓄿 𓅱 𓏯 𓀁	(in) contrast to; (as) opposed to	sSAw (none) [vygus]	𓋴 𓆷 𓄿 𓀃 = pray (line 11711) ; 𓋴 𓆷 𓄿 𓀃 = pray (to) (line 14131)
missing_attested	𓊃 𓈙 𓈙 𓈖	lotus flower	sSSn (noun) [vygus]	𓊃 𓈙 𓈙 𓈖 𓆸 = lotus (line 11924)
missing_attested	𓋴 𓈙 𓂧 𓆊	(unknown)	sSd (none) [vygus]	𓋴 𓈙 𓂧 𓏏 𓉐 = shrine (of falcon) (line 14599)
missing_attested	𓋴 𓄞 𓏛 𓆄 𓏏 𓏭 𓋛	double feathered crown	sSd Swty (noun) [vygus]	𓋴 𓄞 𓏛 = put a fillet on (someone) (line 13748)
missing_attested	𓊃 𓄞 𓂧 𓇶 𓇼 𓀭 𓏥	shooting star	sSdw (noun) [vygus]	𓊃 𓄞 𓂧 𓏏 𓉐 = shrine (of falcon) (line 11607)
missing_attested	𓋴 𓄞 𓂧 𓇶	shooting; flashing	sSdw, sSd (verb) [vygus]	𓋴 𓄞 𓂧 𓁻 𓉐 = window (line 13736) ; 𓋴 𓄞 𓂧 𓁻 𓉐 = window (line 13737)
missing_attested	𓋴 𓈙 𓂧 𓅱 𓂃 𓂃 𓂃	hairs	sSdw (noun) [vygus]	𓋴 𓈙 𓂧 𓏏 𓉐 = shrine (of falcon) (line 14599)
missing_attested	𓊃 𓈙 𓂧 𓏲 𓏭 𓍼 𓍼	two bands (of linen)	sSdwy (noun) [vygus]	𓊃 𓈙 𓂧 𓅱 𓂐 𓏥 = drops (of moisture) (line 11902)
missing_attested	𓋴 𓌬 𓊛	Barque (for carrying the Idol)	sSm (noun) [vygus] ~approx	𓋴 𓌬 = guidance (line 14819) ; 𓋴 𓌬 = ruler, leader (line 14832)
missing_attested	𓌬 𓏤	pledget (wad of material for a wound); tampon	sSm (noun) [vygus]	
missing_attested	𓌭	to conduct investigation ?	sSm (verb) [vygus]	
missing_attested	𓌭 𓅓 𓏏 𓂻	routing; line (of vascular system)	sSm (noun) [vygus]	
missing_attested	𓌭 𓏯 𓏯 𓏯 𓀁	to find out about	sSm (verb) [vygus]	
missing_attested	𓋴 𓈝 𓎱 𓈖 𓇋 𓏠 𓈖	Festival Leader of Amun	sSm n imn (noun) [vygus]	
missing_attested	𓌬 𓇾	(a Priestly Title); Director in District Administration	sSm tA (noun) [vygus]	
missing_attested	𓌭 𓊃 𓄓 𓏤	ritual directions	sSm xs (noun) [vygus] ~approx	
missing_attested	𓋴 𓌬 𓂤	Portable Barque; Processional Barque	sSm xw (noun) [vygus] ~approx	𓋴 𓌬 = guidance (line 14819) ; 𓋴 𓌬 = ruler, leader (line 14832)
missing_attested	𓌬 𓌬 𓏲 𓏭	two swabs	sSm.wy (noun) [vygus]	𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 𓌬 =  (line 16263)
missing_attested	𓊃 𓈙 𓌬 𓏏 𓉐	Seshmet Hall (in the Hereafter)	sSmt (noun) [vygus] ~approx	𓊃 𓈙 𓄿 𓏮 𓀁 = pray (line 11710) ; 𓊃 𓈙 𓄿 𓏮 𓀁 = pray (to) (line 11908)
missing_attested	𓊃 𓌫 𓅓 𓇋 𓇋 𓏏 𓂻 𓁐	the female leader (of uraeus snake)	sSmt (noun) [vygus]	
