⪕	⪖ # SLANTED EQUAL TO OR LESS-THAN
⪖	⪕ # SLANTED EQUAL TO OR GREATER-THAN
⪗	⪘ # SLANTED EQUAL TO OR LESS-THAN WITH DOT INSIDE
⪘	⪗ # SLANTED EQUAL TO OR GREATER-THAN WITH DOT INSIDE
⪙	⪚ # DOUBLE-LINE EQUAL TO OR LESS-THAN
⪚	⪙ # DOUBLE-LINE EQUAL TO OR GREATER-THAN
⪛	⪜ # DOUBLE-LINE SLANTED EQUAL TO OR LESS-THAN
⪜	⪛ # DOUBLE-LINE SLANTED EQUAL TO OR GREATER-THAN
⪝	⪞ # [BEST FIT] SIMILAR OR LESS-THAN
⪞	⪝ # [BEST FIT] SIMILAR OR GREATER-THAN
⪟	⪠ # [BEST FIT] SIMILAR ABOVE LESS-THAN ABOVE EQUALS SIGN
⪠	⪟ # [BEST FIT] SIMILAR ABOVE GREATER-THAN ABOVE EQUALS SIGN
⪡	⪢ # DOUBLE NESTED LESS-THAN
⪢	⪡ # DOUBLE NESTED GREATER-THAN
⪦	⪧ # LESS-THAN CLOSED BY CURVE
⪧	⪦ # GREATER-THAN CLOSED BY CURVE
⪨	⪩ # LESS-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL
⪩	⪨ # GREATER-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL
⪪	⪫ # SMALLER THAN
⪫	⪪ # LARGER THAN
⪬	⪭ # SMALLER THAN OR EQUAL TO
⪭	⪬ # LARGER THAN OR EQUAL TO
⪯	⪰ # PRECEDES ABOVE SINGLE-LINE EQUALS SIGN
⪰	⪯ # SUCCEEDS ABOVE SINGLE-LINE EQUALS SIGN
⪱	⪲ # [BEST FIT] PRECEDES ABOVE SINGLE-LINE NOT EQUAL TO
⪲	⪱ # [BEST FIT] SUCCEEDS ABOVE SINGLE-LINE NOT EQUAL TO
⪳	⪴ # PRECEDES ABOVE EQUALS SIGN
⪴	⪳ # SUCCEEDS ABOVE EQUALS SIGN
⪵	⪶ # [BEST FIT] PRECEDES ABOVE NOT EQUAL TO
⪶	⪵ # [BEST FIT] SUCCEEDS ABOVE NOT EQUAL TO
⪷	⪸ # [BEST FIT] PRECEDES ABOVE ALMOST EQUAL TO
⪸	⪷ # [BEST FIT] SUCCEEDS ABOVE ALMOST EQUAL TO
⪹	⪺ # [BEST FIT] PRECEDES ABOVE NOT ALMOST EQUAL TO
⪺	⪹ # [BEST FIT] SUCCEEDS ABOVE NOT ALMOST EQUAL TO
⪻	⪼ # DOUBLE PRECEDES
⪼	⪻ # DOUBLE SUCCEEDS
