nu ¬ !!!,𒉡,𒉡,𒉡,𒉡,no on:man! nge njet 𐎙GHAIN kein!,The 'nu' in MUNUS 𒊩  女~𒉡 <> 𒈠 ma:no!,,,𐎙GHAIN ,kein!,,,,,,,,,,,,,,,,,,,,,,,
ḪI ḫo High HEILU𓇳𒀭ŠÁRA𒊹Kircil,𒄭,𒄭,𒄭,𒄭,CI! 𓇳Hel 𒄯=(t)he! cyr𒄮SÙR,mix : DUG=good <> Geo Ki Heim/HouSa solar vs 𒐼	,cyr 𒄮SÙR kou口!sol𒄭šhel 𒄮 𒄯 same 𒄰 𒄱 𒄲 𒄳 𒄴 𒄵 𒄶=ŠÁR×U:SHARU=36.000,vs 𒋝 SIG (sic!) 𓇳𒄭𒄵HI×SHE=horizon!   hao=好号,,,,,,,,,,,,,,,,,,,,,,,,,
Pa pha pi bea ḫadt 𓌂 sceptre!,𒉺,𒉺 vs 𒃰,𒉺,𒉺,1. pa:punch,bat,beat 𐎔 PU! 𐎲Ba,pta:wing fore(man)! face <>𒁀part male  𒋰dab:double / bi ,pHat=head 1st 匹 pǐ π vs CUT 𒃰 vs ES 𒄑,"PhR 𓁶 foreHead   vs 𓁷 obHerr leader Bhlai? 𒉺𒉡 Vor-her? GIDRU ""staff, sceptre"", UGULA ""overseer"", GARZA ""office""",𐎔 PU!,𐎲Ba 𐎳 Fa! 𐎱Pa,,,,,,,,,,,,,,,,,,,,,
po/pu,𒇥,𒇥,𒇥,𒇥,pu pool 𓊪 pond!  𐎳 Fa 𐎱Pa? 𓌂?,pool! 𓊪 pond vs 𒆸 KUR ! garden 𒊬 cyr | shar=green, 𒆸(en)CIRcle KUR kou口 = mouth vs 𒆹marsh    𒇥PU <> *KU 𒆸 <> 𒇻LU Licht,Loch,Lake,lack,Lache U->O𒆸,,,𐎱Pa?? 𓌂?,,,,,,,,,,,,,,,,,,,
UB (q)up,𒌒,𒌒,𒌒,𒌒,𐎖 QOPA!? 𐎤 Ku  𒊮*qHeart ŠÀG <> IB,corner, fame, praise, ruin    UP vs High𒄭 qup!,acker area AR 𒌒 <> mund/mound? praise, ruin,,𐎖 QOPA!?,𐎤 Ku,,,,,,,,,,,,,,,,,,,
qu ku (DÚR, TUKUL, TUŠ) ,𒆪,𒆪,𒆪,𒆪,𒋡QA:Ka 𐎤 Ku qu cu zu su Túch 𒌆 !?,coutch:sit rump KuRA 日 曰 <> kou口 Ku  𒆸 KUR ! garden  𒊬 cyr | shar=green,<>squarea,,,𐎤 Ku,,,,,,,,,,,,,,,,,,,,,
ru+,𒊒,𒊒,𒊒,𒊒,ruND(er) raus ruin 𒊒𒄿,runter-fall release 𓌚 throw boomerang,round!  𒅆𒊒=find 'pad3,igi*ru',,,,,,,,,,,,,,,,,,,,,,,,,
R RE- rib ro ru UR Ḫ𓎛,𒊑,𒊑,𒊑,𒊑,𓄦 𓂋 Ort LIP 𐎍 Lamda L/R/M 𐎼 RA → Ḫḫ 𒄷 Hu,re- rà 𓂋 Ort 𓂝 reich:give,put! RE: king,rib 𓄦 𓄨 𓄭 𓄮  <> 𒊑 → 𒅈 'ar',,𐎍Lamda L/R/M,𐎼 RA,,,,,,,,,,,,,,,,,,,,,,
Rad/t  (SUD,ŠÌTA),𒋥,𒋥,𒋥,𒋥,𒈥MaRad!𒋥 𐎶Ma𐎾Ra 𓈗𒁹 ~ 𒈠,R+di 𒋥≠𒋾 grind,𒈥MaRad!𒋥 𐎶Ma𐎾Ra 𓈗𒁹 MAR𒈠,,,,,,,,,,,,,,,,,,,,,,,,,
Sic σ pSi ψ See 𒈣=ship  צ ,𒋛,𒋛,𒋛,𒋛,𝞂  𓉔 𒋛𒀀= ShiPo't  𓉐  𓂭  𒈣=𓊛⾈ <> 𒈠MarTa,Finger / Fill-Horn-Vieh 𓆑φ <> JI 角 jiǎo  指 zhǐ finger zig 𓂭 𒅊10.000 𓄏 Horn𓆑ƒieh  fill:ferry,HoSiRamOs𐦜𐇩𓄏  𒀉 kuru~keras<<   sé=ZI sú=ZU šu 駒 jū Fohlen füllen/Flut 充/洪 cHóng  𒈣=ship/boat/mare𓊛⾈zhou,≠ Kher.os Kerbe carve  𒋛~𝞂 psolar pither?  'siru'=bisra(meat) ψ psiru qed    𒄷≠𒋛≠𒈠Mar<?> 𒌨𒈤=𓌳𓅱𓃬?,𒍑 G Š 𓋴 !,,,,,,,,,,,,,,,,,,,,,,,,
Σ Sain,𒊓 ,𒊓 ,𒊓 ,𒊓 ,<> Hall 𒂍 heikhál ?,Sehne, sinew : string / net <>𒌆 TUCH 𒁖DAG~Dach~Haus <> E 𒂍!!,zuSam ,,,,,,,,,,,,,,,,,,,,,,,,,
Σ eš  ES <> 'C' 𒄑 ß,𒌍 𒐁 𒊺,𒌍 𒐁,𒌍 𒐁,𒌍 𒐁,30 ! 𒀼 ≠ 𒐈 3 𐏏earth 𐎗Ras 𐎿SA ,eš 𒌍 𒐁 ≠ Σ še𒊺 shu sea ocean  MEŠ 𒈨𒌍 : plural   <> 𒍝 za,-> AS 𒐁𒀼 𒐈 '3' EŠ5 vs 𒑈𒑉 '9' !!! vs ŠÁR KURt GUR!  Gerste𒊺Schekel!,𒀾 ES eszi = esse = to-be,𐎗 Rash,𐎿 SA ,,,,,,,,,,,,,,,,,,,,,,,
Šar šá ,𒐼𒃻,𒐼𒃻,𒐼𒃻,𒐼 𒃻,𒃻šá ~ 𒐼Šar  ~ 𒋩aShur 𒉻paṭ  𐎌 SHIN 𐎰 THA  ,zu aus !  𒃻sa,su:IHR  Sar Schar see Gar  SI see  𒋛 Shar!  𒋩aShur! ,,,,,,,,,,,,,,,,,,,,,,,,,,
ŠÀ šag SHA ≠ SI CY CIT *qḪT –,𒊮,𒊮,𒊮,𒊮,sacred city circle center heart 𒄯cœur ,shock: see šag SackHaar ,) 𒊭 sag=heart 𒄯ḪAR hut *qhat qvart, CI see 𒄭 ḪI  𒄮SÙR ,,,,,,,,,,,,,,,,,,,,,,,,,
