Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	
man		94133	4.9737	96.02	3.9061	Noun	93487	1.00	Noun.Verb.Name	93487.401.45
where		93341	4.9701	98.47	3.9170	Adverb	74019	0.80	Adverb.Conjunction.Noun	74019.18859.2
them		90720	4.9577	97.31	3.9118	Pronoun	90627	1.00	Pronoun.Noun	90627.2
would		90162	4.9550	98.57	3.9175	Verb	112976	1.00	Verb.Noun	112976.5
been		88573	4.9473	98.49	3.9171	Verb	88499	1.00	Verb.Noun	88499.23
some		88089	4.9449	98.58	3.9175	Determiner	87985	1.00	Determiner.Pronoun.Noun	87985.26.2
hey		88079	4.9449	89.89	3.8774	Interjection	87630	1.00	Interjection	87630
tell		87949	4.9442	96.82	3.9097	Verb	87756	1.00	Verb.Name.Noun	87756.62.4
or		86970	4.9394	98.22	3.9159	Conjunction	86354	1.00	Conjunction	86354
had		85472	4.9318	98.04	3.9151	Verb	88465	1.00	Verb.Noun.Name	88465.37.1
were		84804	4.9284	98.20	3.9158	Verb	91818	1.00	Verb.Adverb.Noun	91818.78.2
say		83629	4.9224	98.13	3.9155	Verb	83066	0.99	Verb.Noun.Adverb.Name	83066.418.40.2
could		83109	4.9197	98.15	3.9156	Verb	99800	1.00	Verb.Noun	99800.2
didn		80623	4.9065	97.32	3.9119	Verb	189	0.49	Verb.Noun.Name	189.188.12
down		76004	4.8808	97.29	3.9118	Adverb	70578	0.93	Adverb.Preposition.Noun.Adjective.Verb.Name	70578.4311.441.261.167.130
then		75966	4.8806	98.41	3.9168	Adverb	75737	1.00	Adverb.Adjective.Noun	75737.73.9
little		73766	4.8679	96.23	3.9070	Adjective	46077	0.63	Adjective.Adverb.Determiner.Name.Noun	46077.23682.3524.394.1
way		72661	4.8613	98.02	3.9150	Noun	71592	0.99	Noun.Adverb.Preposition.Name	71592.899.94.6
our		71425	4.8539	96.72	3.9092	Pronoun	71338	1.00	Pronoun.Noun	71338.3
make		70775	4.8499	97.94	3.9147	Verb	70408	1.00	Verb.Noun.Name	70408.299.1
too		69950	4.8448	97.76	3.9139	Adverb	69878	1.00	Adverb.Noun	69878.2
never		69490	4.8419	97.26	3.9116	Adverb	69386	1.00	Adverb	69386
by		68364	4.8348	97.79	3.9140	Preposition	61855	0.91	Preposition.Adverb.Noun	61855.6408.8
over		67488	4.8292	97.41	3.9123	Adverb	46641	0.69	Adverb.Preposition.Noun.Adjective.Name	46641.20492.249.39.1
more		66228	4.8210	97.48	3.9126	Determiner	36781	0.56	Determiner.Adverb.Noun	36781.29364.1
mean		63443	4.8024	95.76	3.9049	Verb	61291	0.97	Verb.Adjective.Noun	61291.1956.151
very		63304	4.8014	93.74	3.8956	Adverb	60616	0.96	Adverb.Adjective.Noun	60616.2616.2
off		60155	4.7793	96.07	3.9063	Adverb	42420	0.71	Adverb.Preposition.Adjective.Noun	42420.17363.332.1
mr		60098	4.7789	73.43	3.7896	Noun	10536	1.00	Noun	10536
sorry		59566	4.7750	94.46	3.8989	Adjective	59455	1.00	Adjective.Noun	59455.2
give		59559	4.7750	96.42	3.9079	Verb	59457	1.00	Verb.Noun	59457.2
thank		56877	4.7549	92.87	3.8916	Verb	56748	1.00	Verb	56748
love		56864	4.7548	87.95	3.8679	Verb	35886	0.63	Verb.Noun.Name	35886.20850.77
said		56531	4.7523	95.68	3.9046	Verb	56297	1.00	Verb.Adjective.Name.Noun	56297.155.43.8
am		56438	4.7516	95.17	3.9022	Verb	49133	0.98	Verb.Adverb.Noun	49133.1182.3
people	Pöbel	56252	4.7501	94.05	3.8971	Noun	56170	1.00	Noun.Name	56170.2
please	<<	56149	4.7493	93.43	3.8942	Adverb	54802	0.98	Adverb.Verb	54802.1179
sure	sicher!?	56091	4.7489	95.46	3.9035	Adjective	38705	0.69	Adjective.Adverb	38705.17330
