4216	孢	bao1		spore	bāo:孢:⿰子包 zǐ baō							
4037	雹	bao2	balls	hail	báo:雹:⿱雨包 yǔ baō							
266	保	bao3	BAU 	to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard	bǎo:保:⿰亻呆 rén daī							
811	宝	bao3	BUY 贝 币	a jewel or gem/a treasure/precious	baǒ:宝:⿱宀玉 mián yù							
1998	饱	bao3	FILL BAUCH!	to eat till full/satisfied	baǒ:饱:⿰饣包 shí baō							
3988	葆	bao3	BAUM bug	dense foliage/to cover	baǒ:葆:⿱艹保 cǎo baǒ							
1521	堡	bao3/pu4	BAU!	an earthwork/castle/position of defense/stronghold/character used in place names	bǎo:堡:⿱保土 baǒ tǔ							
234	报	bao4	Paoper 📰 wrap	to announce/to inform/report/newspaper/recompense/revenge	baò:报:⿰扌𠬝 shǒu fú							
1028	暴	bao4	BAO! Pao!	sudden/violent/cruel/to show or expose/to injure	暴:暴:⿳日共氺 rì gòng shuǐ							
1122	抱	bao4	BEAR bergen!	'to hold/to carry (in one''s arms)/to hug or embrace/surround/cherish'	bào:抱:⿰扌包 shǒu baō							
1243	爆	bao4	boom	to crack/to explode or burst	bào:爆:⿰火暴 huǒ baò							
2073	鲍	bao4	~/	abalone	baò:鲍:⿰鱼包 yú baō							
2507	豹	bao4	leo.bao: : leopard!  熊 bear	leopard/panther	bào:豹:⿰豸勺 zhì shaó							
3623	刨	bao4/pao2	PLANE	a plane/to plane/level or make smooth/a plane/to plane/eliminate/to dig/to question	páo:刨:⿰包刂 baō dāo							
3195	瀑	bao4/pu4	POUR : Water-baoll (fall)	shower (rain)/waterfall	pù:瀑:⿰氵暴 shui baò							
1166	悲	bei1	bad fei	sad/sadness/sorrow/grief	bēi:悲:⿱非心 feī xīn							
1396	杯	bei1	Becher	cup/a measure word	bēi:杯:⿰木不 mù bù							
2059	卑	bei1	BASE	low/base/vulgar/inferior/humble	bēi:卑:⿱⿻白丿十  baí piě shí							
2203	碑	bei1	BAU!	a monument/an upright stone tablet/stele	bēi:碑:⿰石卑 Shí beī							
787	背	bei1/bei4	BACK	'carry on one''s back/to be burdened/to carry on the back or shoulder/learn by heart/the back of the body'	bèi:背:⿱北月 beǐ yuè							
315	北	bei3	BACK BAI 白 white	north	běi:北:⿰丬匕 qiáng bī							
154	被	bei4	BY	by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear	bèi:被:⿰衤皮 yī pí							
397	备	bei4	By pre*?	to prepare/get ready/to provide or equip	beì:备:⿱夂田 zhǐ tián							
1392	倍	bei4	B2 by 	(two/three/etc) -fold/times (multiplier)/double/to increase or multiply	bèi:倍:⿰亻咅 rén *pǒuke							
1477	辈	bei4	BEI…	contemporaries/generation/lifetime	beì:辈:⿱非车 feī chē							
3007	惫	bei4	Base-platt	exhausted	beì:惫:⿱夂思 zhǐ sī							
3090	狈	bei4	< white wolf!	a legendary wolf/distressed/wretched	beì:狈:⿰犭贝 zhì beì BEÌ							
3148	悖	bei4	bei.verse  re.beil	perverse/rebellious/to rebel	bèi:悖:⿰忄孛 xīn beì/bó							
3858	钡	bei4	barium	barium	beì:钡:⿰钅贝 jīn beì BEÌ							
3922	蓓	bei4	BUD	(flower) bud	bèi:蓓:⿱艹倍 cǎo beì	Beige/white? 						
3955	焙	bei4	BAKE ++  @bheir/pyro	to dry over a fire/to bake	bèi:焙:⿰火咅 huǒ *pǒuke							
1133	贝	bei4 BEÌ	BUY 贝 币 KAUF 购 gou cowrie 白	b:o:cowries/shell/valuables/shellfish	beì:贝:⿵冂人 jiōng rén	Turkic *bāj (“rich”) GOLD 贵GUI 财 caí cowry 库 ku KAUF 购 gou 财 caí shell COIN seen BUY 币 ¥Yuan 贝≠见  bvoy BIE:N:GOOD GUI						
1285	奔	ben1/ben4	bein™	to hurry or rush/to run quickly/to elope/go to/towards	bēn:奔:⿱大卉,⿱夲廾 dà huì yì ? gǒng							
92	本	ben3	BAND √ BIND 	BIN√/roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)	běn:本:⿻木一 mù yī							
3686	苯	ben3:	:	benzene	běn:苯:⿱艹本 cǎo běn							
2323	笨	ben4	√bent?	stupid/foolish/silly/slow-witted/clumsy	bèn:笨:⿱⺮本 zhú běn							
2178	崩	beng1	bang! Fall	collapse/fall into ruins	bēng:崩:⿱山朋 shān péng							
2978	绷	beng1/beng3	Bind ++ 	to bind/to have a taut face|to stretch/taut/to tie/	bēng:绷:⿰纟朋 mì péng	<> band						
3396	甭	beng2	<<<	need not	béng:甭:⿱不用 bù yòng							
2839	蹦	beng4	bounce	to jump/bounce or hop	bèng:蹦:⿰𧾷崩 zú bēng							
3290	迸	beng4	beng!	to burst forth/to spurt/to crack/split	bèng:迸:⿺辶并 chuò bìng							
3800	泵	beng4			bèng:泵:⿱石水 Shí shuǐ							
1559	逼	bi1	BEI… / ??	close to/compel/force/compel/drive/press for/extort/press on towards/press up to/close in on/close	bī:逼:⿺辶畐 chuò fú							
3252	匕	bi1/bi3	匕 b spoon:bill	an ancient type of spoon/dagger/ladle	bǐ:匕:⿺乚丿 yǐ piě	匕~勹 bao ≠  勺 shao2  SCHAUFEL						
1335	鼻	bi2	nobi	nose	bí:鼻:⿱自畀 zì bì							
956	笔	bi3	PEN	pen/pencil/writing brush/to write or compose/the strokes of Chinese characters	bǐ:笔:⿱⺮毛 zhú maó							
1256	彼	bi3	pthe 	that/those/(one) another)	bǐ:彼:⿰彳皮 chì pí							
2510	鄙	bi3	base	rustic/low/base/mean	bǐ:鄙:⿰啚阝 ? fù							
3519	俾	bi3	by… BE…	to cause/to enable	bǐ:俾:⿰亻卑 rén beī	basta						
199	比	bi3/bi4	BI2 BEI BY	'(particle used for comparison and ''-er than'')/to compare/to contrast/to gesture (with hands)/ratio/associate with/be near'	bǐ:比:人 rén							
248	必	bi4	必 bill>will! 匕心  bǐ be/has-to	will/necessarily/certainly/must/	bì:必:⿻心丿 xīn piě	<> basta 把						
991	避	bi4	B2 flee	avoid/shun/flee/escape/leave/to keep away/to leave/to hide	bì:避:⿺辶辟 chuò bì							
1093	毕	bi4	PAN > B2	the whole of/to finish/to complete/complete/full/finished	bì:毕:⿱比十 bǐ shí							
1188	币	bi4	BUY 贝 币	money/coins/currency	bì:币:⿱丿巾 piě jīn							
1267	闭	bi4	bind	to close/stop up/shut/obstruct	bì:闭:⿵门才 mén caí							
1380	壁	bi4	B2 BAU!	wall/rampart	bì:壁:⿱辟土 bì tǔ							
1688	臂	bi4	!	arm	bì:臂:⿱辟肉|月 bì roù yuè							
2121	蔽	bi4		to cover/to shield/to screen/to conceal	bì:蔽:⿱艹敝 cǎo bì							
2165	碧	bi4	bilue: blue! (lu:green-blue)	green jade/bluish green/blue/jade	bì:碧:⿱珀石 pò Shí							
2348	弊	bi4	Beat: : defeat	detriment/fraud/harm/defeat	bì:弊:⿱敝廾 bì gǒng							
2534	毙	bi4	bye;)	die violently	bì:毙:⿱比死 bǐ sǐ							
2667	陛	bi4	√pied	the steps to the throne	bì:陛:⿰阝坒 fù ?							
2793	庇	bi4	birotect	to protect/cover/shelter/hide or harbor	bì:庇:⿸广比 guǎng bǐ							
3082	婢	bi4	bitch	slave girl/maid servant	bì:婢:⿰女卑 nu:3 beī							
3259	敝	bi4	Poor – 	my (polite)/poor/ruined/shabby/worn out/defeated	bì:敝:⿰㡀攵 ? pū							
3391	痹	bi4	--	paralysis/numbness/numb/paralysis	bì:痹:⿸疒畀 nè bì							
3589	璧	bi4	bice piks pierce piece	piece of jade with hole in center	bì:璧:⿱辟玉 bì yù							
3647	弼	bi4	b2 bind ~ 帮 bang	assist	bì:弼:⿲弓百弓 gōng baǐ gōng							
2609	泌	bi4/mi4		secrete/pour off	mì:泌:⿰氵必 shui bì							
4230	裨	bi4/pi2		to benefit/to aid/advantageous/profitable/(surname)/assistant/small	bì:裨:⿰衤卑 yī beī							
2140	辟	bi4/pi4	BOSS piter geBieter	king/emperor/monarch/royal/ward off/law/dispel/open up/refute	bì:辟:⿰𡰪辛 ? xīn							
316	边	bian1	BEI(nahe) 万方 BOUND2	Near-by/side/boundary/edge/margin/border	biān:边:⿺辶力 chuò lì							
858	编	bian1	BIND BAND	weave/plait/organize/group/arrange/edit/compile/write/compose/fabricate	biān:编:⿰纟扁 mì biǎn							
2250	鞭	bian1		a whip or lash/to flog/slash or whip	biān:鞭:⿰革便 gé biàn							
3829	蝙	bian1	~-	bat	biān:蝙:⿰虫扁 chóng biǎn							
2536	贬	bian3	bye;)	to diminish/to demote/reduce or devaluate/disparage/censure/depreciate	biǎn:贬:⿰贝乏 beì BEÌ fá							
1737	扁	bian3/pian1	PLANE 票 → float/flat pan 片 π	flat/tablet/inscription/(surname)/small boat/Polygonum aviculare	biǎn:扁:⿸戶冊, ⿸户冊, ⿸戸冊 hù ? yì  hù ? yì  hù ?							
