#,S,phon      ,,meaning,,
250,?,jian4,THING,"a measure word for thing, clothes, item",,
251,?,ji4,Y+,to calculate/to compute/to count/reckon/ruse/to plan,,
252,?,guan3,GOIN KING >,to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe,,
253,?,qi1,zieh tzeit ?! ,"a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope",qing ??,
254,?,shi4,city,market/city,,
255,?,zhi2,? ~ zhi:right,straight/vertical/frank/directly/straightly/upright,,
256,?,de2,Deg = tugend ?/? tetra DEUTERO ,Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind,,
257,?,zi1,Zinn > coin,money/expense/resources/capital/to provide/to supply/to support/,,
258,?,ming4,MENT ? ,life/fate,,
259,?,shan1,SHAN ? ? ?,mountain/hill,,
260,?,jin1,ZINN ? xin ? xi ? z?  ? qián COIN ? caí,metal/money/gold GUI ? SEEN ?,? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?,
261,?,zhi3,ZEH,finger/to point/to direct/to indicate,,
262,?,ke4,KERAM gram,"gram/subdue/to restrain/to overcome, subdue",,
263,?,xu3,jubel?,to allow/to permit/to praise/(surname),,
264,?,tong3,TONG ? ? ?,to gather/to unite/to unify/whole,,
265,?,ou1/qu1,? QUR OU,"Ou (surname), area/region/district/small/distinguish",,
266,?,bao3,BAU ,to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard,,
267,?,zhi4,ZU,arrive/most/to/until,,
268,?,dui4,team,squadron/team/group,,
269,?,xing2,®SHINE,to appear/to look/form/shape,,
270,?,she4,SYN,society/group,,
271,?,bian4/pian2,PLAIN,"ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap",,
272,?,kong1/kong4,KING SKY???,"air/sky/empty/in vain, emptied/leisure",,
273,?,jue2,JUDGE,breach (a dyke)/to decide/to determine,,
274,?,zhi4,ZHING,to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal,,
275,?,zhan3,,to use/to spread out/to postpone/to unfold,Zao / yong,
276,?,ma3,mare,horse/horse chess piece/Surname,,
277,?,ke1,Can cut,"branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes, etc.)/to fine somebody",,
278,?,si1,ZHING,company/control,,
279,?,wu3,? 5 whole,five/5,,
280,?,ji1,J1,base/foundation/basic/radical (chem.),,
281,?,yan3,EYEN,eye,,
282,?,shu1,?? ? shù ? SIGN script ? cao3 ? xie3 ? shi2/zhi4,book/letter,SCHOOL  ?zhi4SIGN ?shi4 ? ? (?)5shìshow~sign spirit shini SCHENK! ? ? SYN ?  ,
283,?,fei1,FAKE FAUX < BU BAD!,non-/not-/un-,,
284,?,ze2,"(but) then, so, schein",(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle,,
285,?,ting1/ting4,denk?,"listen/hear/obey, let/allow",ding bu dong = no-fachmam,
286,?,bai2,BAI ? white,white/snowy/empty/blank/bright/clear/plain/pure/gratuitous,,
287,?,que4,QUE,but/yet/however/while/to go back/to decline/to retreat/nevertheless,,
288,?,jie4,jiè® ?,circles/boundary/scope/extent/group/kingdom (taxonomy),,
289,?,da2,DAR ? ? ?,attain/pass through/achieve/reach/realize/clear/inform/notify/dignity,,
290,?,guang1,SHINE glanz,light/ray/bright,,
291,?,fang4,¬fang,to release/to free/to let go/to put/to place/to let out,,
292,?,qiang2,~,strength/force/power/powerful/better,,
293,?,ji2,"si, zieh – ",namely/right away/to approach/to draw near,,
294,?,xiang4,shine simil,(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem,,
295,?,nan2/nan4,!!! <> man ?,"difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold",,
296,?,qie3,Y+ G+,further/moreover,,
297,?,quan2,KING,authority/power/right,,
298,?,si1,THINK < SEEN,to think/to consider,,
299,?,wang2,KING,king/Wang (proper name),,
300,?,xiang4,SHINE,shape/form/appearance/elephant/image under a map (math.),,
301,?,wan2,WAN1 one won++ finish,to finish/to be over/whole/complete/entire,,
302,?,she4,SET,to set up/to arrange/to establish/to found/to display,,
303,?,shi4,SIGN,type/form/pattern/style,,
