551	MERRY	дъгасиӈ	dʌɡaɕiŋ
552	GENTLE	ойгоӈсь	ɔjɡɔŋɕ
553	BE HUNGRY	ӄоот	qɔːt
554	SICK	даеӈ	daʲɛŋ
555	NAKED	тонёль	tɔɲɔʎ
556	SAD	анеӈбетсь	aɲɛŋbʲɛtɕ
557	LIVING	этсь	ɛtɕ
558	GOOD	аӄта	aqta
559	BAD	сельсь	ɕɛʎɕ
562	TRUE	хитиӈсь	çiciŋɕ
563	OLD (USED)	каʼт	kaʔt
564	NEW	киʼ	kʲiʔ
566	OLD (AGED)	ӄягет	qʲaɡʲɛt
567	YOUNG	китэйсь	kʲitɛjɕ
568	POOR	беднай	bʲɛdnaj
569	RICH	ботай	bɔtaj
572	FOREIGN	биксь	bʲikɕ
573	DIFFERENT	беляӈ	bʲɛʎaŋ
576	LEFT	тульсь	tʊʎɕ
577	RIGHT	богат	bɔɡat
578	OTHER	биксь	bʲikɕ
579	FIRST	ӄусямась	qʊɕamaɕ
580	SECOND	ынамась	ɨnamaɕ
581	THIRD	доӈамась	dɔŋamaɕ
582	LAST (FINAL)	оӈтильсь	ɔŋciʎɕ
583	ALONE	ӄоккет	qɔkːʲɛt
584	ALL AT ONCE	ха	xa
585	TOGETHER	синя	ɕiɲa
586	FOR A LONG TIME	инь	jiɲ
587	SUDDENLY	ъӄпесь	ʌqpʲɛɕ
590	NOW	ень	jɛɲ
591	TODAY	енӄоӈ	jɛnqɔŋ
592	TOMORROW	аноксь	anɔkɕ
593	SOON	ӄам	qam
594	THEN	ӄае	qaʲɛ
595	YESTERDAY	ӄоресь	qɔrʲɛɕ
596	ONCE (IN THE PAST)	синь	ɕiɲ
597	AT THAT TIME	ким	kʲim
598	AFTERWARDS	ӄае	qaʲɛ
599	BEFORE	ъӷай	ʌɣaj
600	AT FIRST	анатап	anatap
601	ONE TIME	синь	ɕiɲ
602	SOMETIMES	аська биламдаан	aɕka bʲilamdaːn
603	OFTEN	ха	xa
604	ALWAYS	беʼк	bʲɛʔk
605	NEVER	там аська ааня бәнь	tam aɕka aːɲa bəɲ
606	HERE	кисеӈ	kʲiɕɛŋ
607	HITHER	ъга	ʌɡa
608	HENCE	туниль	tʊɲiʎ
609	THERE	сёоӈ	ɕɔɔŋ
610	THITHER	туниӈа	tʊɲiŋa
611	AHEAD	татыӈ	tatɨŋ
613	BACKWARD	сюк	ɕʊk
