270	საგანი	sɑɡɑni
271	ნივთი	nivtʰi
272	კიდე	kˀidɛ
273	ნაწიბული	nɑt͡sˀibuli
274	კუთხე	kˀutʰxɛ
275	წვეტი	t͡sˀvɛtˀi
276	ბოლო	bɔlɔ
277	ხვრელი	xvrɛli
278	კუთხე	kˀutʰxɛ
279	მოხატულობა	mɔxɑtˀulɔbɑ
280	ზომა	zɔmɑ
280	სიდიდე	sididɛ
281	სიგრძე	siɡrd͡zɛ
282	სიმაღლე	simɑɣlɛ
283	წონა	t͡sˀɔnɑ
284	რაოდენობა	rɑɔdɛnɔbɑ
285	გროვა	ɡrɔvɑ
286	რიგი	riɡi
286	წყება	t͡sˀqˀɛbɑ
287	გემი	ɡɛmi
288	ხოფი	xɔpʰi
288	ნიჩაბი	nit͡ʃʰɑbi
289	მარხილი	mɑrxili
290	თხილამური	tʰxilɑmuri
291	კოცონი	kˀɔt͡sʰɔni
292	ტვირთი	tˀvirtʰi
293	სვლა	svlɑ
294	ბიჯი	bid͡ʒi
295	ჩრდილოეთი	t͡ʃʰrdilɔɛtʰi
296	სამხრეთი	sɑmxrɛtʰi
297	დასავლეთი	dɑsɑvlɛtʰi
298	აღმოსავლეთი	ɑɣmɔsɑvlɛtʰi
299	ხე	xɛ
300	დაფა	dɑpʰɑ
300	ფიცარი	pʰit͡sʰɑri
301	თლილი ქვა	tʰlili kʰvɑ
302	საყრდენი	sɑqˀrdɛni
303	ჭოკი	t͡ʃˀɔkˀi
304	კეტი	kˀɛtˀi
305	ლატანი	lɑtˀɑni
306	მილაკი	milɑkˀi
307	სახლი	sɑxli
308	ოჯახის კერა	ɔd͡ʒɑxis kˀɛrɑ
309	ღუმელი	ɣumɛli
310	იატაკი	iɑtˀɑkˀi
311	სუფრა	supʰrɑ
311	მაგიდა	mɑɡidɑ
312	სკამი	skˀɑmi
313	აკვანი	ɑkˀvɑni
314	საწოლი	sɑt͡sˀɔli
314	სარეცელი	sɑrɛt͡sʰɛli
315	თაროები	tʰɑrɔɛbi
316	ყუთი	qˀutʰi
316	სკივრი	skˀivri
317	ფანჯარა	pʰɑnd͡ʒɑrɑ
317	სარკმელი	sɑrkˀmɛli
318	ბჭე	bt͡ʃˀɛ
318	კარი	kˀɑri
319	ჭიშკარი	t͡ʃˀiʃkˀɑri
320	ღობე	ɣɔbɛ
320	გალავანი	ɡɑlɑvɑni
321	სახურავი	sɑxurɑvi
322	კიბე	kˀibɛ
323	ცოცხი	t͡sʰɔt͡sʰxi
324	ნიჩაბი	nit͡ʃʰɑbi
325	ბარი	bɑri
326	ჩანგალი	t͡ʃʰɑnɡɑli
327	კოვზი	kˀɔvzi
328	დანა	dɑnɑ
329	ლურსმანი	lursmɑni
330	ბადე	bɑdɛ
331	კავი	kˀɑvi
331	კაუჭი	kˀɑut͡ʃˀi
332	ტარი	tˀɑri
333	კლიტე	kˀlitˀɛ
333	საკეტი	sɑkˀɛtˀi
334	სურათი	surɑtʰi
335	ფიგურა	pʰiɡurɑ
336	თოჯინა	tʰɔd͡ʒinɑ
