northeuralex-0.9-concept-data.tsv
number	position_in_ranking	ranking_value	id_nelex	gloss_en	gloss_ru	annotation_en	annotation_en	annotation_ru	concepticon	concepticon_id	concepticon_proposed	comments
165	824	-0,266669	Spinne::N	spider	паук	[]	[]	[]	SPIDER	843	SPIDER	
166	876	-0,029387	Ameise::N	ant	муравей	[]	[]	[]	ANT	587	ANT	
167	42	-2,553808	Laus::N	louse	вошь	[]	[]	[]	LOUSE	1392	LOUSE	
168	712	-0,588323	Mücke::N	gnat	комар	[]	[]	[]	MOSQUITO	1509	MOSQUITO	
169	332	-1,475455	Fliege::N	fly	муха	[Insekt]	[insect]	[насекомое]	FLY_(INSECT)	1504	FLY_(INSECT)	
170	978	0,796064	Schmetterling::N	butterfly	бабочка	[]	[]	[]	BUTTERFLY	1791	BUTTERFLY	
171	445	-1,201713	Beere::N	berry	ягода	[generische Bezeichnung]	[generic term]	[общee название]	BERRY	904	BERRY	
172	703	-0,621588	Apfel::N	apple	яблоко	[]	[]	[]	APPLE	1320	APPLE	
173	920	0,248615	Pilz::N	mushroom	гриб	[generische Bezeichnung]	[generic term]	[общee название]	MUSHROOM	641	MUSHROOM	
174	882	0,008141	Zwiebel::N	onion	луковица	[essbar]	[edible]	[репчатый лук]	ONION	2366	ONION	
175	356	-1,422511	Saat::N	seed	семена	[Saatgut]	[fertilized grain]	[для посева]	SEED	714	SEED	
176	201	-1,804008	Korn::N	grain	зерно	[Einzelkorn]	[single grain]	[одно]	<NA>	0	GRAIN_(SINGLE)	not GRAIN
177	161	-1,954437	Heu::N	hay	сено	[]	[]	[]	HAY	342	HAY	
178	545	-0,969049	Schale::N	peel, husk	кожура́, шелуха	[BSP:eines Apfels]	[EX:of an apple]	[НАПР:яблока]	SKIN_(OF_FRUIT)	2373	SKIN_(OF_FRUIT)	
179	204	-1,791714	Grube::N	pit	яма	[Loch im Boden]	[hole in the ground]	[углубление в земле]	PIT_(POTHOLE)	2539	PIT_(POTHOLE)	
180	782	-0,411876	Falle::N	trap	ловушка	[BSP:Mausefalle]	[EX:mouse trap]	[НАПР:мышело́вка]	TRAP_(PITFALL)	1075	TRAP_(PITFALL)	
181	636	-0,775389	Schlinge::N	noose	петля	[BSP:Schlaufe an Schnur]	[EX:on a rope]	[НАПР:на верёвке]	NOOSE	2604	NOOSE	
182	268	-1,635586	Spur::N	track	след	[BSP:eines Tieres]	[EX:of an animal]	[НАПР:животного]	<NA>	0	TRACK_(OF_ANIMAL)	
183	156	-1,974016	Asche::N	ash	зола	[Überbleibsel eines Feuers]	[solid remains of a fire]	[пепел]	ASH	646	ASH	
184	781	-0,412997	Dreck::N	filth	грязь	[Verschmutzung]	[that which soils or defiles]	[то, что пачкает]	<NA>	0	FILTH	not distinct from DIRT
185	131	-2,088841	Eisen::N	iron	железо	[Metall]	[metal]	[металл]	IRON	621	IRON	
186	146	-2,01276	Gold::N	gold	золото	[Metall]	[metal]	[металл]	GOLD	1369	GOLD	
187	333	-1,469798	Silber::N	silver	серебро	[Metall]	[metal]	[металл]	SILVER	759	SILVER	
188	281	-1,60517	Kohle::N	coal	уголь	[brennbare Substanz]	[combustible substance]	[горючее вещество]	CHARCOAL	1188	CHARCOAL	
189	720	-0,56915	Glas::N	glass	стекло	[Material]	[transparent substance]	[прозрачный материал]	GLASS	604	GLASS	
190	351	-1,43087	Lehm::N	clay	глина	[formbares Material]	[ductile material]	[пластичный материал]	CLAY	1399	CLAY	
191	218	-1,765285	Sand::N	sand	песок	[Material]	[material]	[материал]	SAND	671	SAND	
192	537	-0,978572	Mensch::N	human	человек	[]	[human being]	[]	PERSON	683	PERSON	
193	231	-1,733574	Mann::N	man	мужчина	[erwachsener männlicher Mensch]	[adult male human]	[]	MAN	1554	MAN	
194	344	-1,448225	Frau::N	woman	женщина	[erwachsener weiblicher Mensch]	[]	[]	WOMAN	962	WOMAN	
195	451	-1,186794	Kind::N	child	ребёнок	[BSP:10 Jahre alt]	[EX:10 years old]	[НАПР:десятилетний]	CHILD_(YOUNG_HUMAN)	1304	CHILD_(YOUNG_HUMAN)	
196	906	0,153323	Junge::N	boy	мальчик	[männliches Kind]	[male child]	[ребёнок мужского пола]	BOY	1366	BOY	
197	689	-0,647849	Mädchen::N	girl	девочка	[weibliches Kind]	[female child]	[ребёнок женского пола]	GIRL	1646	GIRL	
198	810	-0,329355	Familie::N	family	семья	[Gruppe nah verwandter Menschen, zusammenlebend]	[group of close relatives living together]	[группа близких родственников, живущих вместе]	FAMILY	194	FAMILY	
199	705	-0,615528	Großvater::N	grandfather	дедушка	[BSP:Vater des Vaters]	[EX:father's father]	[НАПР:отец отца]	GRANDFATHER	1383	GRANDFATHER	
200	623	-0,805714	Großmutter::N	grandmother	бабушка	[BSP:Mutter des Vaters]	[EX:father's mother]	[НАПР:мать отца]	GRANDMOTHER	1496	GRANDMOTHER	
201	945	0,457187	Eltern::N	parents	родители	[]	[]	[]	PARENTS	505	PARENTS	
202	238	-1,706487	Vater::N	father	отец	[]	[]	[]	FATHER	1217	FATHER	
203	188	-1,85385	Mutter::N	mother	мать	[]	[]	[]	MOTHER	1216	MOTHER	
204	20	-2,902475	Sohn::N	son	сын	[]	[]	[]	SON	1620	SON	
205	135	-2,05425	Tochter::N	daughter	дочь	[]	[]	[]	DAUGHTER	1357	DAUGHTER	
206	242	-1,694023	Bruder::N	brother	брат	[BSP:älterer Bruder]	[EX:elder brother]	[НАПР:старший брат]	BROTHER	1262	BROTHER	
207	185	-1,868282	Schwester::N	sister	сестра	[BSP:ältere Schwester]	[EX:elder sister]	[НАПР:старшая сестра]	SISTER	1263	SISTER	
208	486	-1,115147	Onkel::N	uncle	дядя	[BSP:Bruder des Vaters]	[EX:father's brother]	[НАПР:брат отца]	UNCLE	1327	UNCLE	
209	454	-1,183077	Tante::N	aunt	тётя	[BSP:Schwester des Vaters]	[EX:father's sister]	[НАПР:сестра отца]	AUNT	1272	AUNT	
210	278	-1,61715	Ehemann::N	husband	муж	[Gatte]	[male spouse]	[супруг]	HUSBAND	1200	HUSBAND	
211	587	-0,879881	Ehefrau::N	wife	жена	[Gattin]	[female spouse]	[супруга]	WIFE	1199	WIFE	
