Nr	english	normed cuneiform 	word / syllables		PIE
3.460 	ass, donkey 	𒀉𒊏𒀭𒆪	tranku; it-ra-an-ku; 	++OK!?	tronkey>donkey it/ta₁@Luwian 𔑰 de donkey < 𔑯𔑱𔑲 te tête
3.470 	mule 	𒉺𒄩	paha; pa-ha	ok??	Pack{Esel} <> Pegasus
3.500 	fowl 	𒍝𒈠𒈠	zamama; za-ma-ma	<<<	kümes naminis szárnyas <> ماکیان‎ mākiyān zu-Mama -- vs 𓅭 papero πάπια pápia bibi
3.540 	hen 	𒊒𒌝	rum; ru-um	™™	𓅱𓍢𓏲 •rwm>rwn
3.560 	goose 	𒄭𒁍𒌨;𒅁𒁍𒌨	hi-pu-ur; ip-pu-ur	++	"𓅭 •puer parrulo papero part  బాతు bātu patë ""goose"" "
3.570 	duck 	𒋗𒁕𒁀	šu-da-ba	???	ᓰᓰᑊ sîsîp  idada | bat reversed (𒋗!)
3.580 	nest 	𒄷𒉿𒂊	hu-pi-e	++?	Haube / keep cuibar cuib  ha.bah বাহ φωλιά ბუდე bude
3.581 	bird 	𒋾𒌓	ti-ut	ok?	𓅂 tyw™ tweet(er) ჩიტი čiṭi Tier
3.584 	eagle 	𒁀𒍣𒍣;𒁀𒄑𒍢𒍢	ba-zi-zi; ba-iz-zí-zí	ok?	buzzard
3.592 	parrot 	𒋡𒅖𒁀𒄴	qa-iš-ba-h	?	???
3.610 	dog 	𒄬𒆠𒉌	hal-ki-ni	++	𒌨 ḪUL.κύon 犬 quǎn chien
3.710 	wolf 	𒁺𒈠	duma; du-ma	<<<	tëme dumm <> 𒌨𒁇𒊏 barbaru  dumb <> ذِئْب‎ ḏiʾb דֵּיבָא‎ dêḇā Depp <> du-ip (ass)   dìga   δumb : скуммьп skummʹp    तोडेल्ली tōḍēl‍lī Dödel   бирӕгъ biræǧ brege
3.780 	camel 	𒍦𒁀𒊒	zibbaru; zib-ba-ru	ok?	zebra
3.815 	scorpion 	𒆷𒄭	lahi; la-hi	ok?	<> yolo ϭⲗⲏ clē ಚೇಳು cēḷu  reverse
3.840 	worm 	𒍝𒈾𒁍𒈾	za-na-bu-na	<>	šin-bend 𓋴 𓃀 𓇋 𓆚 serpent 𓆑 𓈖 𓍿 𓆙 
3.850 	snake 	𒊿;𒅆𒅔𒉿;𒋆𒁉	šin; ši-in-pi; šim-bi	++	šinᵏ snake šin-bend 𓋴 𓃀 𓇋 𓆚 serpent
4.120 	skin, hide 	𒄩𒋼𒂗	ha-te-en	++	Häuten hides
4.130 	flesh 	𒄿𒅖𒋾	i-iš-ti	<<<<	isstᵛ osteo? best@basár בָּשָׂר‎ bu.šỉr 𐎌𐎛𐎗  bu.sárx σάρξ  살 sal ma.isst <> Mast мяса mjasa միս mis messe mette meat ma.eat
4.140 	hair (head) 	𒆪𒈾;𒊺𒂊	*ku-na; še-e	<<<OK?	shair, 𓍲 𓈖 𓏮 𓁸 𓏥 kundíi@Niger
4.150 	blood 	𒊓𒀭	san; sa-an	++	𓊃 𓈖 𓆑 𓅱 𓂐 sangue 𒊕 SAĜ 𒅘 血 xuèn
4.170 	horn 	𒋡𒊍𒋢;𒆜𒋢	kassu; qa-as-su; kás-su	++	𓈎 𓋴 𓌟 Кость < qars
4.200 	head 	𒊌𒆪;  𒊌𒄀 	ukku; uk-ku; uk-gi; ukku.e	ok?	"Icke 1. ek <> egg 𓆇  KA 𒅗 kǒu 口 𒅴 KU2 | 𒅥 | খা kau  	𒊌𒆪;𒊌𒄀;?𒂊
4.210 	eye 	el; el-ti	œil œil™ al.TI 𒋾  <> 𒅆 IGI		𒂖;𒂖𒋾
4.220 	ear 	siri; si-ri	s'hear		𒋛𒊑
4.230 	nose 	ši-um-me; šim.e	𓋴 𓈖 𓂉 𓀁 <> smell		𒅆𒌝𒈨;𒋆𒂊
4.260 	tongue 	tit; ti-ut	𓏏𓄓 ≠ tooth		𒋾𒌓
4.270 	tooth 	sihhan; si-h-ha	Zahn		𒋛𒄴𒄩
4.280 	neck 	ti-pi	𓁶 𓊪 tip,top		𒋾𒉿
4.330 	hand 	kir-; kur-; ki-ir-pi; kur-pi	𓎼 𓄿 𓃀 𓂢 ⋆carp! ⲕⲁϩ 𓐍 𓂋 𓊪 𓂥   手 shǒu 		𒅗;𒆳;𒆠𒅕𒉿;𒆳𒉿
4.344 	fingernail 	pur; pu-ur	парнягӱ́ч"
4.370 	foot 	𒁀𒀜;𒉺𒀜	pat; ba-at; pa-at	++	𓃀𓂾 pede pod …
4.393 	feather 	𒁍𒌓𒈠𒀸	putmaš; pu-ut-ma-áš	ok?	πτε𒈨𒌍 πτερόν feathers
4.440 	heart 	𒁍𒉌	buni; bu-ni	ok?	𓄤 bon le.bon  𒇷𒅤 li-bùᵒⁿ 𒊮 libbuᵒⁿ לֵב
4.450 	liver 	𒊒𒂖𒉺𒈫	ru-el-pa-mín	~~~	®Leber.men 𓂋liver𓄣  ἧπαρ ʳhêpar.men  рекьӏайлӏ rekʹӏajlӏ/bauyr.májᵒⁿ бауыр   јетра {rep}táaman 𐎋𐎁𐎄 kebda[man]  ojpana пе́чень péčenʹ ẽhmpa --
4.490 	testicle 	𒊒𒆪	ruku; ru-ku	ok????	rocks ;)  (round)
4.720 	born (to be) 	𒆪𒅆𒅔;𒆪𒅆𒅖	kuši-; ku-ši-in; ku-ši-iš	<<<+?	co-𓌢 <> cousin 
4.732 	conceive 	𒁺;𒁺𒄴;𒁺𒅖;𒂁	du-; du-h; du-iš; duk	ok?	duk take!
4.740 	live, living, life 	𒋫𒀝𒈨;𒁕𒀝𒆠𒈨;𒋫𒀝𒆠𒈨;𜏂𜐶𜎦 	ta-ak-me; da-ak-ki-me; ta-ak-ki-me;ta-k-me	<<<<<<<<	𒋾 𓋹 Tink (kk:nk) dong(wu) tãk[[ma]] takme  take:duk du-; du-h; du-iš 𒁺;𒁺𒄴;𒁺𒅖;𒂁 conceive!!! 
4.750 	die, dead 	𒄬𒉿𒅅;𒄬𒉿𒅁;𒆷𒄩𒀭	halpi-; hal-pi-ik; hal-pi-ip; la-ha-an	<<<<	kuolla kill? halb? halt? demise? 2. legen? 1/Leben
4.810 	strong, mighty, powerful 	𒅁𒁀𒀝;;𒋻𒄩𒄴;𒅆𒀧𒄩𒀝;𒅆𒀧𒈨	ib-ba-ak; šilha-; šil-ha-h; ši-il-ha-ak; ši-il-me	ok?!?	"stark > ši-il-ha-ak   (𒅋 ~ 𓂋 𓅓 𓆛 𓂻 ⲣⲁⲙⲓ ""fish"")"
4.820 	weak 	𒅖𒌇𒊏	iš-tuk-ra	ok?	a¬stark
4.852 	bruise 	𒄩𒉿	ha-pi	+++	√hieb ≠ Haube
