𐀆	-de	-δε	de	allative/demonstrative
𐀖	-mi	-μιν	him man	him/her
𐀠	-pi	-φι	who wer wie was wem wen	instrumental/ablative case
𐀤	qe	 (>εγχέω)	que	and
𐀳	te	 (>Σελινούς;)	?	
𐀀𐀆𐀳	aⁿde-te	ανδετήρ	??	binder (>άνδημα= head-band)
𐀀𐀆𐀳𐀩	aⁿ-de-te-re	ανδετήρες		binder (>άνδημα= head-band)
𐀀𐀇𐀪𐀊𐀠	aⁿ-di-ri-ja-pi	ανδρίαφι	andriaphe?	 (decorated) with men
𐀀𐀇𐀪𐀊𐀠𐀤	aⁿ-di-ri-ja-pi-qe	ανδρίαφι		 (decorated) with men
𐀀𐀇𐀪𐀊𐀳	aⁿ-di-ri-ja-te	ανδριάντει		 (decorated) with men
𐀀𐀇𐀪𐀊𐀳𐀤	aⁿ-di-ri-ja-te-qe	ανδριάντει		 (decorated) with men
𐀀𐀇𐀪𐀍	aⁿ-di-ri-jo	ανδρίος (>άνερ)		 (decorated) with men
𐀀𐀁𐀴𐀵	aⁿ-e-ti-to	αέθιστος (>εθίζω;)	a¬…	not used?
𐀀𐀊𐀕𐀙	a-ja-me-na	αιασμένα	<<	inscribed/decorated
𐀀𐀊𐀕𐀜	a-ja-me-no	αιασμένoς		inscribed/decorated
𐀀𐀏𐀨𐀜	a-ka-ra-no	ακάρανος		 (>άκαρα= legs/kara= head)
𐀀𐀏𐀯𐀍𐀚	a-ka-si-jo-ne	Ακασιόνει (Ακάσιον)	Akkaδion	place name
𐀀𐀏𐀹𐀊𐀆	a-ka-wi-ja-de	ΑχαιFίανδε (ΑχαιFία)	^^	place name
𐀀𐀏𐀺	a-ka-wo	ΑχαιFός	Ahaivia 𓈉 𓌙 𓀀 𓈓	personal/ethnic name of ‘Ahaivia’
𐀀𐀐𐀍𐀍	a-ke-jo-jo	Αργείοιο (Αργείος)	Argos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Argos’
𐀀𐀐𐀃	a-ke-o	Αργείοιο (Αργείος)	Argos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Argos’
𐀀𐀐𐀩	a-ke-re	αγείρει (ν)	<<	to collect
𐀀𐀐𐀩𐀷	a-ke-re-wa	ΑγρέFα	Agrefa 𓈉	place name (fem. of ‘Agreus’?)
𐀀𐀐𐀩𐀷𐀆	a-ke-re-wa-de	ΑγρέFανδε	Agrefa 𓈉	place name (fem. of ‘Agreus’?)
𐀀𐀐𐀩𐀷𐀤	a-ke-re-wa-qe	ΑγρέFα	Agrefa 𓈉	place name (fem. of ‘Agreus’?)
𐀀𐀐𐀩𐀹𐀊	a-ke-re-wi-ja	ΑγρέFιος	Agrefa 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Agrefa’
𐀀𐀐𐀩𐀹𐀍	a-ke-re-wi-jo	ΑγρέFιος	Agrefa 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Agrefa’
𐀀𐀐𐀫	a-ke-ro	άγγελος	angelo @ anchor?	messenger
𐀀𐀐𐀀𐀐𐀁	a-ke-a-ke-e	άγει	<<<>>>	to send
𐀀𐀐𐀳𐀩	a-ke-te-re	αγέτερες	asketreiai!	official title/occupation  (see also ‘asketreiai’)
𐀀𐀐𐀴𐁈	a-ke-ti-ra2	ασκητριάων	??	decorators?  (fem.)
𐀀𐀐𐀴𐁈𐀃	a-ke-ti-ra2-o	ασκητριάων		decorators?  (fem.)
𐀀𐀐𐀴𐀪𐀊	a-ke-ti-ri-ja	ασκήτριαι		decorators?  (fem.)
𐀀𐀑𐁀𐀪𐀊𐀆	a-ki-a2-ri-ja-de	Αιγιhάλιανδε (Αιγιhάλια)	'Aigi''Haliande <<'	place name
𐀀𐀑𐀴𐀵	a-ki-ti-to	άκτι (σ)τος	a¬κτίσις ?	‘untitled?’ (>κτίσις=founding, settling)
𐀀𐀒𐀨𐀊	a-ko-ra-ja	αγοραία	agora	used for communal purposes  (see also ‘agora’)
𐀀𐀒𐀨𐀍	a-ko-ra-jo	αγοραίος	agora	used for communal purposes  (see also ‘agora’)
𐀀𐀒𐀫	a-ko-ro	αγρός	acre	field
𐀀𐀒𐀰𐀚	a-ko-so-ne	άξoνες	Achsen	axles
𐀀𐀒𐀰𐀚𐀤	a-ko-so-ne-qe	άξoνες	Achsen	axles
𐀀𐀒𐀺	a-ko-wo	άκορFος	a¬kurva	childless, unaccompanied (see ‘korfos’)
𐀀𐀓𐀫	a-ku-ro	άργυρος	argent chyro	silver
𐀀𐀖𐀛𐀯𐀍	a-mi-ni-si-jo	Αμνίσιος	Amnisos	ethnic name of ‘Amnisos’
𐀀𐀖𐀛𐀰𐀆	a-mi-ni-so-de	Αμνισόνδε (Άμνισος)	Amnisode	place name
𐀀𐀗𐀂𐀋𐀵	a-mo-i-je-to	αρμοίεντοι;		just delivered?  (see ‘iento’)
𐀀𐀗𐀨𐀔	a-mo-ra-ma	άμωρ- άμαρ;	immer	‘from day to day,daily?’
𐀀𐀗𐀲	a-mo-ta	𒈥 mar 𓌝 𓅓 𓂝 𓃭 𓏤 𓎡 𓄿 𓃀 𓏲 𓍘 𓇋 𓆱 𓌝𐎎𐎗𐎋𐎁𐎚 mrkbt 𒋥 Rad		wheels
𐀀𐀗𐀲𐀍	a-mo-ta-jo	αρμοτεών		 (to the) workshop of ‘armota’
𐀀𐀗𐀳	a-mo-te	άρμοτε		
𐀀𐀗𐀳𐀩	a-mo-te-re	αρμοστήρες		>  (of stones) laid with the grain
𐀀𐀗𐀳𐀹𐀊	a-mo-te-wi-ja	αρμοθήFια		?  (description of a pot)
𐀀	a¬	ά	a¬ un¬ ohne…	
𐀀𐀟𐀀𐀭	a-pe-a-sa	απέασα	a¬peasaⁿ	absent
𐀀𐀟𐀃𐀳	a-pe-o-te	απέοντες (>άπειμι)	apseontes! vs 𐀞-𐀁-𐀃-𐀳 present	absent
𐀀𐀲𐀨𐀯𐀍	a-ta-ra-si-jo	αταλάνσιος		without copper (see also ‘talansia’)
𐀀𐀒𐀵𐀜	a-ko-to-no	άκτοινος	a¬ktoina	without ‘ktoina’
𐀀𐀙	a-na	άνα¬	un¬	
𐀀𐀙𐀂𐀲	a-na-i-ta	άναιτα	𓈖 𓂝 𓂝 𓏞 𓏛 	not decorated!
𐀀𐀙𐀂𐀵	a-na-i-to	άναιτον	𓈖 𓂝 𓂝 𓏞 𓏛 	not decorated
𐀀𐀙𐀲	a-na-ta	άναιτα	𓈖 𓂝 𓂝 𓏞 𓏛 	not decorated
𐀀𐀙𐀵	a-na-to	άναιτον	𓈖 𓂝 𓂝 𓏞 𓏛 	not decorated
𐀀𐀜𐀜	a-no-no	άνονον	𒉆𒅗𒆟 nam.zu₂keš₂ ≠ ϣϭⲟⲣ	not rented,see opp. ‘onaton’
𐀀𐀚𐀲	a-ne-ta	άνετα  (ανίημι)	un¬due	not due, of no charge
𐀀𐀞𐀲	a-pa-ta	άσπαρτα;	a¬spora	not sown?
𐀀𐀙𐀢𐀐	a-na-pu-ke	ανάμπυκες	ohn¬…	without head-bands  (see ‘ampykes’)
𐀀𐀜𐀡	a-no-po	άνωπος	ohn¬…	without ‘holes,’not pierced
𐀀𐀜𐀸	a-no-we	ανώFεις	ohn¬…	without ‘ears,’handles
𐀀𐀜𐀺𐀵	a-no-wo-to	άνωFτος	ohn¬…	without ‘ears,’handles
𐀀𐀙𐀗taa𐀙𐀗𐀵	a-na-mo-taa-na-mo-to	ανάρμοστα	un-hermesta	 (about chariots) not assembled
𐀀𐀚𐀗	a-ne-mo	ἄνεμος ánemos	𒅎 •INM animate	wind
𐀀𐀚𐀗 𐀂𐀁𐀩𐀊	a-ne-mo i-e-re-ja	ανέμων  (ιέρεια)	Anemone 𒅎 •INM ἄνεμος ánemos	 (priestess) of winds
𐀀𐀙𐀐𐀁	a-na-ke-e	cf. ἀνάγω	ana-go?	'''bring contribute''? '
𐀀𐀛𐀃𐀒	a-ni-o-ko	cf. ἡνίοχος	<<	'''chariot-driver'' '
𐀀𐀚𐀄𐀳	a-ne-u-te	Ανεύθεν	Aneuthen	place name
𐀀𐀛𐀊	a-ni-ja	•ra-ni-ja	reins	reins
𐀀𐀞𐀩𐀄	a-pa-re-u	Αφαρεύς	Aphareus	place name
𐀀𐀞𐀲𐀷	a-pa-ta-wa	ΆπταρFα (>Άπτερα)	Aptarfa	place name
𐀀𐀞𐀲𐀷𐀊	a-pa-ta-wa-ja	ΑπταρFαία	Aptarfa	ethnic name of ‘Aptarfa’
𐀀𐀞𐀲𐀷j𐀃	a-pa-ta-wa-jο	ΑπταρFαίος	Aptarfa	ethnic name of ‘Aptarfa’
𐀀𐀟𐀈𐀐	a-pe-do-ke	απέδωκε (>αποδίδω)	apotheke	to deliver
𐀀𐀟𐀁𐀐	a-pe-e-ke	απέηκε (>αφίημι)	<<	to let go
𐀀𐀟𐀴𐁈	a-pe-ti-ra2	αφέτρια (ι)		item found together with a torpeza
𐀀𐀠	a-pi	αμφί	amphi ambi	bi-, both
𐀀𐀡𐀳𐀨	a-po-te-ra	αμφότερα (ι)	'am''bothera'	both
𐀀𐀡𐀳𐀫𐀳	a-po-te-ro-te	αμφοτέρωθεν	<<^^	on both sides
𐀀𐀠𐀁𐀐	a-pi-e-ke	αμφιέχει (ν)	ambi exei	to be covered all over
𐀀𐀠𐀜𐀁𐀹𐀍	a-pi-no-e-wi-jo	ΑμφινοέFιοι	Ambioneus	ethnic name of ‘Amphoneus’
𐀀𐀡𐀚𐀸	a-po-ne-we	ΑμφονέFει (Αμφονεύς)	Amphoneus	place name
𐀀𐀠𐀡𐀩𐀸	a-pi-po-re-we	αμφιφορήFες (αμφορεύς)	amphiphora amphora epi-port	amphora
𐀀𐀡𐀩𐀸	a-po-re-we	αμφορήFες (αμφορεύς)	amphora	amphora
𐀀𐀠𐀡𐀫	a-pi-po-ro	αμφίπολος	ambi-polos!	attendant
𐀀𐀠𐀦𐀵	a-pi-qo-to	αμφίποτος (>αμφίβατος?)	ambi-potos	 (table) with legs apart
𐀀𐀢	a-pu-	απύ-  (>από-)	apo aᵐpu ambo  𓅓 from	from/with
𐀀𐀢𐀈𐀐	a-pu-do-ke	απύδωκε	apotheke üba-take	to deliver
𐀀𐀢𐀈𐀯	a-pu-do-si	απύδοσις (>απόδοσις)	apodosis! <> übergabe	delivery
𐀀𐁆𐀏𐀚	a-pu2-ka-ne	Αφύγανες	Aiphigenes	ethnic name of ‘Aphy’
𐀀𐁆	a-pu2	Αφύ		place name  (απύ=steep)
𐀀𐁆𐀆	a-pu2-de	Aφύνδε		place name  (απύ=steep)
𐀀𐁆𐀸	a-pu2-we	AφύFει		place name  (απύ=steep)
