𐀆	-de	-δε	de	allative/demonstrative
𐀁𐀩𐀄𐀳𐀩	e-re-u-te-re	Ελευθέρει (Ελευθέραι;)	'-''''- !!'	place name?
𐀁𐀩𐀄𐀴𐀊	e-re-u-ti-ja	Ελευθία	Gelivertya "Liberty" 	goddess’s name (= ‘the Deliverer’)
𐀁𐀪nu 	e-ri-nu 	Ερινύς		goddess’s name
𐀁𐀪𐀏	ˢe-ri-ka	sarga	𒁍 SÍR 𒊮 ŠÀʳ хӕрис 𒄑𒊮𒆗 šagkal 	willow
𐀁𐀪𐀏	e-ri-ka	ελίκας (ελίκα> ελίκη)	'Erika ελίκη “wel''ke” '	willow tree
𐀁𐀫𐀔𐀵	e-ro-ma-to	Ελόμανθος (>Ερύμανθος)		place name
𐀁𐀬𐀲𐀨	e-ru-ta-ra	ερυθρά	'a''red deer erotic Eritrea'	red
𐀁𐀫𐀞𐀐𐀊	e-ro-pa-ke-ja	ελλοφάγεια		game  (hunting)
𐀁𐀫𐀞𐀐𐀲	e-ro-pa-ke-ta	ελλοφαγέτας	<<<<<	 (deer) hunter (ελλός= youngdeer)
𐀁𐀫𐀞𐀐𐀄	e-ro-pa-ke-u	ελλοφαγεύς		 (deer) hunter (ελλός= youngdeer)
𐀁𐀬𐀖𐀛𐀊	e-ru-mi-ni-ja	ελύμνιαι	𓌨 𓎼 𒂊 𒂍 room	roof beams
𐀁𐀭𐀩𐀄	e-sa-re-u	Εσαλεύς	Esaleus Gesairia	place name
𐀁𐀭𐀩𐀸	e-sa-re-we	Έσαλος		place name
𐀁𐀲𐀋𐀄	e-ta-je-u	Εταγεύς		place name
𐀁𐀳	e-te	ένθεν	endon	 (from) inside
𐀁𐀵𐀑𐀊	e-to-ki-ja	εντοίχια	endo…	fittings for insertion in walls
𐀁𐀵𐀛𐀍	e-to-ni-jo	ετώνιον		free-hold
𐀁𐀳𐀈𐀗	e-te-do-mo	 (e-te) δόμος	<<	profession
