Rank 	Rank 	Character 	Character 	Romanizations 	Notes 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Notes 	Notes 	Notes 
46	47	魏 	魏 	Wèi 	State of Wei 	Wei4 	Ngai6 	Ngai 	  	Gūi (X, Z, K, T)Gùi (Q) 	NgweeNgui 	Ngui 	NguiWee 	Ngùi 	 	Viet. 	NguỵNgụy 	*N-qʰuj 	Ngjw+j 	State of Wei 
47	40	呂 	吕 	Lǚ 	A musical note 	Lü3 	Leoi5 	Lui 	Loi 	Lū (X, T)Lī (Z, K)Lǐr (Q) 	LeeLeuLerLoo 	Lî 	Lee 	Liê 	 	Viet. 	LữLã 	*raʔ 	LjoX 	A musical note 
48	46	丁 	丁 	Dīng 	Strong man 	Ting1 	Ding1 Teng4  	Ting 	Ding 	Teng 	Teng 	Tén 	Ten 	Tiang 	 	Viet. 	Đinh 	*tˤeŋ 	Teng 	Strong man 
49	59	任 	任 	Rén 	Appoint 	Jen4 	Jam6 	Yam 	IamYum 	Jîm (Z, K)Lîm (X, Q)Līm (T) 	Jim 	Ngim 	NgimYim 	Nìm 	 	Viet. 	NhiệmNhậm 	*nəm-s 	NyimH 	Appoint 
50	37	沈 	沈 	Shěn 	To sink 	Shen3 	Sam2 	ShumSumSham 	SamShum 	Sím 	Sim 	ShímSím 	Sim 	Sím 	 	Viet. 	ThẩmTrầm 	*l̥əmʔ 	SyimX 	To sink 
51	64	姚 	姚 	Yáo 	Elegant 	Yao2 	Jiu4 	Yiu 	YeowIoIu 	Iâu 	Yeo 	Yào 	Yow 	Iēu 	 	Viet. 	Diêu 	 	 	Elegant 
52	42	盧 	卢 	Lú 	Hut, cottage 	Lu2 	Lou4 	Lo 	Lou 	Lô͘ 	Loh 	Lù 	Loo 	Lū 	 	Viet. 	LưLô 	 	 	Hut, cottage 
53	60	姜 	姜 	Jiāng 	Ginger 	Chiang1 	Goeng1 	Keung 	GeungKeong 	Khiang (Z)Khiong (X, K, T)Khiuⁿ (Q) 	Kiang 	Kiông 	Keong 	Kiong 	 	Viet. 	Khương 	*C.qaŋ 	Kjang 	Ginger 
54	74	崔 	崔 	Cuī 	Towering[18] 	Tsui1 	Ceoi1 	Chui 	Choi 	Chhui 	ChuiChwee 	Tshûi 	Chooi 	Chhoi 	 	Viet. 	Thôi 	*dzˤuj 	Dzwoj 	Towering[18] 
55	56	鍾 	钟 	Zhōng 	"Bell"   State of Zhongli 	Chung1 	Zung1 	Chung 	Chong 	ChiongCheng (K, T) 	Cheng 	ChûngTsung 	ChongChung 	Tung 	 	Viet. 	Chung 	 	 	"Bell"   State of Zhongli 
56	65	譚 	谭 	Tán 	"Talk"   State of Tan 	Tan2 	Taam4 	Tam 	TomHamHom 	Thâm 	Tham 	Thàm 	Tham 	Thóm 	 	Viet. 	Đàm 	 	 	"Talk"   State of Tan 
57	70	陸 	陆 	Lù 	Land 	Lu4 	Luk6 	Luk 	Lok 	Lio̍k 	LokeLek 	Liu̍k 	Luk 	Liuk 	 	Viet. 	Lục 	*ruk 	Ljuwk 	Land 
58	57	汪 	汪 	Wāng 	Sea 	Wang1 	Wong1 	Wong 	  	Ong (X, Q, K, T)Óng (Z) 	Wang 	Vong 	Wong 	Uong 	 	Viet. 	Uông 	*qʷˤaŋ 	Wang 	Sea 
59	61	范 	范 	Fàn 	Example 	Fan4 	Faan6 	Fan 	  	Hoān (X, Z, K, T)Hoǎn (Q)Hwan 	Huang Hoan Hwan  	Fam 	Fam Hoan Hwan  	Fàn 	 	Viet. 	Phạm 	*bomʔ 	BjomX 	Example 
60	69	金 	金 	Jīn 	"Gold" 	Chin1 	Gam1 	Kam 	Gum 	Kim 	Kim 	Kîm 	Kim 	Kim 	 	Viet. 	Kim 	*kəm 	Kim 	"Gold" 
61	63	石 	石 	Shí 	"Stone" 	Shih2 	Sek6 	Shek 	Sek SeacSeak  	Chio̍h 	ChiohCheoh 	Sha̍kSak 	Shak 	Sak 	 	Viet. 	Thạch 	*dak 	Dzyek 	"Stone" 
62	66	廖 	廖 	Liào 	 	Liao4 	Liu6 	Liu 	LewLeowLiewLio 	Liāu (X, Z, K, T)Liàu (Q) 	LeowLiauLiow 	Liau 	LiewLiau 	Lièu 	 	Viet. 	LiêuLiệu 	 	 	 
63	45	賈 	贾 	Jiǎ 	"Merchant" 	Chia3 	Gaa2 	Ka 	Ga  	Ká (X, Q, K, T) Kée (Z) 	Kia 	Ká 	Ka 	Kâ 	 	Viet. 	Giả 	*C.qˤ<r>aʔ-s 	KaeH 	"Merchant" 
64	55	夏 	夏 	Xià 	"Summer"  Xia Dynasty 	Hsia2 	Haa6 	Ha 	  	Hē (K, T)Hā (X, K, T)Hà (Q)Hēe (Z) 	HahHay 	Ha 	Ha 	Hà 	 	Viet. 	Hạ 	 	 	"Summer"  Xia Dynasty 
65	  	韋 	韦 	Wéi 	Soft Leather 	Wei2 	Wai4 	Wai 	Vai 	Ûi (X, Q, K, T)Úi (Z) 	Wee 	VúiVì 	WooiWee 	Uī 	 	Viet. 	Vi 	 	 	Soft Leather 
66	36	傅 	傅 	Fù 	Teacher 	Fu4 	Fu6 	FuFoo 	  	Pò͘ 	Poh 	Fu 	Fu 	Fù 	 	Viet. 	Phó 	*pa-s 	PjuH 	Teacher 
67	62	方 	方 	Fāng 	Square 	Fang1 	Fong1 	Fong 	  	Hong (X, Q, K, T)Png (X, Q, K, T)Puiⁿ (Z) 	Pung 	Fông 	Fong 	Fong 	 	Viet. 	Phương 	*C.paŋ 	Pjang 	Square 
68	73	白 	白 	Bái 	"White" 	Pai2 	Baak6 	Pak 	 Bak 	Pe̍hPe̍k (Z) 	Peh 	Pha̍k 	PakPhak 	Phak 	 	Viet. 	Bạch 	*bˤrak 	Baek 	"White" 
69	67	鄒 	邹 	Zōu 	 	Tsou1 	Zau1 	ChauChow 	JaoChau 	Chau (K, T)Cho͘ (X, Z, K, T)Cho (Q)Che (Z) 	ChouChoh 	Tsêu 	ChewChiew 	Chiu 	 	Viet. 	Trâu 	 	 	 
70	84	孟 	孟 	Mèng 	First, Eminent 	Meng4 	Maang6 	Mang 	  	Bēng (X, Z, K, T)Bèng (Q) 	Meng 	Men 	Mang 	Màng 	 	Viet. 	Mạnh 	*mˤraŋ-s 	MaengH 	First, Eminent 
71	68	熊 	熊 	Xióng 	"Bear" 	Hsiung2 	Hung4 	Hung 	Hong 	Hîm 	Him 	Yùng 	Yoong 	Hiūng 	 	Viet. 	Hùng 	 	 	"Bear" 
72	78	秦 	秦 	Qín 	Qin Dynasty 	Chin2 	Ceon4 	Chun 	Tseun Tseon Chon  	Chîn 	Ching 	Tshìn 	Chin 	Chhín 	 	Viet. 	Tần 	*dzin 	Dzin 	Qin Dynasty 
73	77	邱 	邱 	Qiū1 	Hills 	Chiu1 	Jau1 	Yau 	IaoIau 	Khu 	Khoo 	KhiûHiû 	HewKhew 	Khiu 	 	Viet. 	Khâu 	 	 	Hills 
74	79	江 	江 	Jiāng 	River 	Chiang1 	Gong1 	Kong 	  	Kang 	Kang 	Kông 	Kong 	Kong 	 	Viet. 	Giang 	*kˤroŋ 	Kaewng 	River 
75	91	尹 	尹 	Yǐn 	Administer 	Yin3 	Wan5 	Wan 	  	Ún (K, T)Ín (X, Q, Z) 	UnEunEung 	Yún 	Yoon 	Ín 	 	Viet. 	Doãn 	*m-qurʔ 	YwinX 	Administer 
76	48	薛 	薛 	Xuē 	Wormwood 	Hsüeh1 	Sit3 	Sit 	  	Sih 	 	Siet 	Set 	Siot 	 	Viet. 	Tiết 	 	 	Wormwood 
77	50	閻 	阎 	Yán 	Extremely cruel 	Yen2 	Jim4 	Yim 	Im 	Giâm 	Ngiam 	Ngiàm 	NgiamYam 	Iēm 	 	Viet. 	Diêm 	 	 	Extremely cruel 
78	87	段 	段 	Duàn 	Section, part 	Tuan4 	Dyun6 	Tuen 	Tun 	Toān (X, Z, K, T)Toàn (Q) 	TngTeung 	Thon 	TonThon 	Thòn 	 	Viet. 	Đoàn 	 	 	Section, part 
79	88	雷 	雷 	Léi 	"Thunder" 	Lei2 	Leoi4 	Lui 	Loi 	Lûi 	Lui 	Lùi 	LooiLui 	Lōi 	 	Viet. 	Lôi 	*C.rˤuj 	Lwoj 	"Thunder" 
80	82	侯 	侯 	Hóu 	Marquis 	Hou2 	Hau4 	Hau 	Hao 	Hô͘ (X, Z)Hâu (Q, K, T)Kâu (X, Q, Z) 	Hoh Hau  	Hèu 	Hew 	Héu 	 	Viet. 	Hầu 	 	 	Marquis 
81	85	龍 	龙 	Lóng 	"Dragon" 	Lung2 	Lung4 	LungLoong 	Long 	Lêng (K, T)Liông 	Leng Liong  	Liùng 	Loong 	Liūng 	 	Viet. 	Long 	 	 	"Dragon" 
82	80	史 	史 	Shǐ 	History 	Shih3 	Si2 	Sze 	Si 	Sú (X, Z, K, T)Sái (X, Q)Sír (Q) 	SerSeuSze 	Sṳ́ 	SooSze 	Sî 	 	Viet. 	Sử 	 	 	History 
83	  	陶 	陶 	Táo 	Pleased 	Tao2 	Tou4 	ToTao 	Tow 	Tô (X, Z, K, T)Tô͘ (Q)Thô (Q) 	Tow 	ThàuThò 	TaoTow 	Thóu 	 	Viet. 	Đào 	 	 	Pleased 
84	93	黎 	黎 	Lí 	Multitude 	Li2 	Lai4 	Lai 	  	Lê 	LoyLoi 	LìLài 	LeeLai 	Lī 	 	Viet. 	Lê 	 	 	Multitude 
85	97	賀 	贺 	Hè 	Congratulate 	Hê4Ho4 	Ho6 	Ho 	  	Hō (X, Z, K, T)Hò (Q) 	Hor 	HoFo 	Ho 	Hò 	 	Viet. 	Hạ 	 	 	Congratulate 
86	81	顧 	顾 	Gù 	 	Ku4 	Gu3 	Ku 	GooGu Khoo  	Kò͘ 	Koh 	Ku 	Koo 	Kū 	 	Viet. 	Cố 	 	 	 
87	76	毛 	毛 	Máo 	"Fur, Hair" 	Mao2 	Mou4 	Mo 	Mou 	Mô͘ 	Mor 	MôMâu 	MoMao 	Mōu 	 	Viet. 	Mao 	 	 	"Fur, Hair" 
88	71	郝 	郝 	Hǎo 	 	Hao3 	Kok3 	Kok 	  	Hok 	Hak 	Khok 	  	Hok 	 	Viet. 	Hác 	 	 	 
89	99	龔 	龚 	Gōng 	Give, Present 	Kung1 	Gung1 	Kung 	Kwong 	Kéng (X, Q, K, T)Kiong (Z) 	 	Kiûng 	Kong 	Kiung 	 	Viet. 	Cung 	 	 	Give, Present 
90	83	邵 	邵 	Shào 	Pottery 	Shao4 	Siu6 	SiuShiu 	ShawSio 	Siō (X, K, T)Siāu (Z, K, T)Siàu (Q) 	SeowSioh 	ShauSau 	Shao 	Sèu 	 	Viet. 	Thiệu 	 	 	Pottery 
