sehnen,yearn (juarn),眷 juàn,,journey? <> jour,
swine,Schweine Schinken,豕 	shǐ,,家 jiā,价 [價] jià preis
car cap charriot etc,Karre / Kutsche,車 	chē,,,
ship,Schiff,舟 zhōu  chiêu,,,Schief/ Schlitten!
(s)walk swagger,sway,辵 (辶/⻌/⻍) suớc = chuò,,,
distinguished,bienfr ,property,biin,bin:good,bon
landed property,Liegenschaft,里 lǐ,,,
,,,,,
furrow,Furche,阜 fù,,,
slave ,Lehn,隶 lệ,(s)leh,,
wrong,falsch fälschen …,非 fēi,,,
tanned leather,property,革 gé,,,
fly,Voegel fliegen,飛 fēi,,,
grain,Mais,麥 mài ,,,
tall,groß geor-man,高 gāo,,,
salt,lo- lös-  i.e. so-lu-tion,鹵 lǔ,,,
sell,myy (Finnic),賣 mài,,,
clay / pottery,FI:savi,匋(táo/đào),,,
ghost ghoul,Geist,鬼 guǐ 	,,冎 gu=bone,
skeleton / bone,ghoul ,冎(guǎ),,guon=dog,<> 滑 huá glatt/ gleit  划 huá ruder
enter,rein!,入 [入] rù,roots@earth,rou -> leo,入 口 门  rù kǒumén die Eingangstür ;),,,,,, ,,
gape ,schulden / gähnen / gain,欠 [欠] qiàn, ,,-> gen : rise/grow/create
title/ theme,title,题 [題] tí, ,, 
job/ shift/ service,Schicht,事 [事] shì,,,
shift/ service,Schicht / Dienstpflicht,值 zhí / 职 zhí,,,
linden  / lime forest,Linde,林 Lín [lam],,-> LAM!?,
cheese,Käse,起 qǐsī (台湾), ,, 
hemp,mariu.ana,麻 má,,,
money,bill,币 [幣] bì,,,
regent,Regens ♀  Ašhur!,主任 zhǔrèn ,,,Assur Aser Ashur …  vs 王 Wang=King
fiery fury,Wut/ Wotan,火  头 huǒtóu,,,Hottentotten <- Khoikhoi
love,aimerfr  merry marry Marie,爱 ài,eimer,(ai)MER   𓌸    𓌹   𓌺 ,恋 [戀] liàn 
sister,sissi,姊姊 zǐzi,,,
seed / grass,Saat,Cai [tsai] 才,tsai 艹 cǎo,𓊃   Zeh/ cai  采  宷,子 zi seed/son! Saturn  卉 huì   gruiser
,[can:capability],才cai,kě可,,
snake,Schlange,蛇 shé[ngk],tshnaga,𓆓   (t)sch  I10,巳蛇 sìshé   Zischer  naga->natter
# six,six 6 ,巳sì,sič,𓋴 Gardiner S29,S wie Sichel
cup,kelch,壳 ké ,,,
heap,Haufen,伙 huǒ,,,
justice,𓇌  𓇋𓇋,义 yì,Y,以 yǐ mittels,♀=Yi=Yian=Vian=Venus    议 yì: Ansicht/ Antrag
feather -> justice,𓇌  𓇋𓇋,羽 yǔ,Y,雨yǔ=♀ Yians tear,dāng當 just <> dom/ dan
too,two,亦 yì,y~e~and,♀ Yian,♀=Yi=Yian=Vian=Venus double star     易 yì : change (werewolf)
`cause,reason/ ries.an/ Kauda,因 yīn,由 yóu,kau+da = yi+an,you in! ;)  just<>right?
two,[venus double star: 2],兩 liǎng      lie+yian = like,,Iana=Genie,Janus Doppelkopf
good ,like[able] fine (vian),良 liáng  ,,,涼 liáng kühl 	
Yin,bad moon,lyuen 𓇹月阴,,yuen月/ yin阴,gyn gwyn myun: feminin mean Minne  vs 阳 [陽] yáng/ 羊 yáng sankht
glint/ luster/ glamour,glanz,亮 liàng,,,brilliancy = brille.ian ♀
love/ lust,long/ liebe!,恋 liàn,,,yian + 心 xīn = ♡
ghost/ jinn,jin/ genie,精 jīng,,,gin tonic Flaschengeist
capital,shining head,京 jīng  ♀,♀jini,,
spring,jini spring,井 jǐng,,,
[measure],2 long lines,兩 liǎng   量 liàng ,,like=li(e),
band/ tape/ bind,Band/ Bänder/ zubinden,束 shù 本 běn,,<> 卜 bǔ  把 bǎ 笆 ba ,束 shù Schwall <> Strahl
introduced > 1500AD,das Nickel - Ni,niè, ,, 
nun/ niña/ lady,nun Nonne,女nǚ 尼 ní ,Ba’nu = lady,,nun/ nin@sumer vs Ba’al = lord  <> Nacht Göttinnen/ Nun/ Nut/ Neith
leopard,,猎豹 lièbào ,,,
gang/ gainst,gen/ ganz gegen Gang(Klan),干 [幹] gàn,,,gans Groß: 千 qiān 1000   be/gegangen   𓂻   𓂻   𓂻 
raw ribs / meat,roh,肉 (⺼) ròu,,,
toll / customs ,ca. 3/3 cm / Zollkontrolle,寸 cùn,—,,knive?
south,nicht Norden,南 [南] nán,,,
bleb / bubble,die Blase  Pl.: die Blasen,泡 [泡] pào, ,,
bang: strike,,碰 [碰] pèng,,,
phœnix,Fenix 𓅂 ,丰 Fēng 凤 / 凰 huáng,,,
(hang on) line / row,Hang-Leine,行 háng,,,
howl,,号 hào,,,-ono
ship(ing),hangar from haimgard ,航 háng ,,,
huge men,Hühnen,汉 HÀN ,,Hunnen 号 hào 很 hěn,Hahn-Riter huang=yellow   红 hong=red   huang-utang?
hand,Hand,又 'Hand',又 Hand,汉 HÀN  鸡 Hahn/Huhn,vs  手 shǒu yòu 又   [show you!]  友 yǒu (friend) 由 yóu
and/ with/ mix/ togth,(h)and/ kon/ con-…/ con-tain,含 hán-> 合 hé 和 hé,,Hen,hen -> he-> 而 ér   hen->跟 gēn: mit   h~k~g qed    (lend Hand? ->herein?)
con-verge/ together,he->hui,会 [會] huì 回 huí 汇 huì,,,
mixed/ confused,huh?  uhuh-nacht,昏 hūn,,,-> 旱 hàn arm/ karg/ brutal/ dumm / tapfer   Kampfbegriff +/- Han Gruppe!
name,how is your name?,号 hào,,,see you! derivatives vs ‘how?’
good,how is your wife+son?,好 hào,,,
huge,haushoch,浩 hào,hauh ,hao=white,𓁨 hao  1.000.000  Hohei(t) (hoch/high)  C11 𓁨 -> 巨大 jùdà  sha Ш  山shen
tall,groß geor-man,高 gāo,,,<> tell/ mount
together/ with,zu-sammen / eins ~ yīqí 一齐,及 jí 既 jì 且 qiě  与 yǔ,,,
,sum up,计 [計] jì,,,
,,,,,
Witze reißen,bruhaha (verb),打哈 哈  dǎhāhā,, ,ONO! matopetic words are to be excluded
bear child,gen(erate) kin(der) @channel,产 chǎn,,,<> beer bear bur bar El-burz birth birds
root,Gene (generations/ genesis…),根 gēn  艮 Gèn,,,IAN♀ -> Jan -> Jen/ Gen
gang/ ‘gainst,gen / ganz gegen Gang (Klan),干 [幹] gàn,be/ge.gan.gen,𓂻   𓂻   𓂻 ,
walk behind,gehen,跟 gēn,,,
(walk) to.wards,gen (gegen … gehn),跟 gēn,,,to.vers
going to work,Gong zum Arbeits-Gang,工 gōng,ergon,rang by king-gōng 公,-> 攻 gōng to attack/ 共 gòng together/ only male 公 gōng 弓] gōng  bow??
ridge / hill,Gang den Hang entlang,冈 gāng,grat-gang,,-> Fang-Netz   X:danger oXtung!
class,Gong zum Gang,纲 gāng,,,
pot,1. Gang: Gong,缸 gāng,,,
anus,A(n)us-gang  Stuhl-gang,肛 gāng,,,dirty-moon + work-gong an-aus-gang;)
steel,Gong(工) aus Stahl,钢 gāng,,,
main cadre (甘 Gān),Gang,干 gàn,,,-> 杆 gān : Stangan?
the going,begehen,干 gān,,,
move: hurry/ dare/ …,gehen…,趕 gǎn 敢 gǎn 赶 gǎn,,,擀 gǎn: auswalken   ‘go’=‘do it’  / stalk/ …
gone,ver/über-gehen ,过 guò,,,
gone / past events,Vergangenes,故 gù,,,
gainst,gen / gegen Gang,干 gàn,,,
pleasure -> sweet,ganz gefällig (Spaziergang?),甘 gān,,gan-root ~ ben-root M30 𓇜  ,干 gàn = ‘gone’ -> dried fruit ->              甘 gān(sweet) 艮gèn (root)   [dates/orangan]
