Nr	english	word / syllables	PIE	normed cuneiform
10.450 	walk 	pari-; uzzu-; uz-zu-un; uz-zu-un-ta		
10.480 	come 	izzi-; iz-zí-iš; šinni-; šinnu-; ši-in-nu-ik; ši-in-nu		
10.610 	carry (bear) 	kuti-; ku-ti-na; ku-ti-šá		
10.620 	bring 	tela-; te-la-ak-ni; te-la-ni-li		
10.630 	send 	da-; da-an-da; da-h		
10.660 	ride 	te-li-nu-ip		
10.710 	road 	ba-u; bar-du; hu-te		
10.780 	yoke 	za-ap-pan		
11.130 	take 	duma; du-ma; du-ma-iš		
11.210 	give 	duna-; duni-; du-ni-h; du-ni-ha; du-na-áš; du-na-qa; li-; li-h; li-ik		
11.240 	preserve, look after 	kutu-; ku-tu-un; ku-tu-uš-li		
11.270 	destroy 	sari-; sa-ri-h; sa-ri-in-ti		
11.320 	find 	bakka-; ba-ak-qa-h		
11.510 	rich 	sir		
11.640 	debt 	a-h-da-a		
11.650 	pay (vb) 	un-sa-ha; un-sa-iš; za-ag-gi-iš		
11.780 	wages 	te-um-be; ha-nu		
11.870 	price 	šá-ak-ki-me; šá-ak-ki-mi; šá-gi-me		
12.11 	behind 	ki-ik; me-mi; me-ni		
12.40 	before 	tibbe; ti-ib-ba		
12.41 	front 	ti-ib-ba; si-ma		
12.50 	inside, in 	a-ti-in; a-ti-ra; ha-ti		
12.60 	outside 	ki-du-ú-ya; ki-du-ur; ki-du-um-ma; ki-du		
12.70 	under 	šá-ra		
12.110 	place 	kate; qa-te; qa-te-ma		
12.120 	put 	bela-; pela-; be-la; be-ip-la; da-; ta-; ta-at; da-h		
12.220 	join, unite 	ta-rí-ir; ta-ri-ip		
12.240 	open 	te-iš; tu-um-ba-h		
12.250 	shut, close 	kappa-; kap-pa-iš		
12.440 	far (adv) 	šá-da-ni-qa		
12.450 	east 	ha-tin; ha-te-um-me		
12.460 	west 	šu-tin		
12.550 	large, big 	azza-; hazza-; az-za-qa; ha-iz-za-ik-qa; ha-za-qa; rša-; ir-šá-na; ri-ša-ar		
12.560 	small, little 	tila; ti-la		
12.650 	thin (in dimension) 	zikki; zik-ki		
12.670 	deep 	du-šá-ra-ma		
12.710 	flat 	ma-šu-um		
12.730 	straight 	iš-tur-rák-qa		
12.810 	round 	irpi; ir-pi		
12.820 	circle 	pur; pu-ur		
12.830 	sphere, ball 	še-be		
13.10 	one 	ki; ki-ik; ki-ir		
13.20 	two 	mar; ma-ir; mar-ra		
13.30 	three 	ziti; zí-ti		
13.50 	five 	*tu-ku		
13.140 	every, all 	un-ra		
13.150 	much, many 	ir-še-ik-ki		
13.170 	little (quantity), few 	ha-ri-ik-ki		
13.210 	full 	huh; hu-úh		
13.230 	part, piece 	áš		
13.240 	half 	pír-ni; pír-nu-šu; pír-nu-ba		
13.340 	first 	ap-pu-qa-na		
13.370 	pair 	tuk		
14.110 	time 	da-la-ri; dalar.e		
14.140 	young 	puhu.na; pu-hu-na; pu-u-na; pu-un-na		
14.150 	old 	kara; qa-ra		
14.160 	early 	irpi; urpu-; ir-pi; ur-pu-ub-ba; ap-pu-qa		
14.170 	late 	maš-šá; me-šá		
14.180 	now 	a-am; am		
14.260 	end (temporal) 	mur		
14.270 	finish 	tar-ma; tar-maš		
14.310 	always 	a-ka-da		
14.332 	long-time (for a) 	me-ul-li		
14.350 	again 	ki-qa		
14.410 	day 	na; nan:; na-an-me; na-an-na		
14.420 	night 	ši-ut-ma-na; šu-ut-me; šu-ut-ti-me		
14.460 	evening 	te-man; ki-in-na-ra		
14.710 	month 	na-na-me-na; si-in		
14.730 	year 	pi-el; be-ul		
15.350 	sweet 	tena; te-na; hal-ki; halki		
15.380 	acid, sour 	lu-lu-ki; lu-lu-qa		
15.410 	hear 	hap-; ha-ap-hu; ha-ap-ti		
15.460 	quiet, silence 	šà-na		
15.510 	see 	siya-; ziya-; si-ya-nu-un; si-ya-h; si-ya-áš-na; zí-ya		
15.550 	show 	šammi-; ša-am-me-iš; ša-am-mi-iš-ta		
15.640 	white 	ši-mi-ut		
15.670 	blue 	da-ban-ti-na		
15.680 	green 	hu-la-ap-na; hu-ra-ap-na		
15.690 	yellow 	šu-un-ti-na		
15.810 	heavy 	ab-ba-ra		
15.840 	dry 	zí-ti-qa		
16.180 	good fortune, luck 	šá-da; šá-ud-da; ši-ri; šu-ru; šu-ri-na		
16.230 	joyful, glad, happy 	tan-na-am-me		
16.270 	love 	hani-; ha-ni-eš; ha-ni-ik; ha-ni-in; ha-ni-me		
16.510 	dare 	qa-du-uk-qa		
16.530 	fear, fright 	ipši; ip-ši-ip; ip-ši-iš		
16.650 	faithful 	ha-mi-ti; ha-mi-it		
16.660 	true 	siri; si-ri		
16.670 	lie, tell lies 	tit-; ti-ti-ip; ti-ut-ki-um-me		
16.710 	good 	a-a; ba-ha		
16.720 	bad 	muš-nu-ik		
16.790 	praise 	hi-šá		
16.810 	beautiful 	ši-iš-ni		
17.130 	think (= reflect) 	lma-; el-ma; el-man-da; el-man-ti; ul-ma		
17.150 	believe 	uri-; u-ri-iš		
17.170 	know 	turna-; tur-nah; tur-na-u-ut		
