folio	side	line	text
11	back	2	shol.dy.chckhy.shcthy.daiin.dam.<->ykchy.dain.dchy
11	back	3	otchor.dy.kchy.tchy.[@152;:d]ar.qokchd.<->oky.choldy,dy
11	back	4	qokchor.cholol{cr}.chyky.dchy.qoky.<->ctho.tchey.tu
11	back	5	dd
11	back	6	soydy.qoteey.qot.chor.dy.ddy.<->cthor.shy,arg
11	back	7	ycheor.ksho.dor.cthey.s
13	front	1	torshor.opchy.shol.dy.qopchy.shol.opchor.dypchy.dchg
13	front	2	dchol.chol.dol.shkchy.ydal.shy.ykchy.qot[?:ch]y.daiin.s.y
13	front	3	s,y.dchor.shaiin.oeees.ykor.chor.ytshy.ykchy.kchy.dar
13	front	4	qodchy.ytchy.otchor<$>
13	front	5	shorodo.shy.tshy.kchol.dpchy,qopchy.otchol.cfholdy
13	front	6	tchor.dor.daiin.qotchol.okchy.okchor,oiin.chckhy.d
13	front	7	dchy.qoky.chol.dy.qo{kh}y.dokchor.doaiin
13	front	8	shochy.qokchy.torchy.k{chky}.<->s.okchey.daiin
13	front	9	oldy.shey.chol.d[o:a]iin.ykoly.<->okchal.daldy
13	front	10	sotchy.kchy.okorory<$>
13	back	1	koair.chtoiin.otchy.kchod.otol.otchy.octhos
13	back	2	oko.qokol.chodal.otchol.cphol.choty
13	back	3	qokchy.qokod.chy.otchy.cthody
13	back	4	o,l,s.chey.okos.oa[iin:in].okshy.qo{cky}
13	back	5	qoky.daiin<$>
13	back	6	foldaiin.olcphy.shol.dy.<->oty.shor.qotyd.<->dairod
13	back	7	dain.okal.chy.qokchory.<->dchy.kok[y:a]daiin.<->shon
13	back	8	otchy.daiin.yokchy.od,y,taiin
13	back	9	tchtod.otal.cthor.ytal.<->y.chosho.qocthy
13	back	10	y
14	front	1	pcho,daiin.chopol.shoiin.daiin.dain
14	front	2	o,ykeey.soiiin.chok.qokchy.da.okol
14	front	3	ydaiin.olchy.kchor.daiin.olol
14	front	4	ochkch[o:a]r.kol.shy.daiin.dorody
14	front	5	qokchol.dar.dalo.qotolo
14	front	6	ychol.oir.okor.choor.ockhy
14	front	7	otcho.dain.chckhy<$>
14	front	8	soshy.@137;chol.shor.cheos.ykaiin.s
14	front	9	sody.chody.otchody.qotchysho.ty,dy
14	front	10	qotchor.chod.shoty.chody.dolokchydy
14	front	11	dchokchy.schol.dy.shey.dar.qoty.<->ykeeyky
14	front	12	oeeeb.chey.keor.chey.tchyky.<->chodalg
14	front	13	sodaiin.chy.kchy.kchy.ykeody<$>
14	back	1	pdychoiin.yfodain.otyshy.dy.ypchor.daiin.kol.ydain
14	back	2	okchor.d.otchy.ty.chol.daiin
14	back	3	ychy.dy.daiin.chcthy.y[k:t]ykaiin.dytchy.{ykhh}y.ky,dy
14	back	4	ytychy.ksho.ykshy.shokshor.yty.darody.dyoty,ds
14	back	5	okshy.daiin.okchor,chky.qotchy.daiin.cthor.oty
14	back	6	qoty.choky.cthy.chokchy.dy,dy,dy.chckhy.dchyd.n
14	back	7	oy,kshy.cho,ty.dydy,odyd.otchy.o.kchy.dshy.dardy
14	back	8	chokshor.daiin.<->okshody.daiin.<->dol.dair.dam
14	back	9	dykchy.ctholdg.<->dchckhy<$>
15	front	1	tshor.shey.tchaly.<->shy.chtols.shey.daiin
15	front	2	otchor.qokchor.oly.<->okor.shy.koly
15	front	3	qokaiin.qotchydaiin.chol.cthy
15	front	4	scheaiin.chodaiin.chl.<->sol.ckhaiin.sal
