chain_length	codes	glyphs
4	M146 M218/M242/M047/M388/M124 M288 M124/M242/M047/M218/M388	𛼢(M146)  𛿺/𜀺/𛷊/𜌓/𛻃(M218/M242/M047/M388/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M195+M038 M131/M175/M320/M370 M288 M124/M242/M047/M218/M388	𛾣(M195+M038)  𛻛/𛽹/𜇶/𜊛(M131/M175/M320/M370)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M348 M057 M288 M124/M242/M047/M218/M388	𜉈(M348)  𛷶(M057)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M347 M054 M288 M124/M242/M047/M218/M388	𜉇(M347)  𛷪(M054)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M317 M054 M288 M124/M242/M047/M218/M388	𜇟(M317)  𛷪(M054)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M125 M346 M006-cluster M362/M367/M153	𛻇(M125)  𜈽(M346)  [M006-cluster](M006-cluster)  𜉮/𜊊/𛽆(M362/M367/M153)
4	M097 M370/M175/M320/M131 M288 M124/M242/M047/M218/M388	𛹤(M097)  𜊛/𛽹/𜇶/𛻛(M370/M175/M320/M131)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M053 M373 M288 M124/M242/M047/M218/M388	𛷨(M053)  𜊲(M373)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M041 M054 M288 M124/M242/M047/M218/M388	𛶹(M041)  𛷪(M054)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M370+M388+M370 M370/M175/M320/M131 M288 M124/M242/M047/M218/M388	𜊟(M370+M388+M370)  𜊛/𛽹/𜇶/𛻛(M370/M175/M320/M131)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M112 M036/M002/M263 M387/M325 M263/M002/M036	𛺣(M112)  𛶎/𛴾/𜃁(M036/M002/M263)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
4	M039 M032 M376 M203	𛶭(M039)  𛶃(M032)  𜊽(M376)  𛾳(M203)
4	M051 M371 M124/M242/M047/M218/M388 M288	𛷣(M051)  𜊩(M371)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)  𜄱(M288)
4	M384 M388/M242/M047/M218/M124 M288 M124/M242/M047/M218/M388	𜋨(M384)  𜌓/𜀺/𛷊/𛿺/𛻃(M388/M242/M047/M218/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M377+M320+M377/M157 M388/M242/M047/M218/M124 M288 M124/M242/M047/M218/M388	𜋁/𛽔(M377+M320+M377/M157)  𜌓/𜀺/𛷊/𛿺/𛻃(M388/M242/M047/M218/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M059/M001 M054 M288 M124/M242/M047/M218/M388	𛸅/𛴺(M059/M001)  𛷪(M054)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M286 M305/M036+N39C M288 M124/M242/M047/M218/M388	𜄭(M286)  𜆡/𛶙(M305/M036+N39C)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M294 M036/M002/M263 M387/M325 M263/M002/M036	𜅗(M294)  𛶎/𛴾/𜃁(M036/M002/M263)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
4	M372 M388/M242/M047/M218/M124 M288 M124/M242/M047/M218/M388	𜊯(M372)  𜌓/𜀺/𛷊/𛿺/𛻃(M388/M242/M047/M218/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M417 M056 M288 M124/M242/M047/M218/M388	𜌢(M417)  𛷱(M056)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M131+M388 M218/M242/M047/M388/M124 M288 M124/M242/M047/M218/M388	𛻜(M131+M388)  𛿺/𜀺/𛷊/𜌓/𛻃(M218/M242/M047/M388/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M265 M354 M387/M325 M263/M002/M036	𜃓(M265)  𜉠(M354)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
4	M344 M122/M247/M374 M376 M203	𜈻(M344)  𛺹/𜁞/𜊴(M122/M247/M374)  𜊽(M376)  𛾳(M203)
3	M340/M106+M288/M038/M391/M195+M057 M288 M124/M242/M047/M218/M388	𜈱/𛺄𜄱/𛶡/𜌗/𛾥(M340/M106+M288/M038/M391/M195+M057)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M106+M288/M340/M038/M391/M195+M057 M288 M124/M242/M047/M218/M388	𛺄𜄱/𜈱/𛶡/𜌗/𛾥(M106+M288/M340/M038/M391/M195+M057)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M175/M320/M131/M370 M288 M124/M242/M047/M218/M388	𛽹/𜇶/𛻛/𜊛(M175/M320/M131/M370)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M320/M175/M131/M370 M288 M124/M242/M047/M218/M388	𜇶/𛽹/𛻛/𜊛(M320/M175/M131/M370)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M391/M106+M288/M340/M038/M195+M057 M288 M124/M242/M047/M218/M388	𜌗/𛺄𜄱/𜈱/𛶡/𛾥(M391/M106+M288/M340/M038/M195+M057)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M038/M106+M288/M340/M391/M195+M057 M288 M124/M242/M047/M218/M388	𛶡/𛺄𜄱/𜈱/𜌗/𛾥(M038/M106+M288/M340/M391/M195+M057)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M246 M376 M203	𜁒(M246)  𜊽(M376)  𛾳(M203)
3	M207 M081 M311	𛿈(M207)  𛹌(M081)  𜇄(M311)
3	M217 M124/M242/M047/M218/M388 M288	𛿯(M217)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)  𜄱(M288)
3	M374/M247/M122 M376 M203	𜊴/𜁞/𛺹(M374/M247/M122)  𜊽(M376)  𛾳(M203)
3	M111 M387/M325 M263/M002/M036	𛺑(M111)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M380 M124/M242/M047/M218/M388 M288	𜋏(M380)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)  𜄱(M288)
3	M072/M259 M387/M325 M263/M002/M036	𛸧/𜂣(M072/M259)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M247/M122/M374 M376 M203	𜁞/𛺹/𜊴(M247/M122/M374)  𜊽(M376)  𛾳(M203)
3	M046 M288 M124/M242/M047/M218/M388	𛷇(M046)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M370+M388 M288 M124/M242/M047/M218/M388	𜊛𜌓(M370+M388)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M370+M072/M061/M062/M036+N24 M288 M124/M242/M047/M218/M388	𜊛𛸧/𛸍/𛸐/𛶐(M370+M072/M061/M062/M036+N24)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
