chain_id	row_type	step	count	chain_length	codes	glyphs	from_code	from_glyph	to_code	to_glyph
6	summary			9	M145/M145~a/M145~f/M145~e/M145~b M206~g/M206~d/M206~fa/M206~b/M206~f M102~e/M102~d/M102~a/M102~da M309~a/M309~d/M309 M362+M059~d/M362+M059 M367/M367~a/M367~c/M367~i/M367~e/M367~g/M367~d/M367~a1/M153/M362/M362~a/M362~b M346/M346~a/M346~b/M346~d/M346~1/M346~c/M346~a2 M005~a/M006/M006@g/M006@g~1/M006~b M362/M362~a/M362~b/M153/M367/M367~a/M367~c/M367~i/M367~e/M367~g/M367~d/M367~a1	𛼙/𛼚/𛼠/𛼟/𛼛 𛿃/𛾿/𛿂/𛾾/𛿁 𛹱/𛹮/𛹬/𛹰 𜆾/𜇁/𜆽 𜉴/𜉳 𜊊/𜊋/𜊏/𜊔/𜊑/𜊓/𜊐/𜊌/𛽆/𜉮/𜊁/𜊂 𜈽/𜈿/𜉄/𜉆/𜈾/𜉅/𜉁 𛵈/𛵉/𛵊/𛵋/𛵍 𜉮/𜊁/𜊂/𛽆/𜊊/𜊋/𜊏/𜊔/𜊑/𜊓/𜊐/𜊌				
6	step	1	1				M145~c	𛼝	M206~fa	𛿂
6	step	1	1				M145~e	𛼟	M206~f	𛿁
6	step	1	1				M145~a	𛼚	M206~d	𛾿
6	step	2	20				M206~g	𛿃	M102~e	𛹱
6	step	2	1				M206~g	𛿃	M102~d	𛹮
6	step	3	19				M102~e	𛹱	M309~a	𜆾
6	step	3	1				M102~d	𛹮	M309~a	𜆾
6	step	4	2				M309~a	𜆾	M362+M059~d	𜉴
6	step	4	1				M309~a	𜆾	M362+M059	𜉳
6	step	5	1				M362+M059~d	𜉴	M367	𜊊
6	step	5	1				M362+M059	𜉳	M367	𜊊
6	step	6	10				M367	𜊊	M346	𜈽
6	step	6	5				M153	𛽆	M346	𜈽
6	step	6	4				M362	𜉮	M346	𜈽
6	step	6	3				M362~a	𜊁	M346~a	𜈿
6	step	6	3				M367~a	𜊋	M346~a	𜈿
6	step	6	3				M367~d	𜊐	M346	𜈽
6	step	6	2				M367~g	𜊓	M346	𜈽
6	step	6	1				M367	𜊊	M346~c	𜉅
6	step	6	1				M367~c	𜊏	M346~a2	𜉁
6	step	6	1				M367	𜊊	M346~1	𜈾
6	step	6	1				M362	𜉮	M346~1	𜈾
6	step	6	1				M362~a	𜊁	M346	𜈽
6	step	6	1				M362~b	𜊂	M346~a3	𜉂
6	step	6	1				M367~c	𜊏	M346	𜈽
6	step	6	1				M367~d	𜊐	M346~a	𜈿
6	step	6	1				M367	𜊊	M346~a2	𜉁
6	step	7	6				M346	𜈽	M006	𛵉
