record	row_a	row_b	columns	diff_count	glyphs_a	glyphs_b
P008283	8	14	c,d,e,f,g	0	𛺄 𛵓 𛿃 𛹱 𜆾	𛺄 𛵓 𛿃 𛹱 𜆾
P008294	1	2	a,b,d,f,g	0	𜊊 𜈽 𜊁 𜈿 𛵊	𜊊 𜈽 𜊁 𜈿 𛵊
P008294	1	3	a,b,d,f,g	0	𜊊 𜈽 𜊁 𜈿 𛵊	𜊊 𜈽 𜊁 𜈿 𛵊
P008294	1	6	a,b,d,f,g	0	𜊊 𜈽 𜊁 𜈿 𛵊	𜊊 𜈽 𜊁 𜈿 𛵊
P008294	2	4	a,d,e,f,g	0	𜊊 𜊁 𜊋 𜈿 𛵊	𜊊 𜊁 𜊋 𜈿 𛵊
P008294	2	6	a,b,d,f,g	0	𜊊 𜈽 𜊁 𜈿 𛵊	𜊊 𜈽 𜊁 𜈿 𛵊
P008294	3	6	a,b,d,f,g	0	𜊊 𜈽 𜊁 𜈿 𛵊	𜊊 𜈽 𜊁 𜈿 𛵊
P008295	1	3	c,d,e,f,g	0	𛺉 𛵓 𛿃 𛹱 𜆾	𛺉 𛵓 𛿃 𛹱 𜆾
P008295	1	9	c,d,e,f,g	0	𛺉 𛵓 𛿃 𛹱 𜆾	𛺄 𛵓 𛿃 𛹱 𜆾
P008295	1	13	b,c,d,e,f	0	𜃱 𛺉 𛵓 𛿃 𛹱	𜃪 𛺉 𛵓 𛿃 𛹱
P008295	2	3	c,d,e,f,g	0	𛺉 𛵓 𛿃 𛹱 𜆾	𛺉 𛵓 𛿃 𛹱 𜆾
P008295	2	5	c,d,e,f,g	0	𛺉 𛵓 𛿃 𛹱 𜆾	𛺉 𛵓 𛿃 𛹱 𜆾
P008295	2	8	c,d,e,f,g	0	𛺉 𛵓 𛿃 𛹱 𜆾	𛺄 𛵓 𛿃 𛹱 𜆾
P008295	2	9	c,d,e,f,g	0	𛺉 𛵓 𛿃 𛹱 𜆾	𛺄 𛵓 𛿃 𛹱 𜆾
P008295	2	11	c,d,e,f,g	0	𛺉 𛵓 𛿃 𛹱 𜆾	𛺄 𛵓 𛿃 𛹱 𜆾
P008295	3	4	a,c,d,e,f	0	𜉴 𛺉 𛵓 𛿃 𛹱	𜉴 𛺉 𛵓 𛿃 𛹱
P008295	3	5	c,d,e,f,g	0	𛺉 𛵓 𛿃 𛹱 𜆾	𛺉 𛵓 𛿃 𛹱 𜆾
P008295	3	6	c,d,e,f,g	0	𛺉 𛵓 𛿃 𛹱 𜆾	𛺄 𛵓 𛿃 𛹱 𜆾
