score	num_documents	min_gap	sign_a	glyph_a	freq_a	sign_b	glyph_b	freq_b	VERTICAL neighbor examples_with_actual_glyphs
0.0877	2	1	M131+M388	𛻜	13	M352	𜉕	40	P008907(gap1: 𛻜M131+M388/𜉜M352~o), P009252(gap2: 𛻜M131+M388/𜉚M352~n)
0.0870	2	1	M370+M388	𜊛𜌓	11	M373	𜊲	48	P008043(gap1: 𜊣M370~b+M388/𜊲M373), P008490(gap2: 𜊣M370~b+M388/𜊳M373~a)
0.0870	2	1	M053	𛷨	11	M373	𜊲	48	P008043(gap2: 𛷨M053~a/𜊲M373), P008277(gap1: 𛷨M053~a/𜊲M373), P008277(gap2: 𛷨M053~a/𜊲M373), P008277(gap1: 𛷨M053~a/𜊲M373)
0.0870	2	1	M096	𛹜	44	M220	𜀌	12	P008064(gap3: 𛹜M096/𜀌M220), P368489(gap1: 𛹜M096/𜀌M220)
0.0870	2	1	M096	𛹜	44	M329	𜈩	12	P008115(gap3: 𛹣M096~d/𜈩M329), P008117(gap1: 𛹜M096/𜈩M329)
0.0870	2	1	M029	𛵷	22	M103	𛹸	24	P008621(gap1: 𛵹M029~b/𛹸M103), P008621(gap1: 𛵹M029~b/𛹺M103~2), P368483(gap1: 𛵹M029~b/𛹻M103~3)
0.0870	2	1	M259	𜂣	23	M320	𜇶	23	P008547(gap1: 𜂣M259/𜇶M320), P009338(gap2: 𜂣M259/𜇶M320)
0.0869	2	1	M003	𛵁	53	M369	𜊘	10	P008105(gap1: 𛵂M003~b/𜊘M369), P009201(gap1: 𛵂M003~b/𜊘M369)
0.0865	2	1	M057	𛷶	89	M305+M342	𜆲	6	P008314(gap1: 𛸁M057~i/𜆲M305+M342), P009185(gap2: 𛷸M057~a/𜆲M305+M342)
0.0865	2	1	M057	𛷶	89	M344	𜈻	6	P008857(gap1: 𛷶M057/𜈼M344~d), P008858(gap1: 𛷶M057/𜈼M344~d)
0.0865	2	2	M049	𛷑	6	M057	𛷶	89	P009178(gap2: 𛷗M049~m/𛷶M057), P009178(gap3: 𛷗M049~m/𛷶M057), P009382(gap3: 𛷕M049~da/𛷿M057~e)
0.0861	2	2	M193	𛾚	12	M210	𛿙	45	P008273(gap2: 𛾚M193/𛿡M210~g), P008322(gap2: 𛾟M193~f/𛿙M210)
0.0856	2	1	M054	𛷪	182	M370+M046	𜊛𛷇	3	P008105(gap1: 𛷪M054/𜊡M370~b+M046), P008105(gap3: 𛷪M054/𜊡M370~b+M046), P008193(gap2: 𛷪M054/𜊡M370~b+M046)
0.0856	2	1	M125	𛻇	21	M136+M365	𛻳	26	P008349(gap1: 𛻇M125/𛻳M136+M365), P008779(gap3: 𛻇M125/𛻳M136+M365)
0.0853	2	1	M217	𛿯	25	M327+M342	𜈟	22	P008310(gap1: 𛿶M217~h/𜈟M327+M342), P008612(gap3: 𛿯M217/𜈟M327+M342)
0.0853	2	2	M327+M342	𜈟	22	M348	𜉈	25	P008383(gap3: 𜈟M327+M342/𜉈M348), P368546(gap2: 𜈟M327+M342/𜉈M348)
0.0853	2	2	M029	𛵷	22	M217	𛿯	25	P009249(gap2: 𛵸M029~a/𛿲M217~a), P368483(gap2: 𛵹M029~b/𛿯M217)
0.0850	2	1	M047	𛷊	7	M066	𛸗	79	P008164(gap1: 𛷊M047/𛸗M066), P009225(gap3: 𛷊M047/𛸗M066)
0.0845	2	2	M024	𛵮	35	M380	𜋏	16	P008037(gap2: 𛵯M024~1/𜋐M380~b), P008051(gap2: 𛵮M024/𜋐M380~b)
0.0845	2	2	M147	𛼫	20	M383	𜋜	28	P008076(gap3: 𛼬M147~a/𜋤M383~j), P009153(gap3: 𛼫M147/𜋣M383~h), P009153(gap2: 𛼫M147/𜋡M383~e)
0.0845	2	2	M050	𛷙	14	M243	𜁃	40	P008234(gap3: 𛷚M050~k/𜁏M243~j), P008234(gap3: 𛷚M050~k/𜁏M243~j), P008354(gap2: 𛷚M050~k/𜁏M243~j)
0.0845	2	1	M032	𛶃	56	M375	𜊶	10	P008653(gap3: 𛶃M032/𜊶M375), P008898(gap2: 𛶄M032~a/𜊶M375), P008898(gap1: 𛶃M032/𜊶M375), P008898(gap3: 𛶄M032~a/𜊶M375)
0.0840	2	2	M072	𛸧	63	M370+M072+M370	𜊝	9	P008043(gap2: 𛸧M072/𜊝M370+M072+M370), P009183(gap2: 𛸧M072/𜊝M370+M072+M370)
0.0840	2	1	M072	𛸧	63	M370+M388+M370	𜊟	9	P008105(gap3: 𛸧M072/𜊟M370+M388+M370), P008105(gap1: 𛸧M072/𜊟M370+M388+M370), P009183(gap3: 𛸧M072/𜊟M370+M388+M370)
0.0838	2	1	M036	𛶎	95	M175+M136	𛽽	6	P008234(gap3: 𛶎M036/𛽽M175+M136), P008234(gap1: 𛶎M036/𛽽M175+M136), P008279(gap3: 𛶎M036/𛽽M175+M136)
0.0833	2	1	M329	𜈩	12	M373	𜊲	48	P008105(gap2: 𜈩M329/𜊲M373), P008105(gap1: 𜈩M329/𜊲M373), P008490(gap3: 𜈩M329/𜊳M373~a)
0.0833	2	1	M036+N30D	𛶔	48	M228	𜀢	12	P008435(gap1: 𛶔M036+N30D/𜀢M228), P009228(gap2: 𛶔M036+N30D/𜀩M228~d), P009228(gap1: 𛶔M036+N30D/𜀩M228~d), P009228(gap1: 𛶔M036+N30D/𜀩M228~d)
0.0828	2	1	M003	𛵁	53	M382	𜋔	11	P008827(gap2: 𛵂M003~b/𜋗M382~c), P008827(gap1: 𛵂M003~b/𜋗M382~c), P009122(gap1: 𛵁M003/𜋔M382)
0.0822	2	2	M004	𛵅	37	M242	𜀺	16	P008353(gap2: 𛵅M004/𜀼M242~b), P009257(gap3: 𛵅M004/𜀺M242)
0.0816	2	3	M217	𛿯	25	M347	𜉇	24	P008083(gap3: 𛿯M217/𜉇M347), P008188(gap3: 𛿯M217/𜉇M347)
