rank	count	glyph	base	boundary %	variants	
48	5	𜄚	M281	34	𜄚 M281~f×3, 𜄗 M281~c×2	
58	4	𛹧	M099	34	𛹧 M099×3, 𛹩 M099~b×1	
62	4	𛺄𜄱	M106+M288	35	𛺄𜄱 M106+M288×2, 𛺈 M106~2+M288×2	
46	5	𛺑	M111	36	𛺒 M111~a×3, 𛺓 M111~b×1, 𛺕 M111~d×1	
192	1	𜈆	M323	36	𜈈 M323~a×1	
43	5	𜇏	M314	37	𜇏 M314×5	
56	4	𜁱	M249	39	𜁸 M249~n1×1, 𜁵 M249~h×1, 𜁷 M249~n×1, 𜁶 M249~m×1	
26	8	𛶈	M033	40	𛶈 M033×6, 𛶉 M033~a×2	
168	1	𛼺	M151	42	𛼺 M151×1	
91	2	𛾄	M175+M288	43	𛾄 M175+M288×2	
181	1	𛷤	M051	43	𛷤 M051~b×1	
123	1	𛿩	M214	44	𛿩 M214~c×1	
11	12	𛶬	M038	45	𛶬 M038~i×5, 𛶨 M038~e×4, 𛶤 M038~b×1, 𛶡 M038~a×1, 𛶣 M038~a2×1	
18	9	𜀕	M223	45	𜀕 M223×4, 𜀗 M223~b×4, 𜀖 M223~a×1	
55	4	𛻛	M131	45	𛻟 M131~e×2, 𛻞 M131~d×1, 𛻛 M131×1	
100	2	𛸪	M073	45	𛸪 M073~b×2	
103	2	𛶹	M041	46	𛶻 M041~d×1, 𛶹 M041×1	
104	2	𜀓	M222	46	𜀓 M222×2	
148	1	𛼗	M144	46	𛼘 M144~a×1	
135	1	𜋒	M381	47	𜋒 M381×1	
19	9	𛾢	M195	48	𛾢 M195×8, 𛾫 M195~m×1	
133	1	𜁨	M248	48	𜁰 M248~g×1	
51	5	𛽹	M175	50	𛽹 M175×4, 𛾌 M175~b×1	
87	3	𛶟	M037	50	𛶟 M037×3	
106	2	𛽹	M175+M203	50	𛾂 M175+M203~a×2	
113	2	𛿥	M213	50	𛿥 M213×2	
146	1	𛹕	M090	50	𛹕 M090×1	
158	1	𛽭	M158	50	𛽯 M158~c×1	
159	1	𛹘	M093	50	𛹘 M093×1	
163	1	𛾏	M177	50	𛾐 M177~a×1	
180	1	𜉨	M359	50	𜉨 M359×1	
186	1	𜈜	M327+M059	50	𜈜 M327+M059×1	
39	6	𛽆	M153	52	𛽆 M153×6	
47	5	𛼙	M145	52	𛼙 M145×2, 𛼚 M145~a×2, 𛼞 M145~d×1	
99	2	𜈨	M328	53	𜈨 M328~c×1, 𜈧 M328~b×1	
21	8	𜀀	M218+M288	54	𜀀 M218+M288×8	
40	5	𜇳	M319	54	𜇳 M319×4, 𜇵 M319~c×1	
108	2	𜋂	M377+M377	54	𜋂 M377+M377×2	
170	1	𛼔	M143	54	𛼔 M143×1	
20	9	𜅊	M292	55	𜅏 M292~f×4, 𜅊 M292×3, 𜅍 M292~d×1, 𜅌 M292~c×1	
35	6	𜈩	M329	55	𜈩 M329×6	
52	5	𜆛	M304	55	𜆛 M304×5	
77	3	𜋨	M384	55	𜋨 M384×2, 𜋭 M384~d×1	
92	2	[M361]	M361	55	𜉫 M361~b×2	
97	2	𛾸	M205	55	𛾸 M205×1, 𛾻 M205~c×1	
162	1	𜆨	M305+M136	56	𜆨 M305+M136×1	
