count	length	glyphs	codes	example_records
2	3	𜌓 𛼙 𜊩	M388 M145 M371	P009180, P009204
2	3	𛸗 𜉕 𛷶	M066 M352 M057	P009183, P009190
2	3	𛿺 𜀈 𛵷	M218 M219 M029	P009196, P009466
2	3	𜆡 𜌓 𛵓	M305 M388 M009	P009228, P272825
2	3	𜆡 𜌓 𛹤	M305 M388 M097	P009242, P368485
2	3	𜌓 𜄤 𜄱	M388 M285 M288	P009337, P009337
2	3	𛵷 𛻌 𛹜	M029 M128 M096	P009356, P009375
2	3	𛸗 𜉕 𜉇	M066 M352 M347	P009375, P009412
2	3	𜌓 𛵓 𜊩	M388 M009 M371	P009376, P272825
2	3	𜌓 𛿺 𜀈	M388 M218 M219	P009466, P009535
2	3	𛺑 𛴺 𜌓	M111 M001 M388	P368478, P368480
2	3	𛶡 𜇳 𜄱	M038 M319 M288	P368507, P368507
