Unicode	Hieroglyph	PUA	Hieratic/PUA	Glyph name
U+13153	𓅓	U+F3153	󳅓	u13153
U+13154	𓅔	U+F3154	󳅔	u13154
U+13155	𓅕	U+F3155	󳅕	u13155
U+13156	𓅖	U+F3156	󳅖	u13156
U+13157	𓅗	U+F3157	󳅗	u13157
U+13158	𓅘	U+F3158	󳅘	u13158
U+13159	𓅙	U+F3159	󳅙	u13159
U+1315A	𓅚	U+F315A	󳅚	u1315A
U+1315B	𓅛	U+F315B	󳅛	u1315B
U+1315C	𓅜	U+F315C	󳅜	u1315C
U+1315D	𓅝	U+F315D	󳅝	u1315D
U+1315E	𓅞	U+F315E	󳅞	u1315E
U+1315F	𓅟	U+F315F	󳅟	u1315F
U+13160	𓅠	U+F3160	󳅠	u13160
U+13161	𓅡	U+F3161	󳅡	u13161
U+13162	𓅢	U+F3162	󳅢	u13162
U+13163	𓅣	U+F3163	󳅣	u13163
U+13164	𓅤	U+F3164	󳅤	u13164
U+13165	𓅥	U+F3165	󳅥	u13165
U+13166	𓅦	U+F3166	󳅦	u13166
U+13167	𓅧	U+F3167	󳅧	u13167
U+13168	𓅨	U+F3168	󳅨	u13168
U+13169	𓅩	U+F3169	󳅩	u13169
U+1316A	𓅪	U+F316A	󳅪	u1316A
U+1316B	𓅫	U+F316B	󳅫	u1316B
U+1316C	𓅬	U+F316C	󳅬	u1316C
U+1316D	𓅭	U+F316D	󳅭	u1316D
U+1316E	𓅮	U+F316E	󳅮	u1316E
U+1316F	𓅯	U+F316F	󳅯	u1316F
U+13170	𓅰	U+F3170	󳅰	u13170
U+13171	𓅱	U+F3171	󳅱	u13171
U+13172	𓅲	U+F3172	󳅲	u13172
U+13173	𓅳	U+F3173	󳅳	u13173
U+13174	𓅴	U+F3174	󳅴	u13174
U+13175	𓅵	U+F3175	󳅵	u13175
U+13176	𓅶	U+F3176	󳅶	u13176
U+13177	𓅷	U+F3177	󳅷	u13177
U+13178	𓅸	U+F3178	󳅸	u13178
U+13179	𓅹	U+F3179	󳅹	u13179
U+1317A	𓅺	U+F317A	󳅺	u1317A
U+1317B	𓅻	U+F317B	󳅻	u1317B
U+1317C	𓅼	U+F317C	󳅼	u1317C
U+1317D	𓅽	U+F317D	󳅽	u1317D
U+1317E	𓅾	U+F317E	󳅾	u1317E
U+1317F	𓅿	U+F317F	󳅿	u1317F
U+13180	𓆀	U+F3180	󳆀	u13180
U+13181	𓆁	U+F3181	󳆁	u13181
U+13182	𓆂	U+F3182	󳆂	u13182
U+13183	𓆃	U+F3183	󳆃	u13183
U+13184	𓆄	U+F3184	󳆄	u13184
U+13185	𓆅	U+F3185	󳆅	u13185
U+13186	𓆆	U+F3186	󳆆	u13186
U+13187	𓆇	U+F3187	󳆇	u13187
U+13188	𓆈	U+F3188	󳆈	u13188
U+13189	𓆉	U+F3189	󳆉	u13189
U+1318A	𓆊	U+F318A	󳆊	u1318A
U+1318B	𓆋	U+F318B	󳆋	u1318B
U+1318C	𓆌	U+F318C	󳆌	u1318C
U+1318D	𓆍	U+F318D	󳆍	u1318D
U+1318E	𓆎	U+F318E	󳆎	u1318E
U+1318F	𓆏	U+F318F	󳆏	u1318F
U+13190	𓆐	U+F3190	󳆐	u13190
U+13191	𓆑	U+F3191	󳆑	u13191
U+13192	𓆒	U+F3192	󳆒	u13192
U+13193	𓆓	U+F3193	󳆓	u13193
U+13194	𓆔	U+F3194	󳆔	u13194
U+13195	𓆕	U+F3195	󳆕	u13195
U+13196	𓆖	U+F3196	󳆖	u13196
U+13197	𓆗	U+F3197	󳆗	u13197
U+13198	𓆘	U+F3198	󳆘	u13198
U+13199	𓆙	U+F3199	󳆙	u13199
U+1319A	𓆚	U+F319A	󳆚	u1319A
U+1319B	𓆛	U+F319B	󳆛	u1319B
U+1319C	𓆜	U+F319C	󳆜	u1319C
U+1319D	𓆝	U+F319D	󳆝	u1319D
