Unicode	Hieroglyph	Experimental Hieratic	Hieratic char	Glyph name
U+130EA	𓃪	U+330EA	𳃪	u130EA
U+130EB	𓃫	U+330EB	𳃫	u130EB
U+130EC	𓃬	U+330EC	𳃬	u130EC
U+130ED	𓃭	U+330ED	𳃭	u130ED
U+130EE	𓃮	U+330EE	𳃮	u130EE
U+130EF	𓃯	U+330EF	𳃯	u130EF
U+130F0	𓃰	U+330F0	𳃰	u130F0
U+130F1	𓃱	U+330F1	𳃱	u130F1
U+130F2	𓃲	U+330F2	𳃲	u130F2
U+130F3	𓃳	U+330F3	𳃳	u130F3
U+130F4	𓃴	U+330F4	𳃴	u130F4
U+130F5	𓃵	U+330F5	𳃵	u130F5
U+130F6	𓃶	U+330F6	𳃶	u130F6
U+130F7	𓃷	U+330F7	𳃷	u130F7
U+130F8	𓃸	U+330F8	𳃸	u130F8
U+130F9	𓃹	U+330F9	𳃹	u130F9
U+130FA	𓃺	U+330FA	𳃺	u130FA
U+130FB	𓃻	U+330FB	𳃻	u130FB
U+130FC	𓃼	U+330FC	𳃼	u130FC
U+130FD	𓃽	U+330FD	𳃽	u130FD
U+130FE	𓃾	U+330FE	𳃾	u130FE
U+130FF	𓃿	U+330FF	𳃿	u130FF
U+13100	𓄀	U+33100	𳄀	u13100
U+13101	𓄁	U+33101	𳄁	u13101
U+13102	𓄂	U+33102	𳄂	u13102
U+13103	𓄃	U+33103	𳄃	u13103
U+13104	𓄄	U+33104	𳄄	u13104
U+13105	𓄅	U+33105	𳄅	u13105
U+13106	𓄆	U+33106	𳄆	u13106
U+13107	𓄇	U+33107	𳄇	u13107
U+13108	𓄈	U+33108	𳄈	u13108
U+13109	𓄉	U+33109	𳄉	u13109
U+1310A	𓄊	U+3310A	𳄊	u1310A
U+1310B	𓄋	U+3310B	𳄋	u1310B
U+1310C	𓄌	U+3310C	𳄌	u1310C
U+1310D	𓄍	U+3310D	𳄍	u1310D
U+1310E	𓄎	U+3310E	𳄎	u1310E
U+1310F	𓄏	U+3310F	𳄏	u1310F
U+13110	𓄐	U+33110	𳄐	u13110
U+13111	𓄑	U+33111	𳄑	u13111
U+13112	𓄒	U+33112	𳄒	u13112
U+13113	𓄓	U+33113	𳄓	u13113
U+13114	𓄔	U+33114	𳄔	u13114
U+13115	𓄕	U+33115	𳄕	u13115
