Linear A Unicode character reference
====================================

DATA TYPE
This is a Unicode character reference, not a transcription of individual
Linear A tablets. It contains every assigned Linear A character in Unicode
17.0, with the literal encoded character, code point, and normative Unicode
character name.

LIMITATION / TABLET TRANSCRIPTIONS
The INSCRIBE 3D Interactive Web Viewer provides 3D models and metadata, but its
public viewer does not provide downloadable Unicode transcriptions of those
tablets. SigLA provides a scholarly, searchable corpus of Linear A documents
and sign attestations (CC BY-NC-SA 4.0), but its project description identifies
full transliteration and Unicode transcription as planned additions rather
than current tablet-level Unicode data. Consequently, this file does not claim
to reproduce or align the signs on any particular INSCRIBE model.

For tablet-level study, use SigLA's document corpus alongside the 3D viewer.
The character table below can then be used to encode signs that have secure
Unicode correspondences. Linear A is undeciphered; character names such as
AB001 and A301 are catalog identifiers, not translations.

PROVENANCE AND RIGHTS
- Unicode Character Database 17.0.0, UnicodeData.txt:
  https://www.unicode.org/Public/17.0.0/ucd/UnicodeData.txt
- Unicode Linear A code chart (U+10600-U+1077F):
  https://www.unicode.org/charts/PDF/U10600.pdf
- Unicode Core Specification, Linear A:
  https://www.unicode.org/versions/Unicode17.0.0/core-spec/chapter-8/#G26736
- Unicode Terms of Use / Data Files and Software License:
  https://www.unicode.org/license.txt
- INSCRIBE 3D Interactive Web Viewer:
  https://www.inscribercproject.com/3d_viewer_home.php
- INSCRIBE project description:
  https://site.unibo.it/inscribe/en/output/3d-model-viewer
- SigLA corpus:
  https://sigla.phis.me/
- SigLA project description (including present/future transcription status):
  https://sigla.phis.me/paper.html
- SigLA dataset license: CC BY-NC-SA 4.0
  https://creativecommons.org/licenses/by-nc-sa/4.0/

Generated from the normative UnicodeData.txt names. UnicodeData itself is
provided under the Unicode data-files license cited above. No SigLA dataset,
INSCRIBE model, or copyrighted GORILA transcription is copied into this file.

FORMAT
character<TAB>code_point<TAB>unicode_name

𐚪	U+106AA	LINEAR A SIGN A410-VAS
𐚫	U+106AB	LINEAR A SIGN A411-VAS
𐚬	U+106AC	LINEAR A SIGN A412-VAS
𐚭	U+106AD	LINEAR A SIGN A413-VAS
𐚮	U+106AE	LINEAR A SIGN A414-VAS
𐚯	U+106AF	LINEAR A SIGN A415-VAS
𐚰	U+106B0	LINEAR A SIGN A416-VAS
𐚱	U+106B1	LINEAR A SIGN A417-VAS
𐚲	U+106B2	LINEAR A SIGN A418-VAS
𐚳	U+106B3	LINEAR A SIGN A501
𐚴	U+106B4	LINEAR A SIGN A502
𐚵	U+106B5	LINEAR A SIGN A503
𐚶	U+106B6	LINEAR A SIGN A504
𐚷	U+106B7	LINEAR A SIGN A505
𐚸	U+106B8	LINEAR A SIGN A506
𐚹	U+106B9	LINEAR A SIGN A508
𐚺	U+106BA	LINEAR A SIGN A509
𐚻	U+106BB	LINEAR A SIGN A510
𐚼	U+106BC	LINEAR A SIGN A511
𐚽	U+106BD	LINEAR A SIGN A512
𐚾	U+106BE	LINEAR A SIGN A513
𐚿	U+106BF	LINEAR A SIGN A515
𐛀	U+106C0	LINEAR A SIGN A516
𐛁	U+106C1	LINEAR A SIGN A520
𐛂	U+106C2	LINEAR A SIGN A521
𐛃	U+106C3	LINEAR A SIGN A523
𐛄	U+106C4	LINEAR A SIGN A524
𐛅	U+106C5	LINEAR A SIGN A525
𐛆	U+106C6	LINEAR A SIGN A526
𐛇	U+106C7	LINEAR A SIGN A527
𐛈	U+106C8	LINEAR A SIGN A528
𐛉	U+106C9	LINEAR A SIGN A529
𐛊	U+106CA	LINEAR A SIGN A530
𐛋	U+106CB	LINEAR A SIGN A531
𐛌	U+106CC	LINEAR A SIGN A532
𐛍	U+106CD	LINEAR A SIGN A534
𐛎	U+106CE	LINEAR A SIGN A535
𐛏	U+106CF	LINEAR A SIGN A536
𐛐	U+106D0	LINEAR A SIGN A537
𐛑	U+106D1	LINEAR A SIGN A538
𐛒	U+106D2	LINEAR A SIGN A539
𐛓	U+106D3	LINEAR A SIGN A540
𐛔	U+106D4	LINEAR A SIGN A541
𐛕	U+106D5	LINEAR A SIGN A542
𐛖	U+106D6	LINEAR A SIGN A545
𐛗	U+106D7	LINEAR A SIGN A547
𐛘	U+106D8	LINEAR A SIGN A548
𐛙	U+106D9	LINEAR A SIGN A549
𐛚	U+106DA	LINEAR A SIGN A550
𐛛	U+106DB	LINEAR A SIGN A551
𐛜	U+106DC	LINEAR A SIGN A552
𐛝	U+106DD	LINEAR A SIGN A553
𐛞	U+106DE	LINEAR A SIGN A554
𐛟	U+106DF	LINEAR A SIGN A555
𐛠	U+106E0	LINEAR A SIGN A556
𐛡	U+106E1	LINEAR A SIGN A557
𐛢	U+106E2	LINEAR A SIGN A559
𐛣	U+106E3	LINEAR A SIGN A563
𐛤	U+106E4	LINEAR A SIGN A564
𐛥	U+106E5	LINEAR A SIGN A565
𐛦	U+106E6	LINEAR A SIGN A566
𐛧	U+106E7	LINEAR A SIGN A568
𐛨	U+106E8	LINEAR A SIGN A569
𐛩	U+106E9	LINEAR A SIGN A570
𐛪	U+106EA	LINEAR A SIGN A571
𐛫	U+106EB	LINEAR A SIGN A572
𐛬	U+106EC	LINEAR A SIGN A573
𐛭	U+106ED	LINEAR A SIGN A574
𐛮	U+106EE	LINEAR A SIGN A575
𐛯	U+106EF	LINEAR A SIGN A576
𐛰	U+106F0	LINEAR A SIGN A577
𐛱	U+106F1	LINEAR A SIGN A578
𐛲	U+106F2	LINEAR A SIGN A579
𐛳	U+106F3	LINEAR A SIGN A580
𐛴	U+106F4	LINEAR A SIGN A581
𐛵	U+106F5	LINEAR A SIGN A582
𐛶	U+106F6	LINEAR A SIGN A583
𐛷	U+106F7	LINEAR A SIGN A584
𐛸	U+106F8	LINEAR A SIGN A585
𐛹	U+106F9	LINEAR A SIGN A586
𐛺	U+106FA	LINEAR A SIGN A587
𐛻	U+106FB	LINEAR A SIGN A588
𐛼	U+106FC	LINEAR A SIGN A589
𐛽	U+106FD	LINEAR A SIGN A591
𐛾	U+106FE	LINEAR A SIGN A592
𐛿	U+106FF	LINEAR A SIGN A594
𐜀	U+10700	LINEAR A SIGN A595
𐜁	U+10701	LINEAR A SIGN A596
𐜂	U+10702	LINEAR A SIGN A598
𐜃	U+10703	LINEAR A SIGN A600
𐜄	U+10704	LINEAR A SIGN A601
𐜅	U+10705	LINEAR A SIGN A602
𐜆	U+10706	LINEAR A SIGN A603
𐜇	U+10707	LINEAR A SIGN A604
𐜈	U+10708	LINEAR A SIGN A606
𐜉	U+10709	LINEAR A SIGN A608
𐜊	U+1070A	LINEAR A SIGN A609
𐜋	U+1070B	LINEAR A SIGN A610
𐜌	U+1070C	LINEAR A SIGN A611
𐜍	U+1070D	LINEAR A SIGN A612
𐜎	U+1070E	LINEAR A SIGN A613
𐜏	U+1070F	LINEAR A SIGN A614
𐜐	U+10710	LINEAR A SIGN A615
𐜑	U+10711	LINEAR A SIGN A616
𐜒	U+10712	LINEAR A SIGN A617
𐜓	U+10713	LINEAR A SIGN A618
𐜔	U+10714	LINEAR A SIGN A619
𐜕	U+10715	LINEAR A SIGN A620
𐜖	U+10716	LINEAR A SIGN A621
𐜗	U+10717	LINEAR A SIGN A622
𐜘	U+10718	LINEAR A SIGN A623
𐜙	U+10719	LINEAR A SIGN A624
