# Proto-Elamite CDLI sign name → Unicode character mapping
# Extracted from L2/23-196 (Pandey 2023)
# Format: CDLI_Name<TAB>Char<TAB>U+codepoint
# Total: 1636 signs

M193~e	𛾞	U+1BF9E
M193~f	𛾟	U+1BF9F
M193~g	𛾠	U+1BFA0
M193~m	𛾡	U+1BFA1
M195	𛾢	U+1BFA2
M195+M038	𛾣	U+1BFA3	𛾢 [M038?]
M195+M038~a	𛾤	U+1BFA4	𛾢 𛶡
M195+M057	𛾥	U+1BFA5	𛾢 𛷶
M195+M057~a4	𛾦	U+1BFA6	𛾢 𛷻
M195~a	𛾧	U+1BFA7
M195~b	𛾨	U+1BFA8
M195~c	𛾩	U+1BFA9
M195~c1	𛾪	U+1BFAA
M195~m	𛾫	U+1BFAB
M197	𛾬	U+1BFAC
M200	𛾭	U+1BFAD
M200~1	𛾮	U+1BFAE
M200~a	𛾯	U+1BFAF
M201	𛾰	U+1BFB0
M201+M377	𛾱	U+1BFB1	𛾰 𜋀
M201+M377+M377	𛾲	U+1BFB2	𛾰 𜋀 𜋀
M203~a	𛾳	U+1BFB3
M203~c	𛾴	U+1BFB4
M203~d	𛾵	U+1BFB5
M203~e	𛾶	U+1BFB6
M204~g	𛾷	U+1BFB7
M205	𛾸	U+1BFB8
M205~a	𛾹	U+1BFB9
M205~b	𛾺	U+1BFBA
M205~c	𛾻	U+1BFBB
M205~d	𛾼	U+1BFBC
