Code 	Canonical name 	Family 	Scripts 	Other names 	Sort? 	Diacr?
tl 	Tagalog 	Philippine 	Latn, Tglg 			Yes
tn 	Tswana 	Sotho-Tswana 	Latn 	Setswana 		
to 	Tongan 	Polynesian 	Latn 		Yes 	Yes
tr 	Turkish 	Oghuz 	Latn 			
ts 	Tsonga 	Bantu 	Latn 			
tt 	Tatar 	Kipchak 	Cyrl, Latn, tt-Arab 			
ty 	Tahitian 	Eastern Polynesian 	Latn 			
ug 	Uyghur 	Karluk 	ug-Arab, Latn, Cyrl 	Uigur, Uighur, Uygur 		
uk 	Ukrainian 	East Slavic 	Cyrl 			Yes
ur 	Urdu 	Indo-Aryan 	ur-Arab 			Yes
uz 	Uzbek 	Karluk 	Latn, Cyrl, fa-Arab 	Northern Uzbek, Southern Uzbek 		
ve 	Venda 	Bantu 	Latn 			
vi 	Vietnamese 	Vietic 	Latn, Hani 	Annamese, Annamite 	Yes 	
vo 	Volapük 	constructed 	Latn 			
wa 	Walloon 	Oïl 	Latn 	Liégeois, Namurois, Wallo-Picard, Wallo-Lorrain 	Yes 	
wo 	Wolof 	Senegambian 	Latn, Arab 	Gambian Wolof 		
xh 	Xhosa 	Nguni 	Latn 			Yes
yi 	Yiddish 	West Germanic 	Hebr 		Yes 	
yo 	Yoruba 	Volta-Niger 	Latn 			
za 	Zhuang 	Tai 	Latn, Hani 	Standard Zhuang, Dai Zhuang, Wenma Zhuang, Wenma Thu, Wenma, Nong Zhuang, Youjiang Zhuang, Yongbei Zhuang, Yang Zhuang, Yongnan Zhuang, Zuojiang Zhuang, Central Hongshuihe Zhuang, Eastern Hongshuihe Zhuang, Guibei Zhuang, Minz Zhuang, Guibian Zhuang, Liujiang Zhuang, Lianshan Zhuang, Liuqian Zhuang, Qiubei Zhuang, Chongzuo Zhuang, Shangsi Zhuang 		
zh 	Chinese 	Sinitic 	Hani, Brai, Nshu 		Yes 	
zu 	Zulu 	Nguni 	Latn 	isiZulu 		Yes
aaa 	Ghotuo 	Edoid 	Latn 	Otuo 		
aab 	Alumu-Tesu 	Benue-Congo 	Latn 	Alumu, Tesu 		
aac 	Ari 	Papuan Gulf 	Latn 			
aad 	Amal 	Iwam 	Latn 	Alai 		
aaf 	Aranadan 	Dravidian 	Mlym 	Eranadan 		
aag 	Ambrak 	Torricelli 	Latn 			
aah 	Abu' Arapesh 	Torricelli 	Latn 	Abu', Ua 		
aai 	Arifama-Miniafia 	Western Oceanic 	Latn 	Arifama, Miniafia 		
aak 	Ankave 	Trans-New Guinea 	Latn 	Angave 		
aal 	Afade 	Central Chadic 	Latn 			
aan 	Anambé 	Tupi-Guarani 	Latn 	Anambe 		
aao 	Algerian Saharan Arabic 	Arabic 	Arab 			Yes
aap 	Pará Arára 	Cariban 	Latn 	Arára 		
aaq 	Penobscot 	Abenaki-Penobscot 	Latn 	Eastern Abenaki, Eastern Abnaki 		
aas 	Aasax 	Cushitic 	Latn 	Aasáx, Asa, Aramanik, Laramanik 		
aau 	Abau 	Sepik 	Latn 			
aaw 	Solong 	Western Oceanic 	Latn 	Arove, Arawe 		
aax 	Mandobo Atas 	Trans-New Guinea 	Latn 			
aaz 	Amarasi 	Timoric 	Latn 			
aba 	Abé 	Kwa 	Latn 			
abb 	Bankon 	Bantu 	Latn 	Abo, Bo, Abaw, Miang, Mandouka 		
abc 	Ambala Ayta 	Philippine 	Latn 			
abd 	Camarines Norte Agta 	Philippine 	Latn 	Manide 		
abe 	Abenaki 	Abenaki-Penobscot 	Latn 	Western Abenaki, Abnaki, Western Abnaki 		
abf 	Abai Sungai 	Sabahan 	Latn 			
abg 	Abaga 	Kainantu-Goroka 	Latn 			
abh 	Tajiki Arabic 	Arabic 	Arab 			
abi 	Abidji 	Kwa 	Latn 			
abj 	Aka-Bea 	Andamanese 	Latn 	Bea, Aka-Bea-da, Akabeada, Aka-Bia, Bia, Aka-Bia-da, Akabiada, Bojingiji 		
abl 	Abung 	Lampungic 	Latn 	Pepadun, Lampung Nyo 		
abm 	Abanyom 	Bantoid 	Latn 			
abn 	Abua 	Benue-Congo 	Latn 			
abo 	Abon 	Bantoid 	Latn 	Abɔ̃ 		
abp 	Abenlen Ayta 	Philippine 	Latn 			
abq 	Abaza 	Abkhaz-Abaza 	Cyrl 			
abr 	Abron 	Kwa 	Latn 	Brong 		
abs 	Ambonese Malay 	creole or pidgin 	Latn 			
abt 	Ambulas 	Sepik 	Latn 			
abu 	Abure 	Kwa 	Latn 			
abv 	Baharna Arabic 	Arabic 	Arab 	Bahrani Arabic 		Yes
abw 	Pal 	Madang 	Latn 			
abx 	Inabaknon 	Sama-Bajaw 	Latn 			
aby 	Aneme Wake 	Trans-New Guinea 	Latn 			
abz 	Abui 	Timor-Alor-Pantar 	Latn 			
aca 	Achagua 	Arawakan 	Latn 	Achawa, Ajagua 		
acb 	Áncá 	Bantoid 	Latn 			
acd 	Gikyode 	Kwa 	Latn 			
ace 	Acehnese 	Chamic 	Latn, Arab 	Achinese, Atjehnese 		
ach 	Acholi 	Eastern Sudanic 	Latn 	Acoli, Shuli, Acooli 		
aci 	Aka-Cari 	Andamanese 	Latn 	Cari, Aka-Kari, Kari, Chariar 		
ack 	Aka-Kora 	Andamanese 	Latn 	Kora 		
acl 	Akar-Bale 	Andamanese 	Latn 	Bale, Bele, Akar-Bele, Balawa, Balwa, Bojingiji 		
acm 	Iraqi Arabic 	Arabic 	Arab 	Mesopotamian Arabic 		Yes
acn 	Achang 	Burmish 	Latn 	Xiandao, Ngochang, Ngachang 		
acp 	Eastern Acipa 	Benue-Congo 	Latn 			
acq 	Ta'izzi-Adeni Arabic 	Arabic 	Arab 	Southern Yemeni Arabic 		Yes
acr 	Achi 	Mayan 	Latn 	Achí, Achi Maya, Cubulco Achi, Cubulco Achí, Cubulco Achi' 		
acs 	Acroá 	Jê 	Latn 	Akroá, Coroá, Acroa 		
acu 	Achuar 	Jivaroan 	Latn 	Achuar-Shiwiar 		
acv 	Achumawi 	Palaihnihan 	Latn 			
acw 	Hijazi Arabic 	Arabic 	Arab 	Hejazi Arabic, West Arabian Arabic 		Yes
acx 	Omani Arabic 	Arabic 	Arab 			Yes
acy 	Cypriot Arabic 	Arabic 	Arab 			
acz 	Acheron 	Atlantic-Congo 	Latn 	Asheron 		
ada 	Adangme 	Kwa 	Latn 	Dangme 		
adb 	Adabe 		Latn 			
add 	Dzodinka 	Bantoid 	Latn 	Lidzonka 		
ade 	Adele 	Kwa 	Latn 			
adf 	Dhofari Arabic 	Arabic 	Arab 			Yes
adg 	Andegerebinha 	Pama-Nyungan 	Latn 			
adh 	Adhola 	Eastern Sudanic 	Latn 			
adi 	Adi 	Tani 	Latn 	Abor, Ashing, Minyong, Mising, Padam, Panggi, Pasi, Shimong, Ajukru 		
adj 	Adioukrou 	Kwa 	Latn 	Adjukru, Adyoukrou, Adyukru, Ajukru 		
adl 	Galo 	Tani 	Latn 	Gallong 		
adn 	Adang 	Timor-Alor-Pantar 	Latn 			
ado 	Abu 	Ramu 	Latn 	Adjora 		
adp 	Adap 	Tibeto-Burman 	Tibt 			
adq 	Adangbe 	Kwa 	Latn 	Agotime 		
adr 	Adonara 	Central-Eastern Malayo-Polynesian 	Latn 			
ads 	Adamorobe Sign Language 	sign 	Latn 			
adt 	Adnyamathanha 	Southwest Pama-Nyungan 	Latn 			
adu 	Aduge 	Edoid 	Latn 			
adw 	Amondawa 	Tupi-Guarani 	Latn 	Amundava 		
ady 	Adyghe 	Circassian 	Cyrl 	West Circassian 		
adz 	Adzera 	Western Oceanic 	Latn 			
aea 	Areba 	Pama-Nyungan 	Latn 			
aeb 	Tunisian Arabic 	Arabic 	Arab 			Yes
aec 	Saidi Arabic 	Arabic 	Arab 	Sa'idi Arabic, Upper Egyptian Arabic, Upper Egypt Arabic 		Yes
aed 	Argentine Sign Language 	sign 	Latn 			
aee 	Northeast Pashayi 	Dardic 	Latn 	Northeast Pashai, Pashai 		
aek 	Haeke 	New Caledonian 	Latn 			
ael 	Ambele 	Bantoid 	Latn 			
aem 	Arem 	Vietic 	Latn 			
aen 	Armenian Sign Language 	sign 				
aeq 	Aer 	Indo-Aryan 	Arab 			
aer 	Eastern Arrernte 	Pama-Nyungan 	Latn 			
aes 	Alsea 		Latn 	Yaquina, Yakwina, Alseya, Yakona 		
aeu 	Akeu 	Loloish 	Latn 	Chepya 		
aew 	Ambakich 	Ramu 	Latn 	Aion, Porapora 		
aey 	Amele 	Madang 	Latn 			
aez 	Aeka 	Trans-New Guinea 	Latn 	Aiga, Orokaiva 		
afb 	Gulf Arabic 	Arabic 	Arab 			Yes
afd 	Andai 	Arafundi 	Latn 			
afe 	Putukwam 	Benue-Congo 	Latn 			
afg 	Afghan Sign Language 	sign 				
afh 	Afrihili 	constructed 	Latn 			
afi 	Akrukay 	Ramu 	Latn 			
afk 	Nanubae 	Arafundi 	Latn 			
afn 	Defaka 	Niger-Congo 	Latn 			
afo 	Eloyi 	Benue-Congo 	Latn 			
afp 	Tapei 	Arafundi 	Latn 			
afs 	Afro-Seminole Creole 	creole or pidgin 	Latn 			
aft 	Afitti 	Eastern Sudanic 	Latn 	Affiti, Ditti 		
afu 	Awutu 	Kwa 	Latn 	Efutu 		
afz 	Obokuitai 	Lakes Plain 	Latn 			
aga 	Aguano 		Latn 			
agb 	Legbo 	Benue-Congo 	Latn 			
agc 	Agatu 	Atlantic-Congo 	Latn 			
agd 	Agarabi 	Kainantu-Goroka 	Latn 			
age 	Angal 	Trans-New Guinea 	Latn 			
agf 	Arguni 	Central-Eastern Malayo-Polynesian 	Latn 			
agg 	Angor 	Papuan 	Latn 			
agh 	Ngelima 	Bantu 	Latn 			
agi 	Agariya 	Munda 	Deva 			
agj 	Argobba 	Ethiopian Semitic 	Ethi 			
agk 	Isarog Agta 	Philippine 	Latn 			
agl 	Fembe 	Trans-New Guinea 	Latn 	Agala 		
agm 	Angaataha 	Trans-New Guinea 	Latn 			
agn 	Agutaynen 	Kalamian 	Latn 			
ago 	Tainae 	Trans-New Guinea 	Latn 			
agq 	Aghem 	Atlantic-Congo 	Latn 			
agr 	Aguaruna 	Jivaroan 	Latn 			
ags 	Esimbi 	Bantoid 	Latn 	Isimbi 		
agt 	Central Cagayan Agta 	Philippine 	Latn 			
agu 	Aguacateca 	Mayan 	Latn 	Aguacatec, Aguacateco, Awakatek, Awakateko, Awakateka 		
agv 	Remontado Agta 	Philippine 	Latn 	Remontado Dumagat, Sinauna, Hatang Kayey 		
agw 	Kahua 	Southeast Solomonic 	Latn 			
agx 	Aghul 	Lezghian 	Cyrl 	Agul 		
agy 	Southern Alta 	Philippine 	Latn 			
agz 	Mt. Iriga Agta 	Philippine 	Latn 			
aha 	Ahanta 	Kwa 	Latn 			
ahb 	Axamb 	North-Central Vanuatu 	Latn 			
ahg 	Qimant 	Cushitic 	Latn 			
ahh 	Aghu 	Trans-New Guinea 	Latn 			
ahi 	Tiagbamrin Aizi 	Kru 	Latn 			
ahk 	Akha 	Loloish 	Latn, Mymr, Thai 	Aka, Ako 	Yes 	
ahl 	Igo 	Kwa 	Latn 			
ahm 	Mobumrin Aizi 	Kru 	Latn 			
ahn 	Àhàn 	Benue-Congo 	Latn 	Ahan, Ahaan 		
aho 	Ahom 	Southwestern Tai 	Ahom 			
ahp 	Aproumu Aizi 	Kru 	Latn 			
ahr 	Ahirani 	Indo-Aryan 	Deva 	Khandeshi, Khandesi 		
ahs 	Ashe 	Benue-Congo 	Latn 			
aht 	Ahtna 	North Athabaskan 	Latn 			
aia 	Arosi 	Southeast Solomonic 	Latn 			
aib 	Aynu 	Karluk 	Arab, Latn 	Ainu, Äynu, Ainu (China), Aini, Eyni, Ejnu, Abdal, Äynú 		
aic 	Ainbai 	Border 	Latn 			
aid 	Alngith 	Paman 	Latn 			
aie 	Amara 	Western Oceanic 	Latn 			
aif 	Agi 	Torricelli 	Latn 			
aig 	Antigua and Barbuda Creole English 	creole or pidgin 	Latn 	Leeward Caribbean Creole English, Antiguan Creole English, Kokoy Creole English, Saint Kitts Creole, Montserrat Creole, Anguillan Creole 		
aih 	Ai-Cham 	Kam-Sui 	Latn, Hani 			
aii 	Assyrian Neo-Aramaic 	Aramaic 	Syrc 			
aij 	Lishanid Noshan 	Aramaic 	Hebr 			
aik 	Ake 	Benue-Congo 	Latn 			
ail 	Aimele 	Trans-New Guinea 	Latn 			
aim 	Aimol 	Kukish 	Latn, Beng 			
ain 	Ainu 	isolate 	Kana, Latn, Cyrl 	Ainu (Japan) 		
aio 	Aiton 	Southwestern Tai 	Mymr 	Tai Aiton, Tai 		
aip 	Burumakok 	Ok 	Latn 			
air 	Airoran 	Tor-Kwerba 	Latn 			
ait 	Arikem 	Tupian 	Latn 			
aiw 	Aari 	Omotic 	Latn 			
aix 	Aighon 	Western Oceanic 	Latn 			
aiy 	Ali 	Atlantic-Congo 	Latn 			
aja 	Aja 	Central Sudanic 	Latn 	Adja, Aja (Sudan) 		
ajg 	Adja 	Gbe 	Latn 	Aja, Aja (Benin), Aja (Togo), Ajagbe 		
aji 	Ajië 	New Caledonian 	Latn 	Houailou 		
