𛴀	N01
𛴁	N01@b
𛴂	N01@c
𛴃	N02
𛴄	N08A
𛴅	N08B
𛴆	N14
𛴇	N14@b
𛴈	N14@c
𛴉	N23
𛴊	N24
𛴋	N24@b
𛴌	N24@c
𛴍	N30C
𛴎	N30C@b
𛴏	N30C@c
𛴐	N30D
𛴑	N30D@b
𛴒	N30D@c
𛴓	N34
𛴔	N34@b
𛴕	N39A
𛴖	N39B
𛴗	N39B@b
𛴘	N39B@c
𛴙	N39C
𛴚	N45
𛴛	N45@b
𛴜	N46
𛴝	N48
𛴞	N51
𛴟	N51@b
𛴠	N51@c
𛴡	N51G
𛴢	N54
𛴣	N54@b
𛴤	N54G
𛴥	2·N01
𛴦	2·N01@b
𛴧	2·N14
𛴨	2·N30C
𛴩	2·N30C@b
𛴪	3·N01
𛴫	3·N01@b
𛴬	3·N01@c
𛴭	3·N14
𜁱	M249	
𜁲	M249~c	
𜁳	M249~f	
𜁴	M249~g	
𜁵	M249~h	
𜁶	M249~m	
𜁷	M249~n	
𜁸	M249~n1	
𜁹	M249~p	
𜁺	M250~a	
𜁻	M250~ba	
𜁼	M250~m	
𜁽	M250~n	
𜁾	M250~na	
𜁿	M250~p	
𜂀	M250~r	
𜂁	M251	
𜂂	M251~c	
𜂃	M251~c2	
𜂄	M251~c3	
𜂅	M251~e	
𜂆	M251~g	
𜂇	M251~h	
𜂈	M251~i	
𜂉	M251~m	
𜂊	M252	
𜂋	M252~a	
𜂌	M252~h	
𜂍	M252~i	
𜂎	M252~l	
𜂏	M252~q	
𜂐	M252~qa	
𜂑	M252~r	
𜂒	M252~t	
𜂓	M253	
𜂔	M254	
𜂕	M254~a	
𜂖	M254~b	
𜂗	M254~c	
𜂘	M254~d	
𜂙	M254~e	
𜂚	M254~f	
𜂛	M254~g	
𜂜	M254~h	
𜂝	M255	
𜂞	M255~b	
𜂟	M256~b	
𜂠	M256~c	
𜂡	M256~d	
𜂢	M257~d	
𜂣	M259	
𜂤	M259~1	
𜂥	M259~2	
𜂦	M259~3	
𜂧	M260	
𜂨	M260~1	
𜂩	M260~1+N24	𜂨 𛴊
𜂪	M260~1+M313~a	𜂨 𜇋
𜂫	M260~2+N24	≈𜂧 𛴊
𜂬	M260~3	
𜂭	M260+N14	𜂧 𛴆
𜂮	M260+N24	𜂧 𛴊
