cat Brahmi.scripts.list| while read x; do u $x >> Brahmi.ALL.abc; done

𑀀	CANDRABINDU
!R	ྲྀ
!RR	ཷ
!L	ླྀ
!LL	ཹ
E	ེ
EE	ཻ
O	ོ
OO	ཽ
RJES SU NGA RO	ཾ
RNAM BCAD	ཿ
REVERSED I	ྀ
REVERSED II	ཱྀ
NYI ZLA NAA DA	ྂ
SNA LDAN	ྃ
HALANTA	྄
PALUTA	྅
LCI RTAGS	྆
YANG RTAGS	྇
LCE TSA CAN	ྈ
MCHU CAN	ྉ
GRU CAN RGYINGS	ྊ
GRU MED RGYINGS	ྋ
KA	ྐ
KHA	ྑ
GA	ྒ
GHA	ྒྷ
NGA	ྔ
CA	ྕ
CHA	ྖ
JA	ྗ
NYA	ྙ
TTA	ྚ
TTHA	ྛ
DDA	ྜ
DDHA	ྜྷ
NNA	ྞ
TA	ྟ
THA	ྠ
DA	ྡ
DHA	ྡྷ
NA	ྣ
PA	ྤ
PHA	ྥ
BA	ྦ
BHA	ྦྷ
MA	ྨ
TSA	ྩ
TSHA	ྪ
DZA	ྫ
DZHA	ྫྷ
WA	ྭ
ZHA	ྮ
ZA	ྯ
-A	ྰ
YA	ྱ
RA	ྲ
LA	ླ
SHA	ྴ
SSA	ྵ
SA	ྶ
HA	ྷ
A	ྸ
KSSA	ྐྵ
FIXED-FORM WA	ྺ
FIXED-FORM YA	ྻ
FIXED-FORM RA	ྼ
RU KHA	྾
RU KHA BZHI MIG CAN	྿
HEAVY BEAT	࿀
LIGHT BEAT	࿁
CANG TE-U	࿂
SBUB -CHAL	࿃
DRIL BU	࿄
RDO RJE	࿅
PADMA GDAN	࿆
RDO RJE RGYA GRAM	࿇
PHUR PA	࿈
NOR BU	࿉
NOR BU NYIS -KHYIL	࿊
NOR BU GSUM -KHYIL	࿋
NOR BU BZHI -KHYIL	࿌
RDEL NAG GSUM	࿏


0x1780-0x17FF	6016-6143	Khmer
Khmer
KA	ក
KHA	ខ
KO	គ
KHO	ឃ
NGO	ង
CA	ច
CHA	ឆ
CO	ជ
CHO	ឈ
NYO	ញ
DA	ដ
TTHA	ឋ
DO	ឌ
TTHO	ឍ
NNO	ណ
TA	ត
THA	ថ
TO	ទ
THO	ធ
NO	ន
BA	ប
PHA	ផ
PO	ព
PHO	ភ
MO	ម
YO	យ
RO	រ
LO	ល
VO	វ
SHA	ឝ
SSO	ឞ
SA	ស
HA	ហ
LA	ឡ
QA	អ
QAQ	ឣ
QAA	ឤ
QI	ឥ
QII	ឦ
QU	ឧ
QUK	ឨ
QUU	ឩ
QUUV	ឪ
RY	ឫ
RYY	ឬ
LY	ឭ
LYY	ឮ
QE	ឯ
QAI	ឰ
QOO TYPE ONE	ឱ
QOO TYPE TWO	ឲ
QAU	ឳ
AQ	឴
AA	឵
AA	ា
I	ិ
II	ី
Y	ឹ
YY	ឺ
U	ុ
UU	ូ
UA	ួ
OE	ើ
YA	ឿ
IE	ៀ
E	េ
AE	ែ
AI	ៃ
OO	ោ
AU	ៅ
NIKAHIT	ំ
REAHMUK	ះ
YUUKALEAPINTU	ៈ
MUUSIKATOAN	៉
TRIISAP	៊
BANTOC	់
ROBAT	៌
TOANDAKHIAT	៍
KAKABAT	៎
AHSDA	៏
