A: Man and his occupations    
A150	F318C	995724	󳆌
A151	F318D	995725	󳆍
A152	F318E	995726	󳆎
A153	F318F	995727	󳆏
A153A	F3190	995728	󳆐
A155	F3191	995729	󳆑
A156	F3192	995730	󳆒
A157	F3193	995731	󳆓
A158	F3194	995732	󳆔
A158A	F3195	995733	󳆕
A158B	F3196	995734	󳆖
A158C	F3197	995735	󳆗
A158D	F3198	995736	󳆘
A158E	F3199	995737	󳆙
A158F	F319A	995738	󳆚
A159	F319B	995739	󳆛
A160	F319C	995740	󳆜
A161	F319D	995741	󳆝
A165	F319E	995742	󳆞
A165A	F319F	995743	󳆟
A166	F31A0	995744	󳆠
A168	F31A1	995745	󳆡
A169	F31A2	995746	󳆢
A170	F31A3	995747	󳆣
A171	F31A4	995748	󳆤
A172	F31A5	995749	󳆥
A174	F31A6	995750	󳆦
A175	F31A7	995751	󳆧
A176	F31A8	995752	󳆨
A176A	F31A9	995753	󳆩
A176B	F31AA	995754	󳆪
A179	F31AB	995755	󳆫
A179A	F31AC	995756	󳆬
A180	F31AD	995757	󳆭
A181	F31AE	995758	󳆮
A182	F31AF	995759	󳆯
A183	F31B0	995760	󳆰
A184	F31B1	995761	󳆱
A184A	F31B2	995762	󳆲
A185	F31B3	995763	󳆳
A186	F31B4	995764	󳆴
A187	F31B5	995765	󳆵
A188	F31B6	995766	󳆶
A189	F31B7	995767	󳆷
A190	F31B8	995768	󳆸
A190A	F31B9	995769	󳆹
A192	F31BA	995770	󳆺
A193	F31BB	995771	󳆻
A194	F31BC	995772	󳆼
A194A	F31BD	995773	󳆽
A195	F31BE	995774	󳆾
A196	F31BF	995775	󳆿
A197	F31C0	995776	󳇀
A198	F31C1	995777	󳇁
A199	F31C2	995778	󳇂
A199A	F31C3	995779	󳇃
A199B	F31C4	995780	󳇄
A200	F31C5	995781	󳇅
A201	F31C6	995782	󳇆
A202	F31C7	995783	󳇇
A203	F31C8	995784	󳇈
A204	F31C9	995785	󳇉
A205	F31CA	995786	󳇊
A206	F31CB	995787	󳇋
A207	F31CC	995788	󳇌
A207A	F31CD	995789	󳇍
A208	F31CE	995790	󳇎
A209	F31CF	995791	󳇏
A210	F31D0	995792	󳇐
A211	F31D1	995793	󳇑
A211A	F31D2	995794	󳇒
A212	F31D3	995795	󳇓
A212A	F31D4	995796	󳇔
A214	F31D5	995797	󳇕
A215	F31D6	995798	󳇖
A216	F31D7	995799	󳇗
A216A	F31D8	995800	󳇘
A216B	F31D9	995801	󳇙
A216C	F31DA	995802	󳇚
A216D	F31DB	995803	󳇛
A216E	F31DC	995804	󳇜
A216F	F31DD	995805	󳇝
