≈	NR	ID	#	Compare	Tentative Phonetics
󴨵	G15	73	6	󴨇 󴨘 𔕺 𔕻 <> 𓍲 ᪲󴣇  𓎿	p/b/v/f
Ո	E23	74	11	󴊸 𜓋 𓎆   see D4 П 𐩨 beth በ b Ո /vo/  -nᵗʰ  𓊃 𓊪 𓊗 ≠ ለ 𐩡	π.teⁿ 10ᵗʰ
Ո̍	G1	75	18	"󴊷 𜓊 ሰ c/s @ 𓍿 𓎀 Geez 𐀴 ti 𔗽 𐚊•WU 𐂀 𐩱 	alef  ṣ ጸ 𐩮 𐚩"	t/c/ṣ #
Ո̵	E22	76	25	𓎅 󴫹 𓏏 𓏮 A ad 𐀁 e 	Äd Ät
󲅬	E25	77	2	"󴇇 󴒦 Ո·T  ☑ ^^ 𓍑 𔗽 𐀴 ti see E1 𐀴·u	ѧ yus 󴫻 󴫺   ok, edgy in Dunand 1945: plate 13"	d/t…
Ո·Y	B10	78	2	󴎇 󴋅 𔗼 <> 𓆓 snake @ gobekli 	d/t…
𐊫	A17	79	19	O Carian 𜑩𜑪 Søl ○ 󲊒 󲂮 󲂬 󲀆 󲂭 󲊊 󲏝 󲌺 󲋂 󲀈 󲅞 󲅟 󲌵 󲋸 󲉘 󲉆 󲉽 󲇻 󲇸 󲆑 󲉢 | 𓊖 𐙝 󲅠 󲅡 󲇿 󲈀 󲁒 󲂑 󲈩 󲁓  | 𓐍 𔓐 𐘿 QE 𐀤 qe ʘ q  󲁔 󲁕 󲇪 󲄰 󲄱 󲊶 󲍋 󲃚 󲌹 󲍁 | 𜑤 𓐍 𐂜 𐂴 𓏌 𐙞 𐙬 𓍶 𐙮	O oin / 𐩲 ayn 
O̅	E3	80	5	󳽍 󴀩 𓎤 𔓞 𐠣 𓍶 𜐊 	om(g)
𔗓	E11	81	15	𓇹 𔗓 𔓜 𔖙 𔖚 𐙡	iahⁿᵃ / yom/b
𔐙	A12	82	7	 𓂋 󲀊 󲀅 󲀇 󲈓 󲃦 󲏓 󲃧 󲍘 󲊚 󲈟 𓁹	ᵐir egyr ᵐeyⁿ 
𐙿	E21'	83	1	𑀫 M 𐨨 MA 𓅓 Hieratic 𒄷 mus 𐀔 ma / 𓍱 𐎕 #š SADE ?  Š⋍Ǧ⋍J⋍δ  𓍱𓃀𓏏𓄿 Jupiter	µ / š ≈ j ≈ gamma
𓍲	E21	84	5	𓍲 󴣇 𐙪 𐋁 𓍲 𔕊	ğ/ǧ/ĝ
𐚌	F5	85	25	󴣇̍ 𐚌•RI 𐀪 ri 𐂀 𐘬 	gr 
𐚃	A21	86	10	𓋴 𓇟 𓂋 𓂧 𓌗	šr/ǧr
 ᪲󴣇	D9	87	17!	󴣇᪲  𐜢 乂  󴣚 󴣛 󴣜 󴣝 𓇟	š?
𓍴	E26!	88	2	𐙱 󴟈	sank?
𐊾̊	G12	89	3+1	"≜ 𓍲·Λ  𓍲·Λ·_	G11  ̊·𐊾  𓐑 𐊾𑍦   𜒵 <> 𓍵 𓇜 𓍶 𐚩"	^
𔖡	F4	90	1	𓋹 󴣈 𓍲̶ 𓎬 𔖡 #VITA  tink zank sank 'ankh 𔕖 𔕗 𐘍 𐀼 za zoo ≈	π.ta π.zao
𐀵̊	F2	91	1	·̊𐀵 ≈ 𓋹 𐙊 𐀙 na  ህይወት حياة ḥayēt	^
𐀸	A10	92	1	 <> G10 S <> I12   𜎋 A20   A19 𓆓	wⁿ wᵗ
𓆓	A19	93	20	𓆗	n/q
𓅐 	A3	94	8+8	𓄿 A4 ?	vl / ar 
…	A1…	95	1+1…	𓅱 𓅪 𓅬 𓅭 𓅓 𓅃 𓆤 󲂄 󲂃 ?	 
	A1…	96		󲍪 󲆏 󲉕 󲌂 󲌃 󲌄 󲌅 󲌔 󲁷 󲁸 󲁹 󲁺 󲁻 󲁶 󲏭  󲏗 󲎒 󲎓 󲎔 󲋋	 
		97		MISSING: 𓆑 => ᖷ ㇁̵ y ?  𓂋 => 𐤓	 
		98		MISSING: Ugaritic: ALL -(	 
