Nº 	English 	Etruscan 𐌑~com~𐌔𐌌 𐌐𐌅~qv/p	gloss h->ḫ	PIE		Hittite 𒉈𒅆𒇷 (nesili)	Luwian	w<>r n<>l ar<>ol	Lydian	Lycian 
185	good 	𐌌𐌋𐌀𐌂𐌀 	mlaca, beni	¬mal/lack bon	✓!?	āssus	wāsus			
186	bad 	- 	maf			idālus	ādduwālis			
187	rotten 	- 	-			harranz	-	Verranzt +++		
188	dirty 	- 	-			iskunanz	-	<> kurz?		
189	straight 	- 	-			-	-			
190	round 	- 	-			-	-			
191	sharp 	- 	-			alpus	-			
192	dull 	- 	-			alpanz	-			
193	smooth 	- 	ters			mius	-	(s)mius !		
194	wet 	- 	matam	mwatern	✓	hurniyanz	-			
195	dry 	- 	-			hātanz	-			
196	correct 	- 	-			āra	-	allright		
197	near 	- 	prope		✓	manninkuwanz	-			
198	far 	- 	-			duwān	-	duran!		
199	right 	𐌇𐌀𐌌𐌘𐌀 (n.) 	hampha 👉 hand	<> 𓇋 𓏠 𓈖 𓏏 𓈉 yemen	<?	kunnas	isarwilis	<> Kunde		
200	left 	𐌋𐌀𐌉𐌅𐌀 (n.) 	laiva	levant, left 𐌋𐌀𐌉𐌅	✓	-	ipalis			
201	at 	- 	-			-	-	--- !?!		
202	in 	𐌈𐌅𐌉 	thui, in	to, in <> into tward𐌈 𐌅𐌉~for? 𐌅𐌉~bin?	<<<	andan	ānta	intran 		
203	with 	- 	-			katti-	-	𓐍𓏏𓆑!!    𓎛𓈖𓂝		
204	and 	𐌄𐌕𐌍𐌀𐌌, 𐌉𐌂, 𐌉𐌗, -𐌂	-c, etnam, ic, ich	ᵛet, auch, que	+++	-Ca, -ya	-ha	𓎛 𓈖 𓂝		
205	if 	- 	seu	si … sei … 	✓	takku	mān	wenn man …		
206	because 	𐌍𐌀𐌂 	nac, ceia	nam, car	✓~	kuit	kuiza	cauth 		
207	name 	- 	- 			𒆷𒀀𒈠𒀭 (lāman) llamon	atamanza (?)	se llamo! NlAMAN  𒆷=NA¬ 		
