№ 	English 	Old Church Slavonic 	Aryan	Czech 	Polish 	Slovak 	Lower Sorbian 	Upper Sorbian 	Bulgarian 	Macedonian 	Serbo-Croatian Latin 	Serbo-Croatian Cyrillic 	Slovene 	Belarusian 	Russian 	Rusyn 	Ukrainian														
72	head 	глава (glava) 	голова (gholova) <> glauben << 	hlava 	głowa 	hlava 	głowa 	hłowa 	глава (glava) 	глава (glava) 	glava 	глава 	glava 	галава (halava) 	голова (golova) 	голова (holova) 	голова (holova)														
73	ear 	оухо (uxo) 	ohear	ucho 	ucho 	ucho 	wucho 	wucho 	ухо (uho) 	уво (uvo) 	uvo, uho 	уво, ухо 	uho 	вуха (vuxa) 	ухо (uxo) 	ухо (uxo) 	вухо (vuxo)														
74	eye 	око (oko) 	oykul.us	oko 	oko 	oko 	woko 	wóčko 	око (oko) 	око (oko) 	oko 	око 	oko 	вока (voka) 	глаз (glaz), око (oko) (poetic) 	око (oko) 	око (oko)														
75	nose 	носъ (nosŭ) 	✔	nos 	nos 	nos 	nos 	nós 	нос (nos) 	нос (nos) 	nos 	нос 	nos 	нос (nos) 	нос (nos) 	ніс (nis) 	ніс (nis)														
76	mouth 	оуста (usta) 	Mousta / pusta / ghuba / rot!	ústa, pusa, huba (expr.) 	usta 	ústa 	guba 	huba 	уста (usta) 	уста (usta) 	usta 	уста 	usta 	рот (rot), вусны (vusny) 	рот (rot), уста (usta) (poetic) 	уста (usta), рот (rot) 	рот (rot), вуста (vusta), уста (usta), губа (huba)														
77	tooth (rather not molar) 	зѫбъ (zǫbŭ) 	Zahnbe ++ << 7? ∑∑	zub 	ząb 	zub 	zub 	zub 	зъб (zǎb) 	заб (zab) 	zub 	зуб 	zob 	зуб (zub) 	зуб (zub) 	зуб (zub) 	зуб (zub)														
78	tongue 	ѩзꙑкъ (językŭ) 	JaZynge <<	jazyk 	język 	jazyk 	jězyk 	jazyk 	език (ezik) 	јазик (jazik) 	jezik 	језик 	jezik 	язык (jazyk) 	язык (jazyk) 	язык (jazŷk) 	язик (jazyk)														
79	fingernail 	ногъть (nogŭtĭ) 	NagelTi	nehet 	paznokieć 	necht 	nokś 	nochć 	нокът (nokǎt) 	нокт (nokt) 	nokat 	нокат 	noht 	пазногаць (paznohacʹ) 	ноготь (nogotʹ) 	нохоть (noxotʹ) 	ніготь (nihotʹ)														
80	foot 	стопа (stopa) 	stoPA posD !!! << stamp,stop,…	noha, chodidlo, stopa 	stopa 	chodidlo 	noga 	noha 	крак (krak), стъпало (stǎpalo) 	стапало (stapalo) 	stopa, stopalo 	стопа, стопало 	stopalo 	ступня (stupnja) 	стопа (stopa), ступня (stupnja) 	стопа (stopa) 	стопа (stopa), ступня (stupnja)														
81	leg 	нога (noga) 	<<?? !!	noha 	noga 	noha 	noga 	noha 	крак (krak) 	нога (noga) 	noga 	нога 	noga 	нага (naha) 	нога (noga) 	нога (noha) 	нога (noha)														
82	knee 	колѣно (kolěno) 	Gelenk++ <> Geangle !!!	koleno 	kolano 	koleno 	kóleno 	koleno 	коляно (koljano) 	колено (koleno) 	koleno, koljeno 	колено, кољено 	koleno 	калена (kaljena) 	колено (koleno) 	колїно (koljino) 	коліно (kolino)														
