Nr 	English 	Hungarian 	Best Uralic	Eurasian	Finnish 	Karelian 	Estonian 	Erzya 	Moksha 	Komi (Zyrian dialect) 	Mansi (North Mansi) 	North Sami 	Kildin Sami 	Tundra Nenets
89	breast 	mell kebel 			rinta 	rinda 	rind 	меште 	мяште 	морöс 	 	čižži 	ниннч (ninnč), раннҍт (rannʹt) 	
90	heart 	szív 		?	sydän 	syväin 	süda 	седей 	седи 	сьöлöм 	sim 	váibmu 	кӯттьк (kūttʹk) (food) са̄ррьт (sārrʹt) 	sʲeyə
91	liver 	máj 			maksa 	maksa 	maks 	максо 	макса 	мус 	mājt 	vuoivvas 	вӯйвас (vūjvas) 	
92	to drink 	iszik 		Joda <> Voda=water	juoda 	juoda juuva 	jooma 	симемс 	симомс 	юны 	aj- 	juhkat 	югкэ (jugke) 	
93	to eat 	eszik 	eszik 	eat	syödä 	syyvä 	sööma 	ярсамс сэвемс 	ярхцамс 	сёйны 	tē- 	borrat 	по̄ррэ (pōrre) 	
94	to bite 	harap 		<> pull?	purra 	purra 	hammustama purema 	сускомс 	сускомс 	курчны 	 	suoksat 	ка̄ццькэ (kāccʹke) 	
95	to suck 	szopik emik 		Imie <> mamma	imeä 	imie 	imema 	потямс 	шокшемс 	 	 	njammat 	нюммэ (njumme) 	
96	to spit 	köp 			sylkeä 	sylgie šlötätä 	sülitama sülgama 	сельгемс 	сельгомс 	 	 	 	чо̄ллкэ (čōllke) 	
97	to vomit 	hány 			oksentaa 	oksendua 	oksendama 	уксномс 	уксондомс 	 	 	vuovssat 	вуккьсэ (vukkʹse) 	
98	to blow 	fúj 		pust	puhaltaa 	puhaldua puhuo 	puhuma 	пувамс 	уфамс 	 	 	bosadit 	поассэ (poasse) 	
99	to breathe 	lélegzik 			hengittää 	hengitiä 	hingama 	лексемс 	вайме тарксемс 	 	 	vuoigŋat 	вӯййнэ (vūjjne) 	
100	to laugh 	nevet 			nauraa 	nagrua 	naerma 	ракамс 	рахамс 	серавны 	moɣal- 	boagustit 	сӣййнэ (sījjne) 	
101	to see 	lát néz 			nähdä 	nähtä nägyö 	nägema 	неемс 	няемс 	аддзыны 	wā- 	oaidnit 	уййнэ (ujjne) 	
102	to hear 	hall 		kohra=ear ^^	kuulla 	kuulla 	kuulma 	марямс 	кулемс 	кывны 	 	gullat 	куллэ (kulle) 	
103	to know 	tud (sg.) ismer (sy.) 			tietää 	tiediä 	teadma 	содамс 	содамс 	тöдны 	 	diehtit 	тӣдтэ (tīdte), томмтэ (tommte) 	
104	to think 	gondol gondolkozik 		mind	ajatella miettiä 	ajatella miettie duumaija 	mõtlema 	арсемс 	арьсемс 	мöвпавны 	noms- 	jurddašit 	юррьтэ (jurrʹte) 	
105	to smell 	szagol 	nuusutama haistma 	<>nose, ?	haistaa 	haižuo hengätä 	nuusutama haistma 	(судосо) марямс 	марямс 	 	 	háistit 	аппьсэ (appʹse) 	
106	to fear 	fél 	varata, varata  	fear, pelle	pelätä 	varata 	kartma pelgama 	пелемс 	пелендемс 	полöм 	 	ballat 	пэ̄ллэ (pēlle) 	
107	to sleep 	alszik 	nukkua, magama ?	nique, Nickerchen	nukkua 	magua muata nukkua (to doze) 	magama 	удомс 	удомс 	узьны 	 	oađđit 	вуэдтӭ (vuedtʹe) 	
108	to live 	él 	eliä 	alive!	elää 	eliä 	elama 	эрямс 	эрямс 	овны 	ōl- 	orrut 	е̄лле (jēllʹe) 	
109	to die 	(meg)hal 	kuolla 	kill	kuolla 	kuolla 	surema 	куломс 	куломс 	кувны 	χōl- 	jápmit 	ёамме (joammʹe) 	
110	to kill 	öl megöl 		!	tappaa 	tappua 	tapma 	куловтомс чавомс 	шавомс 	 	al- 	goddit 	коаннҍтэ (koannʹte) 	
111	to fight 	harcol küzd 			taistella 	torua 	vőitlema kaklema 	тюремс 	тюремс 	 	 	riidalit 	туаррэ (tuarre) 	
112	to hunt 	vadászik 			metsästää 	meččua 	küttima jahtima 	охотничамс 	кунцемс 	вöравны 	ališl- 	bivdit 	(the hunt) ме̄һць (mʹēhcʹ) 	
113	to hit 	üt megüt 			lyödä iskeä 	lyyvä iškie 	lööma 	равтомс чавомс 	реськафтомс 	 	 	 	васстэ (vasste) 	
114	to cut 	vág 			leikata 	leikata 	lõikama 	керямс 	керомс 	вундавны 	 	čuohppat 	чӯһпэ (čūhpe), вэ̄йе (vējʹe) 	
