Id	English (gloss)	Georgian language x=kh!	EG	PIE		IPA	Gothic 	Turkmen 	Aryan
95	to suck	წოვა (c̣ova)	𓎡 𓆑 𓆑 𓂐	saugen < s'nagar 𓋴 𓈖 𓏘 𓆑	++EG	/tsʼɔvɑ/	[Term?] 	emmek 	bildung? (Bild-machen) saba! Savoir  
96	to spit	ფურთხვა (purtxva)	𓊪 𓊃 𓎼 𓄑 𓀁	~ 𓊃 𓊪 𓄑 𓀁 spit	+~EG	/pʰurtʰxvɑ/	𐌲𐌰𐍃𐍀𐌴𐌹𐍅𐌰𐌽 (gaspeiwan) 	tüýkürmek 	Şün saengga think! düşün dösen denken
97	to vomit	რწყევა (rc̣q̇eva)	𓈎 𓄿 𓋴 𓀁	(ab)kratzen > kotzen	+~EG	/rtsʼqʼɛvɑ/	[Term?] 	gusmak 	~ sensmell  <> ysgamak schmecken
98	to blow	ბერვა (berva)		blow<bervan	+++	/bɛrvɑ/	*𐌱𐌻𐌴𐍃𐌰𐌽 (*blēsan) 	üflemek, öwüsmek 	grauen <> kerker!  Eierman;) 𓅾𓆂
99	to breathe	სუნთქვა (suntkva)	𓋴 𓌢 𓈖 𓂉	sense@snout <> gesund?	+<<	/suntʰkʰvɑ/	[Term?] 	dem almak 	haia, nukl, nickt
100	to laugh	სიცილი (sicili)	𓋴 𓃀 𓍿 𓄑 𓀁	•svcil/spacken/spaß/silly <> selig s.leg	+?	/sitsili/	𐌷𐌻𐌰𐌷𐌾𐌰𐌽 (hlahjan) 	gülmek 	Yashen 生 Fire
101	to see	ნახვა (naxva)	𓈖𓍇𓏌𓁹 	𐌽𐌹𐌿𐌷𐍃𐌴𐌹 nvidia nadzar	+++<	/nɑxvɑ/	𐍃𐌰𐌹𐍈𐌰𐌽 (saiƕan) 	görmek 	mör→öl <- kill ? Old
102	to hear	სმენა (smena)	𓄔 𓅓  |  𓋴 𓂸 𓏏 𓄔  	Sunnā : s’mind Sinne	+++	/smɛnɑ/	𐌷𐌰𐌿𐍃𐌾𐌰𐌽 (hausjan) 	eşitmek 	al’tuer! older! 
103	to know	ცოდნა (codna)	𓋴 𓄿 𓋷 𓀁 ?	Cogna, k’now ≠ 𓐍 𓅓 𓂜	+++	/tsɔdnɑ/	𐍅𐌹𐍄𐌰𐌽 (witan) 	bilmek 	warus++ Garaus machen
104	to think	ფიქრი (pikri)	𓇋 𓃀 𓃙 𓀁 | 𓇋 𓃀 𓃔 𓀁	pick, فِكْر‎ pthinkir? ~ panser	++<-?	/pʰikʰri/	𐌸𐌰𐌲𐌺𐌾𐌰𐌽 (þagkjan) 	pikir etmek, saýmak, üýtmek 	awl < owl angel @Ebla
105	to smell	ყნოსვა (q̇nosva)	𓐍 𓈖 𓌰 𓅱 𓂉 𓏥	q’nosva 𓂉	++++	/qʼnɔsvɑ/	[Term?] 	ysgamak (sniff) 	bat beatle, chop charge
106	to fear	შიში (šiši)	𓋴 𓂋 𓅾 | 𓆂 	sissi ~ goose ~ graus (os=mouth)	;)	/ʃiʃi/	𐍆𐌰𐌿𐍂𐌷𐍄𐌾𐌰𐌽 (faurhtjan) 	gorkmak, eýmenmek 	Кес ~ cut
107	to sleep	ძილი (ʒili)		Ʒili.ben ~ sleep	+++	/dzili/	𐍃𐌻𐌴𐍀𐌰𐌽 (slēpan) 	uklamak 	yaw!  böl<>Beil
108	to live	ცხოვრება (cxovreba)	<> 𓋴 𓆓𓃀 ?	𓋹vir 吧 reba~leben	+?	/tsxɔvrɛbɑ/	𐌻𐌹𐌱𐌰𐌽 (liban) 	ýaşamak 	Bat! <> beat, push, pickle, prick
109	to die	კვდომა (ḳvdoma)	𓐍 𓊪 𓏏 𓏱	körp.do.muert <> copse doom?	+<	/kʼvdɔmɑ/	𐌵𐌹𐍃𐍄𐌾𐌰𐌽? *𐌳𐌰𐌿𐌸𐌽𐌰𐌽 (*dauþnan) 	ölmek 	Dyrna.çakla
110	to kill	კვლა (ḳvla)	𓌪 𓂝	ḳvla <> 𓎡 Kelle	++++	/kʼvlɑ/	𐌳𐌰𐌿𐌸𐌾𐌰𐌽 (dauþjan) 	öldürmek 	kratz, carve, Kaspian
111	to fight	ბრძოლა (brʒola)	"𓂿	bir+ḳvla"	𐌱𐍂𐌰𐌺𐌾𐌰 break brutalier	+++<	/brdzɔlɑ/	𐌱𐍂𐌰𐌺𐌾𐌰	uruşmak (war) , söweşmek, göreşmek (wrestle) , 	鱼水 yuswuma swim
112	to hunt	ნადირობა (nadiroba)	𓈖 𓍇 𓏌 𓅱 𓁹 𓂻 𓀀	Hunt-robber <> nadzar 𓁹 Netzer	+++<	/nɑdirɔbɑ/	[Term?] 	awlamak 	(fl)UG! Off
113	to hit	რტყმა (rṭq̇ma)	𓀜	urttack.ma? urmak <> hard	T?<<	/rtʼqʼmɑ/	𐍃𐌻𐌰𐌷𐌰𐌽 (slahan) 	patlamak; urmak (beat) 	jire++ gyro geht
