	Caesar zar 1star 	?,??, ??, ???		Chefs, cusagh, il caeza	IL ? <> ? shirll? ??			
	super 1st 	??		supban				
	once 1st  origin	?? , ??		uonco, ucan				
	top, towerm	? , ??		Zom <> towm time?				
	Ascend 1st ? statue	?	 ? 	sang sh�ng ? @ ? sh?n  	?			
	love�	?? 		Sarah(n) < coeura				
	togirman deutsgerman 	??		Dogir : togil				
	Go !!!	??		goyo, goto				
	� to !!!	?		-e -re 				
								
	DO, -dom, tum !!!	道  도 -do						
								
	viδa: wisser, aiδa	의사, 우사		uisa	visite			
	doctor!!!	학서		hexer				
	creed	교리, 교의		cyori’				
	cease.do, go	가시다, 그치다		Cesi.do gasi.do goeth,geht@Turk				
	gone, late	고		go(ne)				
	gor: high	고		goh				
	cease(d)	말다		Mørde !!				
	meiden!! mei-do!!!	말다		malde				
	FIRE!	불, 발		phyr(i)	발화기 firer			
	push, help	부조		pusho				
	Gewinde, coil, cord 𓍿!	감다		gvmde				
	selbst!?! self-help	서비스, 자립, 자조		selbis, salib, ŝaŝo				
	? help	주선,조수, 조성  		Juson, Chosu, Chosong hada				
	Have / do!	하다		hada				
	help	지원		jivon				
	help	피할 길						
	HELP!	조수		Tuwas’o’seyo!				
	BITTE, prithee	부디		budti				
	bumper	부딪는						
	bind, be-ringen	부랑인		burangin				
	buran	부란						
	bum	부랑자						
	부랴트 말	Buryat						
	부러지다	Break, get broken		'native’ ;)  <>				
	부러뜨리다	fracture						
	부레풀	fish glue						
	부려먹다	work others						
	부루	fieldwork, Buru!						
	부력	buoyancy, flotage						
	부루	blue: sad						
	부르고뉴에서나는붉은포도주	Burgundy						
	부르다	bull.do: call						
	부르봉 	Bourbon						
	부르조아	bourgeois						
	부르쥐다	Barren : clench						
	부르지다	to break						
	부르짓다	shout						
	부르짖다	cry						
	부르다	bull.do: call						
	부르카	burk						
	부르트다	to get blisters						
	부르튼 	wheal						
	부름 뜨다	fierce glare 						
	부릉부릉	vroom						
	부리	Beak @ bird!!						
	부리다	brrr: break @ horse						
	부림제	Purim						
	부메랑	boomerang						
	부모	Parents						
	부부	Man and wife			bubu paparents partner			
	부복	prostration						
	부분	part,portion						
	부분품	piece						
	부빙	floe						
	일하고	at  work						
	임보	limbo						
	입	lib/ lick …						
	자매어	Ŝamea : sister						
	잘라 맞추다	trim						
	잘 보이려	topper						
	잘못	dis- mis-						
	잠깐 	Demis: touch						
	잠시	some						
	잠을 	Somner: sleep						
	잡다	capture						
	잡							
	shop							
	잡은 것	Kill < chop						
	재담	jeu joy.dom						
	저승	world						
	change!	전조						
