 No. 	English 	Aryan	Lithuanian 	Old Prussian	Latvian 	Latgalian 	Samogitian 	Old Prussian
169	to burn 	Docht.en داغ‎ (dāġ) 𓌳 𓄿 𓄡 𓊮 djeg,tsäk-, दहति (dáhati) 𓍑	degti 	degtwei	degt 	degt 	- 	degtwei
170	road 	Kur → kelth? 길  도로 kelten=schalten  kulkea	kelias 	pints	ceļš 	ceļš 	- 	pints
171	mountain 	Karn → kaln! Grab!!!	kalnas 	grabis	kalns 	kolns 	kalns 	grabis
172	red 	raud|warm!|sargon!?	raudonas 	wārmis	sarkans|ruds (hair) 	sorkons|raudons 	rauduons 	wārmis
173	green 	Zar <> zal	žalias 	zaljan	zaļš 	zaļs 	- 	zaljan
174	yellow 	gelt! Gold gelbt	geltonas 	gēltāinan	dzeltens 	dzaltons|voskons (poet.) 	geltuons 	gēltāinan
175	white 	baltic! Bald|白色 báisè	baltas 	gaīls	balts 	bolts|boltons 	balts 	gaīls
176	black 	jud!? Mal! kīrsn<>chare krisna?	juodas 	kīrsnan	melns 	malns 	juods 	kīrsnan
177	night 	✓	naktis 	naktis	nakts 	nakts 	- 	naktis
178	day (daytime) 	✓ dayn diem	diena 	deinan	diena 	dīna 	dīna 	deinan
179	year 	Meta Meter / Gods!!! <<< maß/cut	metas 	meta|metan	gads 	gods 	metā 	meta|metan
180	warm 	Sylt <3 ??	šiltas 	tappis	silts 	sylts 	- 	tappis
181	cold 	Salt <> white-frost!	šaltas 	saltan	auksts|salts 	solts 	šalts 	saltan
182	full 	piln phil full ++	pilnas|kupinas 	pilnan	pilns 	pylns 	- 	pilnan
183	new 	neujen jeun ++	naujas|jaunas 	nāuns|mālds	jauns 	jauns 	- 	nāuns|mālds
184	old 	senior senil sense	senas|senovinis 	wārs	vecs|sens 	vacs|senejais 	sens 	wārs
185	good 	gerad|lob+++ <<> @…	geras|labas 	labs	labs 	lobs 	gerā 	labs
186	bad 	ne…tik🗹 ठीक ṭhīk NOT! ne(love,ger!) würg;)  schlecht	netikęs|prastas|blogas|vargingas|nelabas|negeras 	wārgs|pawārgewingisks	slikts|ļauns 	nalobs 	bluogs 	wārgs|pawārgewingisks
187	rotten 	super.ves ~ ‘über’	supuvęs|sutrūnijęs 	puwwuns	sapuvis 	- 	- 	puwwuns
188	dirty 	nature?	nešvarus|purvinas|netyras 	mēlins	netīrs 	nateirs 	- 	mēlins
189	straight 	straiths tais?	tiesiai 	entìkriskai	taisns|tiešs 	taysnis 	statē 	entìkriskai
190	round 	Apo.skrit!  <<	apskritas|apvalus 	skrits|ebskrits	apaļš 	opols 	ožvės 	skrits|ebskrits
191	sharp (as a knife) 	Astar !!! <<< ***	aštrus 	astars	ass 	oss 	- 	astars
192	dull (as a knife) 	troll~dull	bukas|atšipęs|neaštrus 	kams	truls 	neoss 	- 	kams
193	smooth 	Glatt ++	glotnus|nugludintas|švelnus|lygus|nešiurkšus 	līgus|izlīgintun	gluds 	gluds|leidzons 	- 	līgus|izlīgintun
194	wet 	slip, drag/dreck-nass, murks, mist	šlapias|drėgnas 	mārks	mitrs|slapjš 	volgons|slapnis 	- 	mārks
195	dry 	^sun	sausas 	sāuss	sauss 	sauss 	- 	sāuss
