#,Swadesh_207_gloss,PIE,p-Kunama,p-Maba,p-Berta,Fur,p-Moru-Madi,p-Lendu-Ngiti,p-Mangbetu,p-Mangbutu,p-Sara-Bongo-Bagirmi,p-Kresh,Aja,Birri,p-Songhay,p-Kanuri,p-Tubu,p-Zaghawa-Berti,p-Koman,Gule,p-Gumuz,p-Kadu,Shabo,p-Nubian,p-SW Surmic,p-SE Surmic,Majang,Nara,p-Jebel,p-Nyimang,p-Temein,p-Tama,p-Daju,p-W Nilotic,p-E Nilotic,p-S Nilotic,p-Kuliak
51,tree,10000 WORDS,*èl-,*sʌŋge,*ŋgole; *ɕˀiɕˀi,kuru,*kwɛ̄,*icu,*=kɪrɛ; *=wò,*ukpa,*k=aga,*kpi-kpi,ɕi-ɕi,kpi,*tuguɾi,*k(=)èsgá,*ekke,*gu; *bɛgɪdʊ,*čwa,wɔt,*gi-,*afa; *=aːɗi,kˀona,*pǝr,*kɛː-t(a) ₁,*kɛ-to ₁,kɛ̀ː-t ₁,"kel, (*tum)",*ka(y)ča; *gul-,*t̪úmà,*marɛŋ,*ga(ː)n,*ewe,*yaːt̪ / *yɛn ₁,*k̚aye(-t-/-n-) ₁,*k̚eːt ₁,*ad; *dakʷ
52,forest,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,stick,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,fruit,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,seed,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,leaf,10000 WORDS,*durf-,*səŋa,*dùːdù,d=alma-ŋ,*bí,*bɪ,*=bɪ,*ibi,*mbi,,,,*kobto,*kálú,*kolu,[*ʔɔ(ŋ)ɣʊr],*čˀe-,,*cˀe-n-gi,*ʈaːru,ɕˀaːm,*ulgi (?),*ɓʌl(l)og- ₁,*ɓalog- ₁,píːŋòn ₂,tifin-i ₃,*teːpa ₃,*kɔ; *lawa (?),*kabo (?),*afol,*une-,*yit̪,*=k̚uy-; *=ben-₂,*sɛːŋ-,*kak; *rɔm
57,root,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,bark (of tree),10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,flower,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,grass,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,rope,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,skin,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,flesh (meat),10000 WORDS,*ɲuw-,*ɲu(ɲu),*uʔuŋ,n=iːno,*èzā,*ìzā,*ɲíꜜɲíꜜ,*ura,*i=ɖa,[*a=ta],umbú,kàká,*ham(u),*dâ,*yani,*ʔeni,*Sum,fum,*bičˀ-,*=oːɗa,há,*kosi,*iɗi(-)ŋ,*aču(k),táàr,no,*oʔoɲ ₁,*kun,*ini ~ *ili ₁,*is-,*iye ₂,*riŋ ₃,*ki=riŋ ₃,*paɲ,*em; *yey ₂
64,blood,10000 WORDS,*kokob-,*fal-; *ari,*ɠápà,*=ewa,*àrī,*āžū,*áli,*k=otu,*ma=ma,*Usa,usa,ɔtɔ,*kúɾí,*bû,*gɔrɛ,*ʔagu,*сˀama,gɔ=ʓɔb,*m(=)ax-,*a=rit̪o,yɛrom,*ǝger,*ɓɪyɛ,*ɲa(ː)ɓ-,yɛ́rʊ́m,kito,*ɠefa(-di),*úlè,*moni-,*ya-i,*tami-,*rɪm ₁,*=akɔt; *rɪm- ₁,*k̚ʌrʌtiː-; *woːy-,*sɛ(ʔ)
65,bone,10000 WORDS,*saŋ-,*kanʓi,*kˀàːrà,*=aːru,*kwà,*=kpa,*=kpɔ̀ꜛ,*ikpi,*ɕʊŋɔ,*kpɔ-kpɔ,ɕuŋgu,kpɔ,*biɾi,*sílà,*suru,*s₁iruN,*swi,fiː-fi,*žok-,*kuɓa,emenan,*kǝsi-di,*ammɛ- ₁,*giɠ-,ɛ́mɛ̀-nán ₁,ket-i,*ɠam,*ám- ₁,*am- ₁,*kiŋa-ti,*ŋay,*ɕog-,*k̚ɔyʊ,*k̚ʌːw- ₂,*ɔk ₂
66,grease (fat),10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,egg,10000 WORDS,*kokin-,*kade-m-,*kúlkúlú,*=iro-,*ɓú,*īɓī,*ɓu,*iɓu,*ɓU; *kaɓV,*yaka; *ɓo-ɓu,a=ʔi,ɓʌ,*guŋguɾi,*ŋgə́wúl,*sǝli; *kuli,*gʊnʊ,*simpˀ; *om-,is,*iš-,*sule,tutukan,*kumbu,*ɓʊːr- ₁,*bur(r)- ₁,tùtù-kán,war-i ₂,*ǝm-; *kol(o)-,*dámì,*war- ₂,*kuy-; *kob-,*ola-,*tɔŋ,*k̚atɪl-,*buruŋ- ₁; *kɔy-,*ɓiɓ
68,horn,10000 WORDS,*giːʀ-,*gami,*búlùŋ,d=olba,*ōˀyú,*ōʔyó ~ *ɔ̄ʔyʊ́,*=ígá,*k=aʓu,*k=aʓU,*aʓa,deɽe,uðö,*hilli,*k(=)àŋgádì,*yayi,*tɛdɪ,*kwap; *ke-,íːgà,*gi-,*=iːt̪o,kˀare,*ŋǝ-ǯi ₁,*ot̪t̪on,*kˀer(ǯ-); *šɛ-,kòytɛ́,kel-i,*kuzul; *il,*gur-t̪i,*kini ₂,*ŋaw-₁; *maŋi-,*yax-,*tuːŋ,*ŋuwar-,*kuyin ₂,*ɛb
69,tail,10000 WORDS,*šiːm-,*ɔlu,*àbàrò,d=awi,*āví,*ávì,*=ávìꜛ,*t=aʓa,*=ila,*kuyu,so-so,tá,*ha(m)fe,*ŋgàv(-)ə̀rè,*fudi,[*kɛrɛn]; [*teski],*cin,sisi-n,*ci-,*iːt̪i,sun-dum,*ɛːb ₁,*kuːl- ₂,*kur- ₂,kùːl ₂,dawa,*pori; *rusu,*wey- (?),*rɪŋ-kak,*gawu- (?),*iːb- ₁,*yip ₁; *yol,,*sarʊr,*tisit
70,feather,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,hair,10000 WORDS,*kiːm-,*tofi,*bùs,ɲiːlu,*ɓɪ,*ká,*áwɛ́,*k=aɗi,*bi,*bi-bi,bi-bi,mú,*hambiɾi,*ku(=)nduli,*tọnosu,*(w)ui; *wer,*mbar-,ʔif,*beː-,*awu,ɕˀeːka,*dɛl-,*immʌ ₁,*čˀɔrɛ,àm-ùn ₁,sab-i,*ǯeke ₂; *sugu-,*yi-,*ʓɛ-t̪ ₂,*isigi-t,*apaɣ,*yer,*k̚opir-,*puːt,*sicˀ
72,head,10000 WORDS,*aŋan-,*kiʓi,*àlú,tabu,*ɖì,*ʓɔ,*ɖùꜛ,*uɖu,*ɖɔ,*ʓu-ʓu,ʓu-ʓu,ɖru,*baŋgɔ,*kə̀lâ,*da(h)u,*tafa; *yaNV,*kˀup,gàdé,*ilu=kˀ/ʷ/a,*=at̪u,kˀoyi,*or ₁,*ɔː,*sab(b)-,ɔ̀ːɗɔ̀h,kel-e,*ola ₁,*ɔr- ₁,*=ʊlo ₁,*(ŋ=)ur- ₁,*is- ₂,*wiɕ ₂,*k̚we ₂,*met; *uːʀ ₁,*ik
73,ear,10000 WORDS,*ukun-,*kɔy-,*ìlè,*=il-,*bí,*bɪ,*=bí,*ubi,*mbi,*mbi-mbi,mi-mbi,nvö,*haŋga,*sə́mò,*simo,*kɛmɛ,*čˀe,iːg-ǝn,*cˀe-,*=ɛːsɔ,kˀiti,*ulgi,*i-t̪a(t) ₁,*ɲab-,wìːná ₂,tus,*sigi-; *win- ₂,*ɲɔgɔr-,*wen(-a) ₂,*(ŋ=)us-,*une- ₂,*yi-t̪ ₁,*k̚i- ₁,*iː-t ₁,*bos ~ *bes
74,eye,10000 WORDS,*uw-,*kas(i),*àrè,*=uŋi,*mī,*ɲɪ,*=ŋgɔ̀,*uwe,*kamU,*mu,i=ɲi,mʊ,*moy,*sîm,*samo,*s₁ɪN,*ya/y/-,yaː-n,*ke-,*=yV,se,*miɲ ₁,*kɛbɛr-ɛ ₂,*kabar-i ₂,tàːmá,no,*eti,*āŋ(w)- ₃,*=aŋ- ~ *=aɲ- ₃,*emeɲ- ₁,*aŋo- ₃,*waŋ ₃,*k̚ɔŋ- / *k̚ɔɲ- ₃,*k̚ɔːŋ ₃,*ɛkʷ
75,nose,10000 WORDS,*bobon-,*mundu,*àmúŋ,d=ormi,*ɔmvɔ,*ɔ̄ndì,*=ámɔ̀ꜛ,*t=ɔŋgi,*U=mU,*u=ŋu,mú-mú,í=mɔ̀,*nìːnè,*kə́(=)nǯà,*kya,*sɪna ~ *sano,*šʊnš,fufa-n,*it-,*=mbarɔ; *=moː,šona,*esi-ŋi; *sori-ŋ,*ʊŋɛ- ₁,*giroŋ,ɛ́ŋɛ́-n ₁,demo,*potor; *muː ₂,*(a)ŋud̪-,*=mɪn- ~ *=t̪ɪm-,*(a=)miʓi,*mu-ne ₂,*ʔum ₂,*k̚ume ₂,*ser-,*ɲab-; *aɠat
