? ,English ,Hebrew ,Romanized Hebrew ,EU,,Arabic ,Romanized Arabic ,Tarifiyt Berber ,,Hebrew ,Romanized Hebrew ,Syriac ,Romanized Syriac ,Romanized Akkadian ,Ge'ez ,Romanized Ge'ez ,Maltese ,Romanized Coptic ,Tarifiyt Berber ,Hausa ,Oromo (Wallagga) ,Somali
90,heart ,??? ,lév ,Live lieb,++,??? ,lubb ,u? ,cour!,??? ,lév ,???? ,lebb? ,libbu ,?? ,l?bb ,qalb ,"p-h?t, ht? ",u? ,zúucìyáa ,onnee ,"laab, wadne"
91,liver ,???? ,kâvéð ,k’habit ,+,???? ,kabid ,?sa ,tissue?,???? ,kâvéð ,????? ,kavd? ,kabattu ,??? ,kabd ,,,?sa ,hántàa ,tiruu ,"tiro, beer"
92,drink ,???? ,šâ?â ,Sate! S-r-p : slurp,++,???? ,šáriba ,"su, ??u ",soif?,???? ,šâ?â ,???? ,št? ,šatû ,???/??? ,satya/?araba ,xorob ,s? ,"su, ??u ",sháa ,dhug- ,cabbid
93,eat ,???? ,?âxal ,essaln,+<,???? ,?ákala ,šš ,esse!!,???? ,?âxal ,???? ,?exal ,ak?lu ,??? ,bal?a ,kiel ,ou?m ,šš ,cí ,,cun
94,bite ,???? ,nâšax ,snack,+-,??? ,?á??a ,,,???? ,nâšax ,???? ,nxa? ,naš?ku ,??? ,nakasa ,gidem ,,,cìizáa ,,qaniin
95,suck ,???? ,mâ?a? ,,,??? ,má??a ,,,???? ,mâ?a? ,??? ,ma? ,en?qu ,??/??? ,"ma??a, ?abawa (breast) ",,,,,"hod'a, t'uut'a ",nuug
96,spit ,???? ,yâraq ,,,???? ,bá?aqa ,,,???? ,yâraq ,??? ,raq ,,???/??? ,taf?a/waraqa ,be?aq ,,,tóofàa ,tuf ,
97,vomit ,????? ,héqi ,,,????? ,taqáyya? ,arr ,,????? ,héqi ,???? ,g?a? ,,?? ,qe?a ,,,arr ,yí ámái ,,hunqaac
98,blow ,???? ,nâfa? ,an’fecher @nofe=nose  ,++<,???? ,náfaxa ,,,???? ,nâfa? ,???? ,nfa? ,,??? ,naf?a ,nefa? ,,,,"afuufa, buufa ","afuuf, buufi"
99,breathe ,???? ,nâšam ,nasen an’athem!  ,++,????? ,tanáffasa ,arr nn?fs ,Arr @ nofse,???? ,nâšam ,"????, ???? ","nfaš, nšam ",nap?šu ,???? ,?anfasa ,,,arr nn?fs ,yí númfáashíi ,,neefso
100,laugh ,???? ,?â?aq ,shakel g?ex geck,++<,???? ,?á?ika ,?’??š (< Ar.) ,,???? ,?â?aq ,???? ,g?ex ,?uxxu ,??? ,?a?aqa ,"da?ak, da?aq ",,?’??š (< Ar.) ,dàaríyáa ,kolfa ,qosol
