No ,English , ,,Aymara ,Kunza ,Southern Quechua runa simi,PIE / PERU,,,"Wichí languages (Guisnay, Nocten and Vejoz) ",Rapa Nui (Austronesian),Spanish,Mapudungun ,Paraguayan Guaraní avañe'?,,
82,knee* ,qunie,~?,qunquri ,? ,chanka,Schenkel,,,top’ulhak ,turi va'e ,rodilla,luku ,ajúra,,
83,hand* ,am! rima ?amputier,<,ampara ,suy-i ,qunquri,gon.knie,,,totkwe ,rima ,mano,küwü ,ape,,
84,wing ,<> chick;),?,chhiqha ,ack-iu ,maki,,--,,tolhefw ,kará ,ala,müpü ,káma,k’mamma,
85,belly* ,"barriga@ES, panza!",??,"puraka, phathanka (stomach) ",ckani ,rapra,Ptra : feather,,,tots’e ,"kopú (stomach), manava ","barriga, vientre, panza",pütra ,ñe'ã,ge.nea,
86,guts ,1.füll?,,jiphilla ,? ,wiksa,,;),,totkosley ,kokoma ,"entrañas, tripas",küllche ,py'akue,,
87,neck* ,negao!!! knick?,??!?,kunka ,? ,chunchul,,,,tow’u ,ngao ,cuello,pe? ,-'u,abu,
88,back ,arci!,,ati ,? ,kunka,knick: k’neck,++<,,towhu ,(tu'a)/(tua')ivi ,espalda,furi ,"karu, -'u",kau,
89,breast* ,"mama, nunuckel, tit!",??,ñuñu ,aytiackatnu ,wasa,,,,tot’ate ,û ,"pecho, seno","moyo, ruku ",su'u,Zu-beiß,
90,heart* ,lopque loeb lieb love luck,,lluqu ,tchitack ,qasqu,,,,tot’utle ,"inanga, mahatu (Tahitian) ",corazón,piwke ,pyte,babyt,
91,liver* ,<<,,k'iwcha ,himri ,sunqu,,,,totonek ,ate (ánu ánu)/(hio hio) ,hígado,ke ,ndyvu,,
92,drink* ,manger--,<<,umaña ,"haitatur, ckacktur ","kiwcha, k'ipchan",,,,iyoyej ,unu ,"beber, tomar",putun ,,,
93,eat* ,manger++ munch’en,??!?,manq'aña ,holm' tur ,upyay,-ay -uy = (I?)do ,,,tefw ,kai ,comer,in ,peju,,
94,bite* ,ngau: kau <> neck!,??!?,achuraña (bite one by one) ,[[]] ,mikhuy,,,,yukwaj ,ngau ,morder,ünan ,pytuh?,,
95,suck ,,,[[]] ,[[]] ,kaniy,kaun,,,hits’e ,omo ,chupar,fochüdün ,puka,,
96,spit ,~ ,,thusarpaña ,[[]] ,chunqay,chunk,,,ifwats’encho’ ,aanu ,escupir,tofkün ,hecha,,
97,vomit ,kotz!!,??!?,kutuyaña ,ppotuntur ,tuqay,Tuq ~ spuck,-,,tach’eylhi ,rua ,vomitar,rapin ,hendu,,
98,blow ,pusten!! @baltic,??!?,phusaña ,ppúputur ,aqtuy,kotz,-+,,yafwit ,puhi ,soplar,pimun ,kuaa,know kunde,
99,breathe ,,,[[]] ,"hatckatchatur, hatratchatur ","phukuy, wayray (wind)",pust,,,t’iyalh ,haa ,respirar,?eyün ,mo'ã,mind,
100,laugh ,lachen!!!  -EN !!!!!! +++++++++,??!?,laruña  -uña -aña  !!!!!!!,[[]] ,samay,,,,t’ischey ,kata ,reír,ayen ,het?,,
101,see* ,uin.aña  oyn.aña  oille.aña +++,??!?,"uñaña, ullaña ",[[]] ,asiy,,,,hiw’en ,tikea ,ver,kintun ,kyhyje,,
102,hear* ,sDm!!,??!?,ist'aña ,yébitur ,rikuy,recon,,,ilota ,ngaro'a ,oír,allkün ,ke,,
103,know* (a fact) ,<<,,yatiña ,[[]] ,uyariy,hör.iy,+-,,yihanej ,agi ,saber,kimün ,kove,,
104,think ,,,"lup'iña, amuyt'aña ",[[]] ,yachay,yach yad vyd wiss,+- SEM,,tichunlhi ,mana'u ,pensar,rakiduamün ,mano,morn,
105,smell ,~ ,,musuña ,[[]] ,yuyay,,,,tan’isinej ,hongi ,oler,nümün ,juka,jukill,+?
106,fear ,,,mulla ,[[]] ,mutkiy,,,,nuway ,mataku ,temer,llükan ,ñorairõ,,
107,sleep* ,,,ikiña ,[[]] ,manchay,m’angst,,,imo ,moe ,dormir,umawtun ,,,
108,live ,sarn.anqa!!! <<<<<>>>>,??!?,"qamaña, sarnaqaña ",[[]] ,puñuy,,,,"iloy, ihi ",ora ,vivir,mongelen ,japete,,
109,die* ,nirwana!  Mate,~?!?,jiwaña ,[[]] ,kawsay,,,,"y'ilh, ileyej hunhat ",mate ,morir,"?a?, ?ay ",kyt?,cut,++++
110,kill* ,,,"jiwarpäña, jiwarpayaña ",lattatur ,wañuy,Vanish @ Vana™,,,ilon ,tinga'i ,matar,?angümün ,,,
111,fight ,zick? Tollen keb?,~??,sillqiña ,[[]] ,wañuchiy,Vinci <> vanish,,,tol’ey ,[[]] ,pelear,kewan ,,,
112,hunt ,hnun htun hunt,~??,[[]] ,[[]] ,awqay,,,,chel ,poko ,cazar chase<>nezar!,"nün, tun ",karãi,s’karaix,++
113,hit ,Golpear@sem!! <<>>,,"k'uphaña, nuwaña ",[[]] ,"chakuy, kasachiy",,,,yikojlhi ,tu'u ,golpear,"mütrongün, palolpaloltun ",jo'o,,
114,cut ,katrün cortar,??,khariña ,[[]] ,maqay,machete™,,,yiset ,"tarai, vahi ",cortar,katrün ,yta,,
115,split ,part,~??,pachjaña ,[[]] ,"p'itiy, kuchuy",kuch~cut,,,hich’esaj ,ngahaa ,partir,triran ,veve,~,
116,stab ,,,[[]] ,[[]] ,laray,,,,itsonhu ,oka ,apuñalar,chüngarün ,guata,go.itir,++
117,scratch ,J-r-qh-n  sc-r-tch-n  jucken!!,??!?,"jurqhiña, jurqhiraña ",[[]] ,chusyay,,,,chasmajlhi ,raku ,"arañar, rascar",ünan ,ju,,
118,dig ,buddel!?+,??!?,"p'ataña, alliña, jat'iña ",[[]] ,aspiy,,,,tishi ,karo ,cavar,rüngan ,ty (action),die;),
119,swim* ,"thun, kaul",,"tuyuña, tuykataña ",[[]] ,allay,,,,t’ilin ,kau ,nadar,weyelün ,guapy (action),,
120,fly* (v.) ,tyr.una,~??,"t'uyuña, jalsuña ",[[]] ,wayt'ay,water,++,,wiy’o ,rere ,volar,müpün ,pu'ã (action),,
121,walk* ,"track, sar~gir +-",~??,saraña ,[[]] ,phaway,phlay away @ Sem,+++<,,yik ,haere ,caminar,"trekan, marchay ",pyryr?i,,
122,come* ,,,jutaña ,hautur ,puriy,?uriy,+?,,nom ,tu'u ,venir,küpan ,-'a,fa’,
123,lie* ,,,ikintaña ,[[]] ,hamuy,cham come,++,,"lhipiyen, imokatsi ",moe ,"echarse, acostarse, tenderse","tranawün, kuzun ",me'?,meno,
124,sit* ,qun@,~??,qunuña ,[[]] ,"sirikuy (action), waqtapay (state)",slip sleep,- ,,tataypho ,noho ,sentarse,anün ,reko,reich,
125,stand* ,¬sit-,,[[]] ,[[]] ,tiyakuy (action),tisch?,-,,takasit ,tu'u ,estar de pie,witrapüran ,jopy,,
126,turn ,taviri ,??!?,[[]] ,[[]] ,sayariy (action),s…,-,,ilenejlhi ,taviri ,voltear,chüwüzün ,kyty,,
127,fall ,Tölpel ~ s’tolhpho stolpern tylppä dull,??!?,jalaqtaña ,[[]] ,muyuy,,,,tolhpho ,hinga ,caer,ütrünaqün ,johéi,,
128,give* ,cheiro! k’hand !,??!?,churaña ,ckantur ,urmay,,,,hiw’enhu ,[[]] ,dar,wülün ,ky'a'o,,
129,hold ,,,[[]] ,[[]] ,quy,Quy ~ give,+-,,ichojlhi ,aaru ,sostener,nünien ,noh?,,
130,squeeze ,,,q'upjaña ,[[]] ,tiyaway,Tiya ~ take,-,,hits’ifwin ,ngatu ,apretar,"kütrün, ngütrarün ",muaña,,
131,rub ,,,khakhuraña ,[[]] ,qapiy,,,,ifwetlhi ,[[]] ,frotar,ngüllfün ,ty,~,
132,wash ,<>jar,~??,jariña ,[[]] ,kituy,,,,ilej ,[[]] ,lavar,küchan ,ñapyt?,,
133,wipe ,wischen!!,??!?,phiskhuña ,[[]] ,"maqchiy, taqsay",,,,isek (sweep) ,[[]] ,limpiar,lipümün ,mbovyvy,,
134,pull ,tir~-,<<,"t'ajsaña, mithaña ",[[]] ,chakichiy,,,,itunhi ,[[]] ,tirar,witran ,papa,,
135,push ,,,nukhuña ,[[]] ,aysay,,,,yihetche ,[[]] ,empujar,rültren ,-e,s’ey,
136,throw ,,,[[]] ,[[]] ,tanqay,tank,,,tafwumej ,vero ,"tirar, arrojar",ütrüfentun ,purahéi,,
137,tie ,<<,,"ñach'aña, yapiña ",[[]] ,"wichuy, chamqay",,,,inayhit ,haha'u ,atar,trarin ,ñembosarái,,
138,sew ,,,chhithaña ,[[]] ,watay,,,,itsek ,tui ,coser,ñüzüfün ,,,
139,count ,--,,wakhuña ,[[]] ,siray,~,+ ,,kunta (Spanish) ,tataku ,contar,rakin ,syry,,
140,say * ,---,,[[]] ,hammatur ,yupay,yuppie ,;),,"yuk, fwelh ",ki ,Decir !!!,pin ,,,
141,sing ,jalla;) jodl,,"waruruña, jaylliña ",[[]] ,niy,nounce,+-,,t’ich’uylhi ,[[]] ,cantar,ü?kantun ,,,
142,play ,<-,,anataña ,[[]] ,takiy,,,,yikuy ,(ko)kori ,jugar,awkantun ,kuarahy,soray ? ,+++
143,float ,,,[[]] ,[[]] ,pukllay,Puklay ~ play,++<!?,,ipe’not ,[[]] ,flotar,zeñoyün ,jasy,Iah.sin,+++
144,flow ,,,[[]] ,[[]] ,tuytuy,,,,yik ,tehe ,fluir,witrun ,mbyja,,
145,freeze ,,,ch'uñjañ (freeze potatoes) ,[[]] ,tinkukuy,,,,,[[]] ,helar,trangliñün ,y,,+ 
146,swell ,,,p'asatatasna ,[[]] ,qasay,?q’ice kalt,++,,t’ikwa (noun) ,[[]] ,hincharse,"ponkwin, iñchalen ",ama,mayim ???,+ 
147,sun* ,raá!! sunti a??ü <<,??!?,"willka (ritual), inti ","ckaâpin, ckapin ",punkiy,,,,fwala ,raá ,sol,a??ü ,ysyry,wysyr ither,+++
148,moon* ,"mahina!!, amur, ***Si ---",??!? ??,phaxsi ,ckamur ,inti,hindi? Sinti?,<,,wel’a ,mahina ,luna,küye? ,ypa,,
149,star* ,kwarkwar kawkva@Syriac!!,??!?,warawara ,haalar ,killa,killer moon KiLilith ?,++,,kates ,hetu'u ,estrella,wangülen ,para,,
