 № 	English 	Telugu 	 		Tamil 	Malayalam 	Kannada 	Tulu 	Gondi 	Konda-Dora 	Brahui
57	root 	వేరు (vēru) 	Vera vroot		வேர் (vēr) 	വേര് (/ʋeːɾɨ̆/) 	ಬೇರು (bēru)				
58	bark (of tree) 	బెరడు (beraḍu) 	baradku		பட்டை (pattai) 	മരത്തൊലി (/maɾat̪t̪oli/), പട്ട (/paʈʈa/) 	ತೊಗಟೆ (togaṭe)				
59	flower 	పువ్వు (puvvu), పుష్పము (puṣpamu) 	~		பூ (pū), மலர் (malar) 	പൂവ് (/puːʋɨ̆/), പൂ (/puː/) 	ಹೂವು (hūvu)				
60	grass 	గడ్డి (gaḍḍi) 	~	🗸	புல் (pul) 	പുല്ല് (/pullɨ̆/), പുൽ- (/pul-/), പോച്ച (/poːt͡ʃt͡ʃa/) 	ಹುಲ್ಲು (hullu)				
61	rope 	తాడు (tāḍu), మోకు (mōku) 	𓍿𓍿, ?		கயிறு (kayiṟu),ஞாண் (/njaN/) 	കയറ് (/kajaɾɨ̆/), വള്ളി (/ʋaɭɭi/) (also vine) 	ನೇಣು (nēṇu)				
62	skin (of a person) 	తోలు (tōlu), చర్మము(carmamu) 	Teil < der		தோல் (tōl) 	തൊലി (/t̪oli/), തോല് (/t̪oːlɨ̆/) (hide), തോൽ (/t̪oːl/) (hide) 	ತೊಗಲು (togalu)				
63	meat (as in flesh) 	మాంసం (māMsaM) 	~		இறைச்சி (/irat͡ʃt͡ʃi/), கறி (kaRi) 	ഇറച്ചി (/irat͡ʃt͡ʃi/) 	ಬಾಡು (bāḍu)				
64	blood 	రక్తము (raktamu), నెత్తురు (netturu) 	?		குருதி (kuruthi) 	ചോര (/t͡ʃoːɾa/) 	ನೆತ್ತರು (nettaru)				
65	bone 	ఎముక (emuka), బొమికె (bomike), బొక్క (bokka) 	bome a’mark		எலும்பு (elumpu) 	എല്ല് (/ellɨ̆/) 	ಎಲುಬು (elabu)				
66	fat (noun) 	కొవ్వు (kovvu) 	^^ Hind		கொழுப்பு (koluppu) 	കൊഴുപ്പ് (/koɻuppɨ̆/) 	ಕೊಬ್ಬು (kobbu)				
67	egg 	గుడ్డు (guḍḍu) 	ugd ant <<		முட்டை (muṭṭai) 	മുട്ട (/muʈʈa/) 	ಮೊಟ್ಟೆ (moṭṭe)				
68	horn 	కొమ్ము (kommu) 	kornu, krumm, 𓍿	🗸	கொம்பு (kompu) 	കൊമ്പ് (/kompɨ̆/) 	ಕೊಂಬು (koṃbu)				
69	tail 	తోక (tōka) 	~ <		வால் (vāl) 	വാല് (/ʋaːlɨ̆/), വാൽ- (/ʋaːl-/) 	ಬಾಲ (bala), ತೋಕೆ (tōke)				
70	feather (rather not down) 	ఈక (īka) 	(f)icarus	++<<	இறகு (iraku) 	തൂവല് (/t̪uːʋalɨ̆/), തുവൽ- (/t̪uːʋal-/), പൂട (/puːʈa/) 	ಗರಿ				
71	hair 	వెంట్రుకలు (veMṭrukalu), జుట్టు (juṭṭu) 			முடி (muṭi) 	മുടി (/muʈi/) (of head), പൂട (/puːʈa/) (of animal; not of head) 	ಕೂದಲು (kūdalu)				
72	head 	తల (tala) 		????	தலை (talai) 	തല (/t̪ala/), മുടി (/muʈi/) (from head hair) 	ತಲೆ				
73	ear 	చెవి (cevi) 			காது (kātu),செவி (/Chevi/) 	ചെവി (/t͡ʃeʋi/), കാത് (/kaːt̪ɨ̆/) 	ಕಿವಿ				
74	eye 	కన్ను (kannu), నేత్రం (netram) 	aukan, netz-haut@SEM		கண் (kaṇ) 	കണ്ണ് (/kaɳɳɨ̆/), കണ്‍- (/kaɳ-/), മിഴി (/miɻi/) 	ಕಣ್ಣು				
75	nose 	ముక్కు (mukku) 	mnocce nok@Hind	🗸	மூக்கு (mūkku) 	മൂക്ക് (/muːkkɨ̆/) 	ಮೂಗು				
76	mouth 	నోరు (nōru), మూతి (mūti) 	mouthi	🗸	வாய் (vāy) 	വായ (/ʋaːja/), വാ (/ʋaː/) 	ಬಾಯಿ				
77	tooth (rather not molar) 	పన్ను (pannu) 	pan<dent		பல் (pal) 	പല്ല് (/pallɨ̆/) 	ಹಲ್ಲು				
