English 	Farsi/Persian 			Bengali 	Hindi 	Romani 	IE		Tajik 	Kurdish (Central) 	Mazandarani (Tabari) 	Punjabi[1] 	Urdu 	Nepali 	Gujarati 	Zazaki	
66	fat (n.) 	carbon™ körper fass vasa fath	🗸™	वसा/चरबी vasā/carbī 	روغن/چربی charbi/rowghan 	চর্বি corbi 			thulo 	равған 	çewrî 	راغون/چَلبی raghun/chalbi 	ਚਰਬੀ 	چربی carbī 	बोसो 	şişman	
67	egg 	蛋 [蛋] dàn @ t’animal	<<<<	अंडा anḍā 	تخم tokhm 	ডিম ḍim 			anro 	тухм 	hêlke 	مرغانه merghane 	ਆਂਡਾ 	انڈا anḍā 	फुल,अण्डा 	hag	
68	horn 	𓌳 sichorn > sicheln!	🗸<<<?	सींग sī̃g 	شاخ šâkh 	শিং shing 	𓄃		shing 	шох 	şax ਸਿੰਗ 	سینگ sī̃g 	सिङ 	ustıne			
69	tail 	dommel, puschel, lasso	~~	दुम/पूँछ dum/pū̃ch 	دم dom 	লেজ lej 	pony?		pori 	дум 	kilk 	دم dem 	ਪੂਛ 	دم dum 	पुच्छर 	tım, dım	
70	feather 	pahr, fur	🗸!<	पंख/पर pãkh/par 	پر par 	পর pôr 		🗸	por 	пар 	perr 	پر par 	ਖੰਭ/ਪਰ 	پر par 	प्वाँख 	fır, mu	
71	hair 	ball, mwolle, maol 毛	🗸!<	बाल/केश bāl/keś 	مو mu 	চুল cul 		<~	bal 	мӯ 	mû 	می mi 	ਵਾਲ਼/ਕੇਸ 	بال bāl 	कपाल,रौँ 	gıck, porr	
72	head 	首shourpf @SEM Mhead Matte@KOR	~<	सर sar 	سر sar 	মাথা matha 		!	shero 	сар 	ser 	سَر sar 	ਸਿਰ 	سر sar 	टाउको,शिर 	ser, qaf	
73	ear 	kohrn@*		कान kān 	گوش guš 	কান kān 	kohrn@ural,turk		kan 	гӯш 	gwê 	گوش gush 	ਕੰਨ 	کان kān 	कान 	goş	
74	eye 	Augh, seesm	🗸	आँख ā̃kh 	چشم cheshm 	চোখ cokh 	eyakhe ayge	🗸🗸	jakh 	чашм 	çaw 	چـِش chesh 	ਅੱਖ/ਨੈਣ 	آنکھ ā̃kh 	आँखा 	çım	
75	nose 	Noce <> knock!	🗸	नाक nāk 	دماغ/بینی bini/damågh 	নাক nak 		🗸🗸	nakh 	[[]] 	lût 	دِماغ demagh 	ਨੱਕ 	ناک nāk 	नाक 	zınci, pırnıke	
76	mouth 	muhk! Dan:zahn	🗸	मूँह/मुख mū̃h/mukh 	دهن dahan 	মুখ mukh 		🗸🗸	muj 	даҳон 	dem, zar 	داهون dahun 	ਮੂੰਹ 	منہ mū̃h 	मुख 	fek	
77	tooth 	دندان dandån , दाँत dãt 	🗸	दाँत dãt 	دندان dandån 	দাঁত dãt 	dent	🗸🗸	dand 	дандон 	didan ਦੰਦ 	دانت dãt 	दाँत 	dından			
78	tongue 	Sabbern! ;)	™!? ;)	जीभ/ज़बान jībh/zabān 	زبان zabån 	জীভ/জিহবা jibh/jibba 			shib 	забон 	ziman 	زوون zevun 	ਜੀਭ/ਜ਼ੁਬਾਨ 	زبان zabån 	जिब्रो 	zon, zuan	
79	fingernail 	nokhuln	🗸	नाख़ुन nāxūn 	ناخن nâkhun 	নখ nôkh 			vundya 	нохун 	nînok ਨਹੁੰ 	ناخن nâkhun 	नङ 	nengu, nake			
80	foot 	pa, paw, pair, bein!	🗸	पैर/पांव pair/pā̃v 	پا pâ 	পা pa 	bein	;)	punro 	по 	pê 	چَک chak 	ਪੈਰ 	پیر/پاؤں pair/pā̃v 	खुट्टा 	pa	
81	leg 	pa, paw	🗸	टांग/पांव ṭāng/pā̃v 	لنگ leng 	পা pa 	fuß	;)	fujeri 	линг 	laq, ling 	لینگ ling 	ਲੱਤ 	ٹانگ/پاؤں ṭāng/pā̃v 	गोडा 	leng	
82	knee 	canie	~ <	घुटना ghuṭnā 	زانو zânu 	হাঁটু hãṭu 	gkañie	🗸	chang 	зону 	ejno ਗੋਡਾ 	زانو zânu 	घुँडा 	zana			
83	hand 	हाथ hāth 	🗸!	हाथ hāth 	دست dast 	হাত hat 		<<<	vast 	даст 	dest 	دَس/بال das/bal 	ਹੱਥ 	ہاتھ hāth 	हात 	dest	
84	wing 	pflugk	~🗸	पंख pãkh 	بال bâl 	পাখা pakha 	flugk	🗸	phak 	бол 	ball 	بال bal 	ਖੰਭ 	پر par 	पंखेटा 	perre	
85	belly 	pot belly bottom	🗸	पेट peṭ 	شکم šekam 	পেট peṭ 		~<	per 	шикам 	sik 	اِشکِم eshkem 	ਢਿੱਡ 	پیٹ peṭ 	पेट 	navık	
86	guts 	interi’ burry<>belly	<🗸	अंतड़ी antaṛī 	روده rude 	ভুড়ী bhuṛi 	^^		porra 	рӯда 	rîxolle 	چنیک chenik 	ਆਂਦਰ 	انتڑی antaṛī 	आन्द्रा 	Logare	
87	neck 	gorgel, gordan!	<🗸	गर्दन gardan 	گردن gardan 	গলা gôla 	𓐍𓐍𓄈 кърга gurgel	🗸	korr 	гардан 	mil 	گِس ges 	ਧੌਣ/ਗਲ 	گردن gardan 	घाँटी 	gerdan	
88	back 	post, beith! 北	<🗸	पीठ pīṭh 	پشت/پس pas/posht 	পীঠ piṭh 		<?	dumo 	пушт 	dwa, pişt 	پِشت pesht 	ਕੰਡ/ਢੂੰਹੀ 	پیٹھ pīṭh 	पिठ्युँ,ढाड 	pey	
89	breast 	chearti	<	छाती/सीना chātī/sīnā 	سینه sine 	বুক buk 	tcitce	🗸	chuchi 	сина 	sîng 	سینه sine 	ਹਿੱਕ/ਛਾਤੀ 	چھاتی/سینه chātī/sīnā 	स्तन 	sine	
90	heart 	DIL Teil????	???	दिल dil 	دل del 	মন/হৃদয় 		<?	jilo 	дил 	dill 	دل del 	ਦਿਲ/ਹਿਰਦਾ 	دل dil 	मुटु 	zerre	
91	liver 	kol(dampf)<kar,coeur		कलेजा kalejā 	جگر jegar 	কলজে kolje 			buko 	ҷигар 	cerg 	جیگر jiger 	ਜਿਗਰ/ਕਾਲਜਾ 	جگر jigar 	कलेजो 	cigera siya	
92	drink 	pina™	🗸™	पीना pīnā 	نوشیدن nušidan 	পান pana 	El,al,lel == .en	pij.en	pijel 	нӯшидан 	xwardinewe ਪੀਣਾ 	پینا pīnā 	पिउनु 	şimitene			
93	eat 	chien, carne, kauen	~🗸	खाना khānā 	خوردن khordan 	খাওয়া khaoa 		esx.en	xal 	хӯрдан 	xwardin 	بَخاردِن baxarden 	ਖਾਣਾ 	کھانا khānā 	खानु 	werdene	
94	bite 	cut	~🗸	काटना kāṭnā 	گزیدن gazidan 	কামড়ানো kamṛano 			dindalel 	газидан 	gestin 	دَئیشتِن da'ishten 	ਵੱਢਣਾ 	کترنا kaṭarnā 	टोक्नु 	baziten	
95	suck 		~	चूसना cūsnā 	مکیدن makidan 	চোষা cosha 		~	chuchi pel 	макидан 	mijtin 	بَلِشتِن baleshten 	ਚੂਸਣਾ 	چوسنا cūsnā 	चुस्नु 	likitene	
96	spit 		~	थूक thūk 	دشنه/تف tof/dešne 	ছ্যাপ/থুতু sêp/thutu 		~	shungardel 	туф кардан 	tif kirdin 	تف tof 	ਥੁੱਕਣਾ 	تھوکنا thūk 	थुक्नु 	tu kerdış	
97	vomit 	kai’dzan, bomit!	~🗸	क़ै Qay 	kai kardan قی کردن 	বমি bomi 		;)	shandel 	қай кардан 	rişanewe 	اخ تف akh tof 	ਕੈ ਕਰਨੀ/[[ਉਲਟੀ ਕਰਨੀ 	قے Qay 	बान्ता 	ravırıznayene	
98	blow 	phuci.tan	🗸	फूँकना phũkna 	وزیدن vazidan 	ফুঁ দেত্তয়া phũ dêoa 	Pust < !	<~	phurdel 	вазидан 	fû kirdin 	سَر هاکِردِن sar hakerden 	ਫੂਕਣਾ/ਝੱਲਣਾ 	پھونکنا phũkna 	फुक्नु 	puf kerdış	
99	breathe 			सांस लेना sā̃s lenā 	دم زدن/نفس کشیدن nafas kashidan/dam zadan 	শ্বাস নেওয়া shash neoa 	≠suffocate!		shanshel 	нафас кашидан 	henase dan 	نفس بَکشی‌ین nafes bakshiyen 	ਸਾਹ ਲੈਣਾ 	سانس لینا sā̃s lenā 	स्वास लिनु 	nefes gırewtene	
100	laugh 			हँसना hãsnā 	خندیدن khandidan 	হাসা hasha 	ass: Esel	!	assal 	хандидан 	pêkenîn 	ریک rik 	ਹੱਸਣਾ 	ہنسنا hãsnā 	हाँस्नु 	nefe kerdene 	huyayene
101	see 	Video.dan, theo (theater…), denken	🗸	देखना dekhnā 	دیدن didan 	দেখা dêkha 	diäykh.el		dikhel 	дидан 	dîtin 	هارشی‌ین/بَدی‌ین harshiyen/badiyen 	ਵੇਖਣਾ 	دیکھنا dekhnā 	देख्नु 	vitene	
102	hear 	Sinnen!	+ <<<<	सुनना sunnā 	شنیدن šenidan 	শোনা shona 	sDn		ashunel 	шунидан 	bîstin 	بشناسِّن beshnassen 	ਸੁਣਨਾ 	سننا sunnā 	सुन्नु 	eşitene	
103	know 	sinnen, denken, jana : gnow	<<<<	जानना jānnā 	دانستن dânestan 	জানা jana 	zhavan		zhanel 	донистан 	zanîn 	دونستن dunesten 	ਜਾਣਨਾ 	جاننا jānnā 	जान्नु 	şınasnayene	
104	think 	^		सोचना sochnā 	اندیشیدن andishidan 	ভাবা bhaba 		~~	gindil 	андешидан 	hizir kirdin 	فکر هاکردن fekr hakerden 	ਸੋਚਣਾ 	سوچنا sochnā 	सोच्नु 	fikir kerdene	
105	smell 	^		सूंघना suunghna 	بوييدن buedan 	শোঁকা shonka 		~~	sungal 	бӯидан 	bon kirdin 	دَیِّن dayyen 	ਸੁੰਘਣਾ 	سونگھنا suunghna 	सुँघ्नु 	boe dayene	
106	fear 	Terror <> dare’n! Daign	🗸 <+	डरना ḍarnā 	ترسیدن tarsidan 	ভয় করা/ডরা bhôe kôra/dôra 	≠ dare		daral 	тарсидан 	tirsan 	بترسی‌ین batersiyen 	ਡਰਨਾ 	ڈرنا ḍarnā 	डराउनु 	terseyene	
107	sleep 	somna¡	🗸	सोना sonā 	خوابیدن khåbidan 	ঘুমা ghuma 		~	sovel 	хобидан 	xewtin 	بخاتن bakhaten 	ਸੌਣਾ 	سونا sonā 	सुत्नु,निदाउनु 	rakewtene	
108	live 	JINA™  甲审金示 生	<<<<	जीना jīnā 	زیستن zistan 	বাঁচা bãca 		<<<	zhuvel 	зистан 	jiyam ਜਿਊਣਾ 	جینا jīnā 	बाँच्नु 	cüwıyene			
109	die 		🗸	मरना marnā 	مردن mordan 	মরা môra 	mor[t]	🗸🗸	merel 	мурдан 	mirdin 	بمردن bamerden 	ਮਰਨਾ 	مرنا marnā 	मर्नु 	merdene	
