		NE:Caspian 	NOT PIE!	2.1 Indo-European 2.2 Semitic 2.3 Turkic 2.4 Mongolic			NW:Pontic    	some PIE	ɨ < r	South:Kartvelian=Iberian>Georgian  	
163	SNAKE	лаьхьа	læʜə	Lange	163	SNAKE	амаҭ	ɑmɑtʰ	a MUŠ 𒈳		
164	WORM	нӏаьна	nʡænə	nuun@	164	WORM	ахəа,ахəац	ɑχəɑ,ɑχəɑt͡sʰ	a xear		
165	SPIDER	гезг	ɡezɡ		165	SPIDER	абызкаҭаҳа	ɑbɨzkʼɑtʰɑħɑ			
166	ANT	зингат	zɪnɡət		166	ANT	ашышкамс	ɑʂɨʂkʼɑms			
167	LOUSE	меза	mezə		167	LOUSE	аҵа	ɑt͡sʼɑ	la.use		
167	LOUSE	гӏениг	ɣenɪɡ		168	MOSQUITO	акəыбры	ɑkʼəɨbrɨ			
168	MOSQUITO	чуьрк	t͡ʃyrk	;)	169	FLY (INSECT)	амҵ	ɑmt͡sʼ	<<		
169	FLY (INSECT)	моза	mozə	MOSQUITO	170	BUTTERFLY	аҧарҧалыкь	ɑpʰɑrpʰɑlɨkʼʲ	a papillion		
170	BUTTERFLY	полла	polːə	полла-fly	171	BERRY	аргуц	ɑrɡut͡sʰ	acorn <<<		
171	BERRY	цӏазам	t͡sʼəzəm		172	APPLE	аҵəа	ɑt͡sʼəɑ			
172	APPLE	ӏаж	ʡəʒ		173	MUSHROOM	акəкəбаа	ɑkʼəkʼəbɑː			
173	MUSHROOM	жӏаьлин нускал	ʒʡælɪn nu͡ʊskəl		174	ONION	аџьымшьы	ɑd͡ʒɨmʃɨ	a ŠÚM 𒋧		
174	ONION	xох	xox		174	ONION	аџьымшьхы	ɑd͡ʒɨmʃχɨ			
175	SEED	чlу	t͡ʃlu͡ʊ	tseed	175	SEED	ажəла	ɑʐəlɑ	a sarlt		
176	GRAIN (SINGLE)	буьртиг	byrtɪɡ	fruit	176	GRAIN (SINGLE)	арыц	ɑrɨt͡sʰ	ὄρυζα óruza   أَرُزّ‎ ʾaruzz		
177	HAY	йол	ɪ̆ol	heu.al	177	HAY	аҭəа	ɑtʰəɑ			
178	SKIN (OF FRUIT)	пардо	pərdo	peel <<	178	SKIN (OF FRUIT)	ацəа	ɑt͡sʰəɑ	a Scha.al		
179	PIT (POTHOLE)	ор	or		179	PIT (POTHOLE)	ажра, атыша	ɑʐrɑ, ɑtʼɨʂɑ			
180	TRAP (PITFALL)	кӏело	kʼelo	kuhle	180	TRAP (PITFALL)	арыҧҟьа	ɑrɨpʰqʼʲe			
182	TRACK (OF ANIMAL)	лар	lər		182	TRACK (OF ANIMAL)	ашьҭа	ɑʃtʰɑ	as track 		
183	ASH	чим	t͡ʃɪm		183	ASH	ахəа	ɑχəɑ	ashea		
184	FILTH	мода	modə		184	FILTH	аҳəынҵəа	ɑħəɨnt͡sʼəɑ			
185	IRON	эчиг	ēt͡ʃɪɡ	erz.иг	185	IRON	аиха	ɑiχɑ	ɑiχɑn Eisen		
186	GOLD	деши	deʃɪ	𒆬𒌓	186	GOLD	ахьы	ɑχʲi	Erz, a Kryo		
187	SILVER	дети	detɪ	𒆬𒌓	187	SILVER	аразны	ɑrɑznɨ	<< 𒆬𒌓 ruz		
188	CHARCOAL	кӏора	kʼorə	char > coal	188	CHARCOAL	арацəа	ɑrɑt͡sʰəɑ	charats		
189	GLASS	aнгали	anɡəlɪ		189	GLASS	асаркьа	ɑsɑrkʼʲe		<<	
