		NE:Caspian 	NOT PIE!	2.1 Indo-European 2.2 Semitic 2.3 Turkic 2.4 Mongolic			NW:Pontic    	some PIE	ɨ < r	South:Kartvelian=Iberian>Georgian  	
698	SMOKE (EMIT SMOKE)	оза	ōzə		662	TEN	жәаба	ʒʲʷøbɑ	2+8	+++	
699	RAIN (RAINING)	догlа догlу	doɡlə doɡlu͡ʊ		663	ELEVEN	жәеизатәи	ʒʲʷɛizɑt͡pʼi		+++	
700	FREEZE	гӏоро	ɣoro	kor	664	TWELVE	жәаҩа	ʒʲʷøɥɑ			
701	THAW	даша	dəʃə	dtauша	665	TWENTY	ҩажәа	ɥɑʒʲʷø	zwanzig		
702	MELT	лала	lələ		666	THIRTY	ҩажәижәабатәи	ɥɑʒʲʷiʒʲʷøbɑt͡pʼi			
703	DRY UP	дакъо	dəqʼo	droqno	667	FORTY	ҩынҩажәа	ɥɨnɥɑʒʲʷø			
704	BOIL (OF LIQUID)	кхехка	qexkə		668	FIFTY	ҩынҩажәеижәаба	ɥɨnɥɑʒʲʷɛiʒʲʷøbɑ		~~~	
705	SPOIL (BECOME SPOILED)	дахкадала	dəxkədələ		669	SIXTY	хынҩажәа	χɨnɥɑʒʲʷø			
706	DECAY	дахкадала	dəxkədələ	~~!!	670	SEVENTY	хынҩажәижәаба	χɨnɥɑʒʲʷiʒʲʷøbɑ			
707	SNAP (INTO BITS)	хеда	xedə		671	EIGHTY	ҕшьынҩажәа	ʁʃɨnɥɑʒʲʷø			
708	SINK (IN WATER)	хичудаха	xɪt͡ʃu͡ʊdəxə		672	NINETY	ҕшьынҩажәижәаба	ʁʃɨnɥɑʒʲʷiʒʲʷøbɑ			
709	PASS	дlаэха	dləexə		673	HUNDRED	шәкы	ʃʲʷkʼɨ	cenc, šenk		
710	APPEAR	схьадала	sʜədələ		674	THOUSAND	зқьы	zkʰʲi			
710	APPEAR	ӏоттадала	ʡotːədələ		675	AND	-и	i	y		
711	DISAPPEAR	къайладала	qʼəɪ̆lədə̄lə		676	OR	ма	mɑ	ma? or not?		
712	DROP (MOVEMENT)	лахдала	ləxdələ		677	STAND	агылазаара	ɑɡɨlɑzɑːrɑ	agila.zara		
714	INCREASE	лакхадала	ləqədələ		678	SIT	атəара	ɑtʼəɑrɑ	à terra --		
715	RISE (MOVEMENT)	хьаладала	ʜələdələ		678	SIT	атəа(заа)ра	ɑtʼəɑzɑːrɑ			
716	GROW	кхиа	qɪə	qɪəw grow	679	LIE (REST)	аиара	ɑiɑrɑ			
717	SHINE (OF METAL)	лепа	lēpə		680	HANG	акнаҳара	ɑkʼnɑħɑrɑ			
718	TWINKLE	къега	qʼēɡə		681	BECOME	аҟалара	ɑqʼɑlɑrɑ			
719	BE NOISY	гӏовгӏаян	ɣɔ͡ʊɣəjən		682	HAPPEN	аҟалара	ɑqʼɑlɑrɑ			
720	CHIME	детта	detːə		683	START	алагара	ɑlɑɡɑrɑ	à-la gare		
721	RING (SIGNAL)	дека	dekə		684	CEASE	алгара	ɑlɡɑrɑ			
722	TINKLE	дека	dekə		685	CHANGE (BECOME DIFFERENT)	аҽыҧсахра	ɑʈ͡ʂʰɨpʰsɑχrɑ			
723	ROAR (OF SEA)	хьаьдда даха	ʜædːə dəxə		686	RISE (MOVE UPWARDS)	агылара	ɑɡɨlɑrɑ			
724	RUSTLE (OF LEAVES)	леста	lestə		686	RISE (MOVE UPWARDS)	ахашлара	ɑχɑʂlɑrɑ			
725	SOUND (OF INSTRUMENT)	дека	dēkə		686	RISE (MOVE UPWARDS)	аҩаҵхахара	ɑɥɑt͡sʼχɑχɑrɑ			
726	BARKING	лета	lētə		687	SET (HEAVENLY BODIES)	аҭашəара	ɑtʰɑʂəɑrɑ			
727	HOWL	угӏа	u͡ʊɣə		688	SHINE	акаҧхара	ɑkʼɑpʰχɑrɑ			
728	BLOW (WITH MOUTH)	хӏуп баха	hu͡ʊp bəxə		689	THUNDER (VERB)	адыдра	ɑdɨdrɑ			
729	WHISTLE	шок етта	ʃok etːə		690	BLOW (OF WIND)	асра	ɑsrɑ			
730	SHOUT	мохь бетта	moʜ betːə		691	FLOW (OF RIVER)	акаҭəара	ɑkʼɑtʰəɑrɑ			
731	GROAN	узарш дан	u͡ʊzərʃ dən		692	FLOW	ацара	ɑt͡sʰɑrɑ			
732	TREMBLE	дега	dēɡə		693	REVOLVE	ахагьежьра	ɑχɑɡʲɛʒrɑ			
733	BE ALIVE	даха	dəxə		694	SWAY	аҵысра	ɑt͡sʼɨsrɑ			
734	BE BORN	хила	xɪlə		695	SWING (MOVEMENT)	ахызазара	ɑχɨzɑzɑrɑ			
735	BREATHE	садеӏа	sədēʡə		695	SWING (MOVEMENT)	акьаандара	ɑkʼʲeːndɑrɑ			
736	DRINK	мала	mələ		696	FALL	акаҳара	ɑkʼɑħɑrɑ	𓋴𓉔𓄿𓂻, 𓐍𓂋𓀒, 𓍯𓄿𓈐		
737	EAT	кхалла	qəlːə		697	BURNING	абылра	ɑbɨlrɑ			
738	SWALLOW	къурдбан	qʼu͡ʊrdbən		698	SMOKE (EMIT SMOKE)	ахылҵра	ɑχɨlt͡sʼrɑ			
739	GET TIRED	кӏаддала	kʼədːələ		699	RAIN (RAINING)	аура	ɑurɑ		!!! +++	
740	FALL ASLEEP	наб кхета	nəb qētə		700	FREEZE	аҵаара	ɑt͡sʼɑɑrɑ			
741	SLEEP	вижа	vɪʒə		701	THAW	аӡҭра	ɑd͡ztʰrɑ			
741	SLEEP	наб ян	nəb jən		702	MELT	ақəӡыҭра	ɑkʰəd͡zɨtʰrɑ			
741	SLEEP	дижина хила	dɪʒɪnə xɪlə		702	MELT	аҭəара	ɑtʰəɑrɑ			
742	WAKE UP	самадала	səmədələ		703	DRY UP	абара	ɑbɑrɑ	à Bare		
743	ARISE (FROM SLEEP)	гӏатта	ɣətːə		704	BOIL (OF LIQUID)	ашра	ɑʂrɑ	achre		
744	REST	садаӏа	sədəʡə	sit, sedate	705	SPOIL (BECOME SPOILED)	абаара	ɑbɑːrɑ			
745	BECOME SICK	цомгуш хила	t͡somɡu͡ʊʃ xɪlə		706	DECAY	абаара	ɑbɑːrɑ			
746	BE ILL	цомгуш хила	t͡somɡu͡ʊʃ xɪlə		706	DECAY	аилашра	ɑilɑʂrɑ			
747	ACHE	лаза	ləzə		707	SNAP (INTO BITS)	аҧжəара	ɑpʰʐəɑrɑ			
747	ACHE	ӏийжа	ʡɪɪ̆ʒə		708	SINK (IN WATER)	аӡааҟəрылара	ɑd͡zɑːqʼərɨlɑrɑ			
748	COUGH	йовхарш етта	ɪ̆ɔ͡ʊxərʃ etːə		709	PASS	ацара	ɑt͡sʰɑrɑ			
749	RECOVER	тадала	tədələ		710	APPEAR	ацəырҵра	ɑt͡sʰəɨrt͡sʼrɑ			
750	DIE	дала	dələ	die < teil < tuer	711	DISAPPEAR	аҵашəкəара	ɑt͡sʼɑʂəkʼəɑrɑ			
751	PERISH (OF HUMAN)	хӏаллакхила	həlːəqɪlə		712	DROP (MOVEMENT)	атəара	ɑtʼəɑrɑ			
752	MOVE (OF PERSON)	лела	lēlə		712	DROP (MOVEMENT)	алаҟəра	ɑlɑqʼərɑ			
753	BUDGE	меттахъхьен	metːəxʔʜen		713	DECREASE	ацӡаара	ɑt͡sʰd͡zɑːrɑ			
754	STAND UP	хьалагlатта	ʜələɡlətːə		713	DECREASE	аиҵалара	áit͡sʼɑlɑrɑ			
755	SIT DOWN	хаа	xəə		714	INCREASE	аҽырҭбаара	ɑʈ͡ʂʰɨrtʰbɑːrɑ			
756	TUMBLE	дожа	doʒə		714	INCREASE	аиҵыҵра	áit͡sʼɨt͡sʼrɑ			
756	TUMBLE	охьакхета	oʜəqetə		714	INCREASE	арацəахара	ɑrɑt͡sʰəɑχɑrɑ			
757	WALK	вада	vədə		715	RISE (MOVEMENT)	азҳара	ɑzħɑrɑ			
757	WALK	хьада	ʜədə		715	RISE (MOVEMENT)	ашьҭыҵра	ɑʃtʰɨt͡sʼrɑ			
758	STEP (VERB)	болар дан	bolər dən		715	RISE (MOVEMENT)	адухара	ɑduχɑrɑ			
758	STEP (VERB)	ког баккха	koɡ bəqːə		715	RISE (MOVEMENT)	ацлара	ɑt͡sʰlɑrɑ			
759	TAKE A WALK	доладала	dolədələ	dödeln	716	GROW	азҳара	ɑzħɑrɑ			
760	MOVE IN HASTE	сихдала	sɪxdələ		717	SHINE (OF METAL)	ацыр-цырра	ɑt͡sʰɨrt͡sʰɨrrɑ			
761	HURRY UP	сихдала	sɪxdələ		717	SHINE (OF METAL)	ацыҩ-цыҩра	ɑt͡sʰɨɥt͡sʰɨɥrɑ			
763	RUN	дада	dədə		717	SHINE (OF METAL)	аказказра	ɑkʼɑzkʼɑzrɑ			
764	JUMP	ирхкхийсадала	ɪrxqɪɪ̆sədələ		718	TWINKLE	ашап-шапра	ɑʂɑpʼʂɑpʼrɑ			
765	CLIMB	тӏедийла	tʼedɪɪ̆lə		718	TWINKLE	ацым-цымра	ɑt͡sʰɨmt͡sʰɨmrɑ			
766	SEESAW (ACTION)	техко	texko		719	BE NOISY	ашьҭыбжьгара	ɑʃtʰɨbʒɡɑrɑ			
767	CRAWL	такха	təqə		719	BE NOISY	аҕьҕьаҳәа аилалара	ɑʁʲʁʲeħʲʷø ɑilɑlɑrɑ			
768	SWIM	некадан	nekədən		720	CHIME	аҵəҵəасра	ɑt͡sʼət͡sʼəɑsrɑ			
769	DIVE	чулелха	t͡ʃu͡ʊlelxə		721	RING (SIGNAL)	аҵəҵəасра	ɑt͡sʼət͡sʼəɑsrɑ			
770	ROW	дига лело	dɪɡə lēlō		722	TINKLE	ахьархьарра	ɑχʲerχʲerrɑ			
770	ROW	кема лело	kēmə lēlō		722	TINKLE	архьархьарра	ɑrχʲerχʲerrɑ			
771	DRIVE	хахка	xəxkə		723	ROAR (OF SEA)	аилаҽҽара	áilɑʈʈ͡ʂʰɑrɑ			
772	FLY (MOVE THROUGH AIR)	тӏемадала	tʼemədələ		723	ROAR (OF SEA)	еилашуера	ɛilɑʂuɛrɑ			
773	GO	лeла	lelə		725	SOUND (OF INSTRUMENT)	агара	ɑɡɑrɑ			
774	LEAVE	дӏадаха	dʡədəxə		725	SOUND (OF INSTRUMENT)	ашьҭыбжь гара	ɑʃtʰɨbʒ ɡɑrɑ			
775	DEPART	дӏадаха	dʡədəxə		726	BARKING	ашра	ɑʂrɑ			
776	STOP (OF MOVEMENT)	саца	sət͡sə		727	HOWL	ауура	ɑuurɑ			
777	GO INSIDE	чудала	t͡ʃu͡ʊdələ		728	BLOW (WITH MOUTH)	аҭəҳəара	ɑtʰəħəɑrɑ			
778	ENTER	чудала	t͡ʃu͡ʊdə̄lə		729	WHISTLE	ашəшəра	ɑʂəʂərɑ			
779	COME	кхача	qət͡ʃə		730	SHOUT	аҳəҳəара	ɑħəħəɑrɑ			
779	COME	дӏакхача	dʡəqət͡ʃə		730	SHOUT	ахəаара	ɑχəɑːrɑ			
779	COME	схьакхача	sʜəqət͡ʃə		730	SHOUT	аҟаара	ɑqʼɑːrɑ			
780	ARRIVE	кхача	qət͡ʃə		731	GROAN	ақьра	ɑkʰʲrɑ			
780	ARRIVE	схьакхача	sʜəqət͡ʃə		732	TREMBLE	аҵыс-ҵысра	ɑt͡sʼɨst͡sʼɨsrɑ			
781	COME BACK	юхада	juxədə̄		733	BE ALIVE	аҟазаара	ɑqʼɑzɑːrɑ			
782	REMAIN	диса	dɪsə		734	BE BORN	Аира	ɑirɑ			
783	WAIT (FOR)	хьежа	ʜēʒə		735	BREATHE	аҕсыҕ лагаҩагара	ɑʁsɨʁ lɑɡɑɥɑɡɑrɑ			
783	WAIT (FOR)	cобар дан	cobər dən		736	DRINK	ажəра	ɑʐərɑ			
784	AWAIT	хьоьжуш ӏан	ʜø̄ʒu͡ʊʃ ʡən		737	EAT	акрыфара	ɑkʼrɨfɑrɑ			
785	LOOK FOR	леха	lēxə		738	SWALLOW	албаадара	ɑlbɑːdɑrɑ			
786	FIND	каро	kəro		739	GET TIRED	ааҕсара	ɑːʁsɑrɑ			
787	TRY	дан хьажа	dən ʜəʒə		740	FALL ASLEEP	ацəара	ɑt͡sʰəɑrɑ			
788	PREPARE	кечъян	ket͡ʃʔjən		741	SLEEP	ацəазаара	ɑt͡sʰəɑzɑːrɑ			
789	LOVE	деза	dēzə		742	WAKE UP	аҿыхара	ɑʈʈ͡ʂʼɨχɑrɑ			
790	LIKE	безамхила	bezəmxɪlə		743	ARISE (FROM SLEEP)	Агəылҵра	ɑɡəɨlt͡sʼrɑ			
791	LAUGH	дела	delə		744	REST	аҧсшьара	ɑpʰsʃɑrɑ			
792	MOVE EMOTIONALLY	хьедан	ʜedən		745	BECOME SICK	ачмазаҩхара	ɑt͡ʃʰmɑzɑɥχɑrɑ			
793	CRY	делха	delxə		746	BE ILL	аҳəарҧсарра	ɑħəɑrpʰsɑrrɑ			
794	GRUMBLE	чехо	t͡ʃexo		747	ACHE	ахьра	ɑχʲrɑ			
795	BE ANNOYED	оьгӏазъэха	øɣəzʔexə		748	COUGH	аимҳәара	ɑimħʲʷørɑ			
796	BE AFRAID	кхера	qērə		749	RECOVER	абзиахара	ɑbziɑχɑrɑ			
797	FEAR (BE AFRAID)	кхера	qērə		749	RECOVER	аӷəӷəахара	ɑʁəʁəɑχɑrɑ			
798	FLEE	дӏадада	dʡədədə		750	DIE	аҧсра	ɑpʰsrɑ			
799	ESCAPE	дӏадада	dʡədədə		751	PERISH (OF HUMAN)	аҭахара	ɑtʰɑχɑrɑ			
800	SEE	ган	ɡən	sehn	752	MOVE (OF PERSON)	аиҭаҵра	áitʰɑt͡sʼrɑ			
801	LOOK	хьажа	ʜəʒə		753	BUDGE	ақəацара	ɑkʰəɑt͡sʰɑrɑ			
801	LOOK	хьежа	ʜeʒə		754	STAND UP	аҩагылара	ɑɥɑɡɨlɑrɑ			
802	WATCH	хьовса	ʜɔ͡ʊsə		755	SIT DOWN	атəара	ɑtʼəɑrɑ			
803	HEAR	хаза	xəzə		756	TUMBLE	акаҳара	ɑkʼɑħɑrɑ			
804	LISTEN	ладогӏа	lədoɣə		757	WALK	аныҟəара	ɑnɨqʼəɑrɑ			
805	TASTE (SOMETHING)	хьажа	ʜəʒə		758	STEP (VERB)	ашьаҿа еихгара	ɑʃɑʈʈ͡ʂʼɑ ɛiχɡɑrɑ			
806	SMELL (PERCEIVE)	хьожа яха	ʜoʒə jə̄xə		759	TAKE A WALK	анеи-ааира	ɑnɛiɑɑirɑ			
807	FEEL (TACTUALLY)	хаадала	xəədələ		760	MOVE IN HASTE	аццакра	ɑt͡sʰt͡sʰɑkʼrɑ			
808	SEEM	мотта	motːə		761	HURRY UP	аццакра	ɑt͡sʰt͡sʰɑkʼrɑ			
809	VISIBLE	гуш хила	ɡu͡ʊʃ xɪlə		762	DASH (OF VEHICLE)	аҧырра	ɑpʰɨrrɑ			
810	HEAR (INFORMATION)	бартхатта	bərtxətːə		762	DASH (OF VEHICLE)	иҭрысны	itʰrɨsnɨ			
811	SHIVER	гӏоро	ɣoro		762	DASH (OF VEHICLE)	ишьҭҟьаны ацара	iʃtʰqʼʲenɨ ɑt͡sʰɑrɑ			
812	DO	дан	dən		763	RUN	аҩра	ɑɥrɑ	ire		
813	BE ABLE	дадала	dədələ		764	JUMP	аҧара	ɑpʰɑrɑ			
814	WANT	тӏергӏа	tʼerɣə		765	CLIMB	ақəлара	ɑkʰəlɑrɑ	a climra		
815	BEGIN	доло	dōlo		766	SEESAW (ACTION)	аҟəараҟəанҽара	ɑqʼəɑrɑqʼəɑnʈ͡ʂʰɑrɑ			
816	FINISH	довла	dɔ͡ʊlə		767	CRAWL	аҳəазара	ɑħəɑzɑrɑ			
817	STOP (OF ACTIVITY)	саца	sət͡sə		768	SWIM	аӡсара	ɑd͡zsɑrɑ			
818	SUCCEED	кадала	kədələ		769	DIVE	ахəӡааҵəира	ɑχəd͡zɑɑt͡sʼəirɑ			
819	RESULT IN	хила	xɪlə		770	ROW	аҵшьра	ɑt͡sʼʃrɑ			
820	OPEN	дӏаделла	dʡədelːə		771	DRIVE	акала	ɑkʼɑlɑ			
820	OPEN	схьаделла	sʜədelːə		772	FLY (MOVE THROUGH AIR)	аҧырра	ɑpʰɨrrɑ			
821	SHUT	къовла	qʼɔ͡ʊlə		773	GO	аиҭаҵра	áitʰɑt͡sʼrɑ			
821	SHUT	дӏачӏагӏа	dʡət͡ʃʼə̄ɣə		774	LEAVE	ацара	ɑt͡sʰɑrɑ			
822	PUT	хlотто	xlotːo		775	DEPART	адəықəлара	ɑdəɨkʰəlɑrɑ			
823	CAUSE TO SIT	дийгӏа	diːɣə		775	DEPART	ацара	ɑt͡sʰɑrɑ			
824	LAY (VERB)	охьадилла	oʜədɪlːə		776	STOP (OF MOVEMENT)	ааныргылара	ɑːnɨrɡɨlɑrɑ			
825	TOUCH	хьедан	ʜedən		777	GO INSIDE	аҭалара	ɑtʰɑlɑrɑ			
826	CONNECT	вовшахтаса	vɔ͡ʊʃəxtəsə		778	ENTER	аҩналара	ɑɥnɑlɑrɑ			
827	COVER	тилла	tɪlːə		779	COME	аара	ɑːrɑ			
827	COVER	тӏетаса	tʼetəsə		779	COME	ааира	ɑːirɑ			
828	HANG UP	хьалаолла	ʜələolːə		780	ARRIVE	ааира	ɑːirɑ			
829	LIGHT (IGNITE)	лато	lətō		780	ARRIVE	аара	ɑːrɑ			
830	PICK UP	айа	əɪ̆ə		780	ARRIVE	анеира	ɑnɛirɑ			
831	LEAVE (SOMETHING)	дита	dɪtə		781	COME BACK	азыхынҳəра	ɑzɨχɨnħərɑ			
832	LOSE (SOMETHING)	дайа	dəjə		782	REMAIN	аанхара	ɑːnχɑrɑ			
833	DROP (SOMETHING)	охьадожо	oʜədoʒo		782	REMAIN	анхара	ɑnχɑrɑ			
834	MAKE	дан	dən		782	REMAIN	аангылара	ɑːnɡɨlɑrɑ			
835	PRODUCE	дан	dən		783	WAIT (FOR)	азҧшзаара	ɑzpʰʂzɑːrɑ			
836	BUILD	гӏишлоян	ɣɪʃlojən		784	AWAIT	азҧшра	ɑzpʰʂrɑ			
837	REPAIR	тадан	tədən		785	LOOK FOR	ашьҭазаара	ɑʃtʰɑzɑːrɑ			
838	IMPROVE (SOMETHING)	нисдан	nɪsdən		786	FIND	аҧшаара	ɑpʰʂɑːrɑ			
839	CHANGE	хийца	xiːt͡sə		787	TRY	аҽазкра	ɑʈ͡ʂʰɑzkʼrɑ			
840	DIG	ахка	əxkə		788	PREPARE	армазеира	ɑrmɑzɛirɑ			
841	BEND	сатто	sətːo		789	LOVE	абзиабара	ɑbziɑbɑrɑ			
842	BEND (SOMETHING)	сатто	sətːo		790	LIKE	агəаҧхара	ɑɡəɑpʰχɑrɑ			
843	TURN (SOMETHING)	хьовзо	ʜɔ͡ʊzo		791	LAUGH	аччара	ɑt͡ʃʰt͡ʃʰɑrɑ			
845	TURN AROUND (SOMETHING)	хьовзo	ʜɔ͡ʊzo		792	MOVE EMOTIONALLY	арҵəуара	ɑrt͡sʼəuɑrɑ			
846	RAISE	айа	əɪ̆ə		793	CRY	аҵəуара	ɑt͡sʼəuɑrɑ			
846	RAISE	хьалаайа	ʜələəɪ̆ə		794	GRUMBLE	ацəҳара	ɑt͡sʰəħɑrɑ			
847	LIFT	хьалаайа	ʜələəɪ̆ə		795	BE ANNOYED	агəаара	ɑɡəɑɑrɑ			
848	GRASP	дӏалаца	dʡələt͡sə		796	BE AFRAID	аӡыӡара	ɑd͡zɨd͡zɑrɑ			
849	HOLD	латто	lətːō		797	FEAR (BE AFRAID)	ацəшəара	ɑt͡sʰəʂəɑrɑ			
850	PRESS	тӏетаӏо	tʼetəʡo		798	FLEE	абналара	ábnɑlɑrɑ			
851	PUSH	татта	tətːə		798	FLEE	ацəцара	ɑt͡sʰət͡sʰɑrɑ			
852	SCRAPE	мӏараш тийса	mʡərəʃ tɪɪ̆sə		799	ESCAPE	абналара	ábnɑlɑrɑ			
853	LICK	мотт хьекха	motː ʜēqə		799	ESCAPE	ацəцара	ɑt͡sʰət͡sʰɑrɑ			
854	BITE	катoха	kətoxə		800	SEE	абара	ɑbɑrɑ	a voire <> s'pectre		
855	TEAR (SHRED)	схьадаккха	sʜədəqːə		801	LOOK	ахəаҧшра	ɑχəɑpʰʂrɑ			
856	CUT OFF	кхада	qədə		802	WATCH	ахəаҧшра	ɑχəɑpʰʂrɑ			
857	TIE	дӏадехка	dʡədexkə		803	HEAR	аҳара	ɑħɑrɑ	a hear		
857	TIE	вовшахтаса	vɔ͡ʊʃəxtəsə		804	LISTEN	азыӡырҩра	ɑzɨd͡zɨrɥrɑ			
858	STICK (SOMETHING)	чудахийта	t͡ʃu͡ʊdə̄xɪɪ̆tə		805	TASTE (SOMETHING)	аҧышəара	ɑpʰɨʂəɑrɑ			
859	BREAK (DESTROY OR GET DESTROYED)	кагдан	kəɡdən		806	SMELL (PERCEIVE)	афыҩра	ɑfɨɥrɑ		+	
860	KNOCK	детта	detːə		807	FEEL (TACTUALLY)	анырра	ɑnɨrrɑ			
861	HIT	етта	etːə		807	FEEL (TACTUALLY)	ацәакырра	ɑt͡ɕʷʰokʼɨrrɑ			
862	GLUE (SOMETHING)	тӏелато	tʼeləto		808	SEEM	шәа	ʃʲʷø			
863	RUB	хьекхо	ʜeqo		808	SEEM	аацәырҵа	ɑːt͡ɕʷʰurt͡sʼɑ			
864	SPREAD (SOMETHING)	тlехьакха	tleʜəqə		810	HEAR (INFORMATION)	аҳара	ɑħɑrɑ			
865	SHARPEN (SOMETHING)	ирдан	ɪrdən		811	SHIVER	ашəра	ɑʂərɑ			
866	CUT	ларга	lərɡə		811	SHIVER	аҵаара	ɑt͡sʼɑɑrɑ			
867	JOG	лесто	lesto		812	DO	аҟаҵара	ɑqʼɑt͡sʼɑrɑ			
868	SHAKE	лесто	lesto		813	BE ABLE	алшара	ɑlʂɑrɑ			
869	SWING (SOMETHING)	лесто	lestō		814	WANT	аҭахра	ɑtʰɑχrɑ			
870	POUR	дотта	dotːə		815	BEGIN	алагара	ɑlɑɡɑrɑ			
871	FILL	дуза	du͡ʊzə		816	FINISH	алгара	ɑlɡɑrɑ			
872	WRAP	хьарчо	ʜərt͡ʃo		817	STOP (OF ACTIVITY)	аҟəыҵра	ɑqʼəɨt͡sʼrɑ			
873	CARRY	дахьа	dəʜə		818	SUCCEED	аура	ɑurɑ			
874	DRAG	ийзо	iːzo		818	SUCCEED	аманшəалахара	ɑmɑnʂəɑlɑχɑrɑ			
875	PULL	озо	ozo		818	SUCCEED	алҵра	ɑlt͡sʼrɑ			
876	KEEP	ӏалашдан	ʡələʃdən		819	RESULT IN	нзаарын	nzɑːrɨn			
877	THROW	кхосса	qosːə		820	OPEN	аартра	ɑːrtʼrɑ			
878	CATCH	леца	lēt͡sə		821	SHUT	аркра	ɑrkʼrɑ			
879	GRAB (SOMETHING)	леца	lēt͡sə		822	PUT	аргылара	ɑrɡɨlɑrɑ			
880	HIDE (CONCEAL)	къайладаккха	qʼəɪ̆lədəqːə		823	CAUSE TO SIT	артəара	ɑrtʼəɑrɑ			
881	DIVIDE	декъа	deqʼə		824	LAY (VERB)	ақəҵара	ɑkʰət͡sʼɑrɑ			
882	SEND	дӏадахьийта	dʡədəʜiːtə		825	TOUCH	акьысра	ɑkʼʲisrɑ			
883	BRING	дан	dən	don	825	TOUCH	алакьысра	ɑlɑkʼʲisrɑ			
884	ADD	тӏетоха	tʼetōxə	√total	826	CONNECT	аҿаҳəара	ɑʈʈ͡ʂʼɑħəɑrɑ			
885	GET	даккха	dəqːə	take	827	COVER	ақəршəра	ɑkʰərʂərɑ			
886	RECEIVE	даккха	dəqːə	take	828	HANG UP	акнаҳара	ɑkʼnɑħɑrɑ			
887	TAKE	схьаэца	sʜəet͡sə		829	LIGHT (IGNITE)	аркра	ɑrkʼrɑ			
888	CHOOSE	харжа	xərʒə	cherche	830	PICK UP	ашьҭыхра	ɑʃtʰɨχrɑ			
889	SELECT	харжа	xərʒə	cherche	831	LEAVE (SOMETHING)	аныжьра	ɑnɨʒrɑ			
890	PRESERVE	lалашдан	lələʃdən		832	LOSE (SOMETHING)	ацəыӡра	ɑt͡sʰəɨd͡zrɑ			
891	HINDER	новкъарло ян	nɔ͡ʊqʼərlo jən		833	DROP (SOMETHING)	ацəкаҳара	ɑt͡sʰəkʼɑħɑrɑ			
892	SPOIL (SOMEBODY OR SOMETHING)	талхо	təlxo		834	MAKE	ачаҧара	ɑt͡ʃʰɑpʰɑrɑ			
893	DAMAGE	дохо	doxo	dox ;)	835	PRODUCE	аиҵдара	áit͡sʼdɑrɑ			
894	BREAK (CLEAVE)	дохо	doxo		836	BUILD	аргылара	ɑrɡɨlɑrɑ			
894	BREAK (CLEAVE)	кагдан	kəɡdən		837	REPAIR	арҽеира	ɑrʈ͡ʂʰɛirɑ			
895	SHRED	хадо	xədo		838	IMPROVE (SOMETHING)	аиҕьтəра	áiʁʲtʼərɑ			
896	DESTROY	дохо	doxo	~	839	CHANGE	аҧсахра	ɑpʰsɑχrɑ			
896	DESTROY	кагдан	kəɡdən		840	DIG	ажра	ɑʐrɑ			
897	BURN (SOMETHING)	даго	dəɡo		841	BEND	арҟəра	ɑrqʼərɑ			
898	GIVE	яла	jələ		841	BEND	архəара	ɑrχəɑrɑ			
899	PASS (SOMETHING)	дӏадала	dʡədələ		842	BEND (SOMETHING)	арҟəра	ɑrqʼərɑ			
899	PASS (SOMETHING)	дӏакховдо	dʡəqɔ͡ʊdo		842	BEND (SOMETHING)	архəара	ɑrχəɑrɑ			
900	DONATE	совгӏат дан	sɔ͡ʊɣət dən		843	TURN (SOMETHING)	аргьежьра	ɑrɡʲɛʒrɑ			
901	PROMISE	ваӏда дан	vəʡdə dən		845	TURN AROUND (SOMETHING)	аарҳәра	ɑːrħʲʷrɑ			
902	WISH (SOMEONE SOMETHING)	лаа	ləə		846	RAISE	аҩахара	ɑɥɑχɑrɑ			
903	PRAISE	хасто	xəsto		846	RAISE	араҳара	ɑrɑħɑrɑ			
904	KISS	оба яккха	obə jəqːə	lip jux	847	LIFT	ахагалара	ɑχɑɡɑlɑrɑ			
905	ROCK (A CHILD)	тахка	təxkə		847	LIFT	ашьҭҳəара	ɑʃtʰħəɑrɑ			
906	COVER (A CHILD)	тӏетаса	tʼetəsə		849	HOLD	акра	ɑkʼrɑ			
907	WAKE	самадаккха	səmədəqːə		850	PRESS	ақəрӷəӷəара	ɑkʰərʁəʁəɑrɑ			
908	SHOW	гайта	ɡəɪ̆tə		851	PUSH	аҵгəара	ɑt͡sʼɡəɑrɑ			
909	GUIDE (TO DESTINATION)	дига	dɪɡə		851	PUSH	агəара	áɡəɑrɑ			
910	TEACH	ӏамо	ʡəmo	llamo	852	SCRAPE	ацəҟьара	ɑt͡sʰəqʼʲerɑ			
911	INSTRUCT	хьеха	ʜexə	hexer < teacher	853	LICK	арбзара	ɑrbzɑrɑ			
912	RAISE (A CHILD)	кхио	qɪō		854	BITE	ацҳара	ɑt͡sʰħɑrɑ			
913	LEAD (GUIDE)	урхалла дан	u͡ʊrxəlːə dən		855	TEAR (SHRED)	амжəара	ɑmʐəɑrɑ			
914	URGE (SOMEONE)	сихдан	sɪxdən		856	CUT OFF	ахҵəара	ɑχt͡sʼəɑrɑ			
915	CAUSE SOMEONE TO	-йта	-ɪ̆tə		856	CUT OFF	аҿахҵəара	ɑʈʈ͡ʂʼɑχt͡sʼəɑrɑ			
916	INVITE	кхайкха	qəɪ̆qə	gueste	857	TIE	аҿаҳəара	ɑʈʈ͡ʂʼɑħəɑrɑ			
