No. 	English 	Thai ภาษาไทย 	Romanized Thai 	PIE	Lao 	Romanized Lao 	Shan 	Romanized Shan 	Southern Kam 	Gelao 	Buyang (E'ma/Langnian/Yerong) 	Zhuang (IPA) 	Ong Be 	Hlai 	White Hmong			
103 	to know 	รู้ 	rúu 	𓂋𓐍 reckon	ຮູ້ 	hûː 	ႁူႉ 	hu5 	wo31 	sɯ31 		roː1 			paub			
104 	to think 	คิด 	khít, ?àan 		ຄຶດ 	kʰɨ̄t 	ဝူၼ်ႉ, ထိူမ် 	won5, tʰɤm1 	mje33 		nɯ312 	nɐm3, mɐi6 			xav			
105 	to smell 	ดม 	dom 	<> सूंघना sūṅghnā sense	ດົມ 	dòm 	ၼူမ် 	nom1 			hom24 	sup7 			tsw			
106 	to fear 	กลัว 	klua 	<> klamm,lau ?	ຢ້ານ 	jaːn 	ၵူဝ် 	ko1 	jau13 	pu33 lɯ31 	i11 vau24 	laːu1 			ntshai			
107 	to sleep 	นอน 	nɔɔn 	@noon / snake	ນອນ 	nɔ́ːn 	ၼွၼ်း 	nɔn4 	nun212, naak35 	ngu35 	u11 	nin2 			tsaug zog			
108 	to live 	อยู่, อาศัย 	yùu, ?aasǎi 	<<	ຢູ່ 	yūː 	ယူႇ 	ju2 	nyau33 		(qa0) ʔdip54 	liː4 			nyob			
109 	to die 	ตาย 	taay 	die 	ຕາຍ 	tàːy 	တၢႆ 	taaj1 	taai55 	plan31 	la:m312 	taːi1 			tuag			
110 	to kill 	ฆ่า 	khâa 	khaall	ຂ້າ 	kʰȁː 	ၶႃႈ 	kʰaa3 	sa13 (Chinese) 	zen31 	ma0 tɛ54 	kaː3 			tua			
111 	to fight 	สู้ 	sûu 		ສູ້ 	suː 	တိုၵ်း 	tɯk4 				ʔdoːi5 			sib-ntaus			
112 	to hunt 	ล่า 	lâa 	llagt	ລ່າ 	lāː 	ၸွမ်းတူဝ်ထိူၼ်ႇ 	tsɔm4 to1 tʰɤn2 				tɯk7 ɲan1 			plob hav zoov			
113 	to hit 	ตี 	tii 	hitii <> (an)tu	ຕີ 	tìː 	မႅၼ်ႈ 	mɛn3 	heu35, 'ui53 	'lɯ35 	tup11 	tup8 		thaai2 	ntaus			
114 	to cut 	ตัด 	tàt 	cut > tat part, haun	ຕັດ 	tát 	တႅပ်း, ၽၼ်း 	tɛp4, pʰan4 	taat55, paam323 	tɛ55, tshɛ35 		tɐt7, ro:n5 			txiav			
115 	to split 	ผ่า 	phàa 	part	ຜ່າ 	pʰaː 	တႅၵ်ႇ, ၸၵ်း 	tɛk2, tsak4 	nye53, xek13 	fei31 	pha:k11 	paː5, pɐn1 			phua			
116 	to stab 	แทง, เสียบ 	thaeaeŋ, sìap 	siap ~ stab	ແທງ, ສຽບ 	tʰɛ́ːŋ, sȉap 	တႅင်း 	tɛŋ4 			ʔbɔŋ11 	ɕok8, pɐŋ5 			nkaug, nplhos			
117 	to scratch 	เกา 	kao 	@krall / 口	ເກົາ 	kàu 	ၶၢၼ်ႇ, ယၢႆး 	kʰaan2, jaaj4 				kweːt7, kɐu1 			khawb			
118 	to dig 	ขุด 	khùt 		ຂຸດ 	kʰút 	ၶုတ်း 	kʰut4 	te53, laau55, 'on55 		ʔba:k11 	ʔbɯt7 		hjut7, tshou1 	khawb			
119 	to swim 	ว่าย 	wâay 	swai.men	ລອຍ 	lɔ́ːy 	လုၺ်း, ဝၢႆႈ 	luj4, waaj3 			a:p11 	ʔaːp7 			ua luam (dej)			
120 	to fly 	บิน 	bin 	^^ bi=wing/bird	ບິນ 	bìn 	မိၼ် 	min1 	pən323 	paɯ31 paɯ35 	ta0 ʔbin31 	ʔbin1 			ya			
121 	to walk 	เดิน 	dəən 	@SUMER pace	ຍ່າງ 	ɲaːŋ 	ပႆ 	paj1 	zham13 	bi31 	la0 vi312 	plaːi3 		fei1 	taug kev			
122 	to come 	มา 	maa 	komma	ມາ 	máː 	မႃး 	maa4 	ma35, taang55 	do31 	ma54 	maː1, tɐu3 			tuaj			
