No 	English 	Turkish 	Eurasian	Kyrgyz (Cyrillic) 	Mongolian (Cyrillic) 	Oroqen (IPA) 	Manchu (MT) 	Korean (RRK) 	Japanese (Hepburn romanization)
122	to come 	gelmek 	kel,ko’ +	кел- 	ирэх 	əmə- 	ji- 	o- 	ko-, ku-
123	to lie 	yatmak 	shut	жат- 	хэвтэх 	ulə:- 	dedu- 	nup-/nuw- 	ne- yokotawar-
124	to sit 	oturmak 	<<>> 	отур- 	суух 	tə: 	te- 	anj- 	suwar-
125	to stand 	durmak 	Dura, turm!! ++	тур- 	зогсох 	ɪlɪ- 	ili- 	seo- 	tat-
126	to turn 	dönmek 	turn.make  бур+dön QED	бур-, бурул- 	эргэх 	ukukin- 	forgošo- 	dol- 	mawar-
127	to fall 	düşmek 	dussel, kill <<	кула-, түш-, жыгыл- 	унах 	tik- 	tuhe- 	tteoleoji- 	ochi-
128	to give 	vermek 	fair, dar, poner	бер- 	өгөх 	bu:- 	bu- 	ju- 	okur- yar- kure- age- kudasar- tamaw- atae-
129	to hold 	tutmak 	grab++	карма- 	барих 	dʒɔ:tʃa- 	jafa- 	jab- deul- gaji- 	mot-
130	to squeeze 	ezmek 	sq.ez	сык- 	шахах 	ʃir- 	hafita- 	jja- 	shibor- shime- mom-
131	to rub 	ovmak 	oýka<>eyes qed	ышкы-, укала- 	үрэх 	iki- 	monji-, monjira- 	munjireu-/munjill- 	sur- kosur- nasur- mom-
132	to wash 	yıkamak 	jew!  ýuwmak 	жуу- 	угаах 	ʃɪlkɪ- 	obo- 	ppal- ssis- 	araw-
133	to wipe 	silmek 	wish+  awʊ- fu	аарчы-, сүрт- 	арчих 	awʊ- 	fu- (loanword from Chinese?) mabula- 	dakk- humchi- 	fuk- nuguw-
134	to pull 	çekmek 	Track, Tata <> tau?	тарт-, чой- 	татах 	ta:n- 	tata- 	kkeul- 	hik-
135	to push 	itmek 	treat? An	түрт- 	түлхэх, чихэх 	ana- 	ana- 	mil- 	os-
136	to throw 	atmak 		ыргыт-, ташта- 	хаях, шидэх 	garʊnda:- 	makta- waliyabu- 	deonji- 	nage-
137	to tie 	bağlamak 	<< burgle … ?	байла- 	уях, баглах 	u:yi-, ərkə- 	huthu- hūwaita- 	mae- 	musub-
138	to sew 	dikmek 	Tack! Stick ++	тик- 	оёх, хадах 	uli:- 	ufi- 	gip-/giw- 	nuw-
139	to count 	saymak 	say~ zähl ~count ~сана total !!	сана- 	тоолох 	taŋ- 	tolo- 	se- 	kazoe-
140	to say 	söylemek 	say~söy~sell!	айт-, де- 	хэлэх, өгүүлэх 	un-, gun- 	hendu- gisure- se- 	mal-ha- ha- 	iw- mōs- (polite) mōshiage- (humble) osshar- (colloquial honorific) notamaw- (colloquial sarcastic honorific or literary honorific)
141	to sing 	şarkı söylemek 	Ucule-le ;)	ырда- 	дуулах 	dʒa:nda- 	ucule- 	norae-ha- 	utaw-
142	to play 	oynamak 	𓏠! n-m-k / g-m-n	ойно- 	наадах, тоглох 	əwi- 	efi- 	nol- 	asob-
143	to float 	yüzmek 	fließ	калкы- 	хөвөх 	kəpə:n- 	dekde- 	tteu- 	uk-
144	to flow 	akmak 	aqua++	ак- 	урсах 	əyə:- 	eye- 	heureu-/heull- 	nagare-
145	to freeze 	donmak 	≠tauen	тоң- 	хөлдөх 	dɔŋɔtɔ- 	gece- juhe jafa- 	eol- 	koor- ite- kogoe-
146	to swell 	şişmek 	шиши swell!!	шиши- 	хөөх, хавдах 	awul 	aibi- dukdure- 	but-/bu- bupul- 	fukuram- fukure- hare-
147	SUN!!!	güneş 	Gün šun ʃiwun SUN / HEL 	күн  sun!   𐬓𐬇𐬧𐬔‎ xᵛə̄ṇg	Нар  1. HEL 2. NAPO	dɪlatʃa, ʃiwun 	šun 	hae 	hi
148	moON	ay 	lun al.ай moon ma.ай biga:god!?	ай 	сар 	bɛga 	biya 	dal 	tsuki
149	star 	yıldız 	<> gild!	жылдыз 	од 	ɔʃɪkta 	usiha 	byeol 	hoshi
150	water 	su 	mwuca wasser	суу 	ус 	mu: 	muke 	mul 	mizu
151	rain 	yağmur 	yaqua pour бороо 	жамгыр, жаан 	бороо 	tigdə 	aga 	bi 	ame
