 No. 	English 	Basque euskara =  Aquitanian	PIE anknüpfbar?		EG anknüpfbar?	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	Caucasus anknüpfbar?	Uralic anknüpfbar?	Dravidian anknüpfbar? NO	DRAVIDIAN connection? NO	Aryan	
50	worm 	har	✓️✓️	Ver <> zorri  𓎛~𓏲	𓎡 𓄿 𓂓 𓏤 𓆙 kar > har	𓆑 𓈖 𓍿 𓆙 2. 𓎡 𓄿 𓂓 𓏤 𓆙 3. 𓆓 𓂧 𓆑 𓏏 𓆙			പുഴു (/puɻu/) / വിര (/ʋiɾa/)	പുഴു (/puɻu/) / വിര (/ʋiɾa/)	Pwurm VER புழு (puzhu) <> pytho?	
51	tree 	zuhaitz	? 	cedar? zu.heizen??	 𓆱 𓏏 𓏤 ?	1. 𓍲 𓈖 𓆭, 2. 𓏙 𓈎 3. 𓂧 𓈎 𓂋 𓂷 𓈒 𓏥, 4. 𓅡 𓈎 𓆭 5. 𓆭 𓅓 𓆭 6. 𓆱 𓏏 𓏤 7. 𓈎 𓃀 𓆭			~~	చెట్టు (ceṭṭu) மரம் (maram) 	cedar 𒄑  木 mùr	
52	forest 	oihan / baso	✓️✓️	a’Hain boreso bush		𓏠 𓏌 𓏌 𓏌 𓆭 𓆭 𓆭, 𓏠 𓏌 𓏌 𓏌 𓆮				காடு (kāṭu)	cedar 𒄑	
53	stick 	makila	✓️✓️	mace 木 mù	𓅓 𓂝 𓄿 𓌚   ( 𓈎 𓌚 𓏜 kill ?) ++	𓆱 𓏏 𓏤, 2. 𓂝 𓅓 𓂝 𓄿 𓌚				కట్టె (kaṭṭe) కర్ర (karra)	cedar 𒄑 cut	
54	fruit 	fruitu / zitu / igali	✓️✓️	Fruit / seed / guo ხილი !	…  𓂺?	𓉐 𓂋 𓏏 𓏯 𓌾 𓏥, 𓉐 𓂋 𓏏 𓂺 𓈓, 𓉐 𓂋 𓏏 𓍁 𓈓, 𓍁 𓂋 𓏏 , 2. 𓂋 𓂋  3. 𓏙 𓈎 4. 𓂧 𓄿 𓃀 𓆳 5. 𓇭 𓈒 𓏥			✓️✓️	പഴം (/paɻam/)  ఫలము (phalamu) 	Phrui Pflaume 👁	
55	seed 	ale / hazi	✓️✓️?	Ähre 𓂋 !!  / hazel ha.seed?	𓂸 𓏏 𓏲 hatzi ?	𓄝 𓏏 𓇋 𓇋 𓏏 𓂺 𓏥,  𓂸 𓏏 𓏲 𓏏 𓂺 𓏥, 𓅓 𓏏 𓂺 𓅱 𓏏			Ale < അരി (/aɾi/)  𓂋 !!	കുരു (/kuɾu/) / അരി (/aɾi/) 	vita corn 𓂋	
56	leaf 	hosto / orri	? 	@Ast?	𓇥 𓂋 𓄔 'orri   𓂝 𓂋 𓇋 𓇋 𓏏 𓆱 hosto ( 𓂋 latin os)	𓇥 𓂋 𓆓 𓄔 2. 𓂝 𓂋 𓇋 𓇋 𓏏 𓆱, 𓄔 𓏤  3. 𓋴 𓐟 𓄿 𓊪𓏏𓆰			orri <இலை (ilai) 	இலை (ilai) 	foil~leaf	
57	root 	erro / sustrai	✓️!?	erroot sous-tree	𓍯 𓄿 𓃀 𓆰 a'rho@phyt   𓆱 𓇛 𓇡 süßdrei ;)	𓍯 𓄿 𓃀 𓆰, 𓏠𓈖𓇋𓇋𓏏𓆱, 𓆱 𓇛, 𓇡 			✓️ వేరు (vēru)[t]  < ಬೇರು (bēru)	వేరు (vēru)[t]  < ಬೇರು (bēru)	bu.root	
58	bark (of a tree) 	azal		*bacar						బెరడు (beraḍu) 	bark ~ bardge	
59	flower 	lore / lili	✓️✓️	flora, lilly	𓁷 𓂋 𓆰	𓆸 ⋍ 𓆹, 𓊃 𓈙 𓈖 𓆸,  𓇇𓆰, 𓇬𓈖𓃀, 𓃹𓈖𓃀𓆰, 𓁷 𓂋 𓂋 𓏏 𓆰, 				పువ్వు (puvvu) / పుష్పము (puṣpamu) 	phlower	
60	grass 	belar / bedar	® 	<> Blätter?		𓁸  𓏥  2.  𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥 				గడ్డి (gaḍḍi) 	gradh ~ grass growth	
61	rope 	soka	? 	zug / cord?	𓍱 𓋴 𓍢 ?	𓁷 𓏤 𓍢, 𓂝 𓎛 𓍢, 𓇋 𓎛 𓍢, 𓍱 𓋴 𓍢 2. 𓈖 𓍇 𓏌 𓅱 𓎛 𓍢 			~?	తాడు (tāḍu) கயிறு (kayiṟu) 	tau! Cord	
62	skin 	larru	? 	leder ledru	𓄚 ? le' 𓂋 𓄛 --	𓄛, 𓄚 𓈖 𓏏 𓄛, 𓄞 𓂧 𓅱, 2. 𓂧 𓂋 𓄛 3. 𓄟 𓋴 𓂓 𓄛 4. 𓃀 𓅡 𓄇 𓄛  				చర్మము(carmamu) 	Teil/Tol < leDer /  γδέρ κρέαma	
63	meat 	haragi	!	cargni?	𓅨 𓂋 𓇋 𓄹, 𓄿 𓈙 𓂋 𓄹 !! <<	𓄹, 𓇋 𓆑 𓄻 𓏥, 𓇋 𓅱 𓆑 𓄹 𓄹 𓄹  2. 𓄿 𓈙 𓂋 𓄹, 𓅨 𓂋 𓇋 𓄹			கறி (kaRi)	கறி (kaRi)	Carne κρέα  mamf;)	
64	blood 	odol	!?	@del=heart	𓂧 𓈙 𓂋 'dsor > dol ±	𓂐, 2. 𓂧 𓈙 𓂋 𓂐, 𓂧 𓈙 𓂋 𓅱 𓏯 3. 𓊃 𓈖 𓆑 𓅱 𓂐			odal (Te) body?	రక్తము (raktamu) குருதி (kuruthi)	^^ red	
65	bone 	hezur	✓️? <<	hosteo? zur~kurn Кость	𓈎 𓋴 𓌟 qesur hezur ±	𓈎 𓋴 𓌟 2. 𓄹,𓄺, 𓄻 , 𓌟 𓏤				బొమికె (bomike)	bome	
66	fat (noun) 	gantz	!!	Gans!! <> duck:dick 𓅭𓏏 بت bat:fat	𓈎 𓈖 𓐎 qan{z}  𓎙 𓂧 𓏌 𓏥, 𓎙 𓆓 𓊌 𓏥 {qan}ds !	𓎙 𓂧 𓏌 𓏥, 𓎙 𓆓 𓊌 𓏥, 𓂝 𓆓 𓎙 𓏌 𓏥 2.  𓄞 𓂧 𓐏, 𓆓 𓂧 𓂉,  𓆓 𓂧 𓄿 𓄃,  3. 𓈎 𓈖 𓐎  4. 𓄡 𓊪 𓈖 𓃾 …			~	కొవ్వు (kovvu)	covfat	
67	egg 	arrautza	<<	𓂋?		𓏏 𓏥, 𓋴 𓅱 𓎛 𓏏 𓆇 𓐎				முட்டை (muṭṭai)	egg/ei@mutheo  yumurta!	
68	horn 	adar	widder ≠ der	ᵖadar	𓂧 𓃀 𓄏 , 𓂝 𓃀 𓄏 𓏤  pod=>d	𓄏 𓏤, 𓎛 𓆰 𓈖𓄏, 𓎛 𓆱 𓈖 𓏌 𓏏 2. 𓂧 𓃀 𓄏 , 𓂝 𓃀 𓄏 𓏤				ಕೊಂಬು (koṃbu)	khornm jambe	
69	tail 	buztan	✓️? 	Buschel / Bürzel	𓃀 𓋴 𓇋 𓇋 𓏏 𓏥 !	1. 𓄜 2. 𓋴 𓂧 𓄢 3. 𓐍 𓃀 𓋴 𓇋 𓇋 𓏏 𓏥 , 𓐍 𓃀 𓊃 𓏏 𓄢  				తోక (tōka[l]) வால் ([t]vāl)		
70	feather 	luma	✓️	plume		𓆄 𓅱 𓏏 𓁸 2. 𓆅 𓏏 𓏤 𓁸				ఈక (īka)  இறகு (iraku) 	ikarus [f]üka=fligh@TURK	
71	hair 	ile	~	Welle? Hairle ? Tolle		 𓎛, 𓁸𓏥, 𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥, 𓃀 𓎡 𓎡 𓁸, 𓃀 𓂓 𓁸 				వెంట్రుకలు (veMṭrukalu) / జుట్టు (juṭṭu) 		
72	head 	buru	!!!	proto bu.ratiol burash	proto 𓁶 𓊪 <?>  𓁷 𓂋 𓇯 𓀀 bereshid	𓁶 𓊪, 𓁶 𓏤, 2. 𓁷 𓂋 𓇯 𓀀				తల (tala) 	Tall Teil tell?	
73	ear 	belarri	<<	bel’ear  be'lear <> belauer belauscher		1.𓄔 2.𓄕 3.𓂈 𓏤         1. 𓄟 𓋴 𓇥 𓂋 𓄔 2. 𓇋 𓂧 𓄔 3. 𓇥 𓂋 𓆓 𓄔				చెవి (cevi) 	~vocer	
74	eye 	begi	✓️	veyegi, blick, beÄuge	𓅜 𓐍 𓁻	1a. 𓁹 1b. 𓂝 𓈖 𓁹 2. 𓁹 𓏏 𓏮 , 𓅜 𓐍 𓏏 𓁻, 𓋹 𓈖 𓐍 𓏏 𓂀  				కన్ను (kannu) / నేత్రం (netram) 	AuGen / keyen	
75	nose 	sudur	<<	snouter	𓈙 𓂋 𓏏 𓂉 𓄹 !!	𓂊, 𓂉 𓏤, 𓈙 𓂋 𓏏 𓂉 𓄹, 𓆑 𓈖 𓂧 𓂉, 𓆑 𓈖 𓆓 𓐩 𓂉				ముక్కు (mukku) 	mucus@noco~nose	
76	mouth 	aho	✓️!	aro 𓂋 os	𓂋 arho	𓂋				నోరు (nōru) / మూతి (mūti) 	MOUTH pheme / నోరు (nōru) 𓂋 ore@lat!	
77	tooth 	hortz / hagin	-/?	Thoortz hook Haken	𓍿 𓊃 𓏏 𓄑 !	1. 𓄑 𓏤, 1b. 𓍿 𓊃 𓏏 𓄑 2. 𓇋 𓃀 𓎛 𓄑 𓏤 3. 𓈖 𓅘 𓎛 𓂧 				పన్ను (pannu) 	pain;) zwang zahn dent	
78	tongue (organ) 	mihi	--	@mouth?	𓈖 𓄓 𓋴 𓄻 mnighi --	𓄓, 𓄓 𓄻 𓏤, 𓈖 𓄓 𓋴 𓄻, 𓈖 𓄓 𓋴 𓄻 2. 𓊃 𓈖 𓎡 𓄓, 𓊃 𓈖 𓎡 𓄓 2b. 𓈙 𓋴 𓐟 𓄿 𓅱 𓄓 𓏤 2c. 𓍱 𓊃 𓂋 𓄓				నాలుక (nāluka) 	'licker’ [g]lisso 'snake’	
79	fingernail 	azazkal		Nazagel > Nagel	<<	𓋁 𓃀 𓌟 𓄹 𓏤				గోరు (gōru) 	Kralle>köröm Nagel	
80	foot 	oin	✓️	1 boin		𓃀, 𓂾, 𓂾𓏏𓄹, 2. 𓂋 𓂧 𓂾 ~ 𓅱 𓂝 𓂋 𓏏𓂾 				పాదము (pādamu) / అడుగు (aḍugu) 	పాదము (pādamu) / అడుగు (aḍugu) 	
81	leg 	hanka / zango	✓️✓️!	Hink! Schenkel!  Zum.Goen	𓃛 𓅱 𓂝 𓅱 𓄯 !?	𓃀, 𓂾, 𓃛 𓂝 𓄯, 𓃛 𓅱 𓂝 𓅱 𓄯 𓄹				కాలు (kālu) 	Kehleg 	
82	knee 	belaun		•beᵡlaumb	𓊪 𓂧 𓂾 𓄹 ~~ --	𓊪 𓂧 𓂾 𓄹, 2. 𓌳 𓋴 𓏏𓂾 , 𓌳 𓄿 𓊨 𓏏𓂾				మోకాలు (mōkālu) 	Kehle	
83	hand 	esku	<<	a'shou e'cēyi		𓂝 𓏤, 𓂧 𓏏 𓏤, 𓇥 𓂋 𓏏 𓂧, 𓍑 𓏏 𓂩			~	చెయ్యి (ceyyi) / చేయి (cēyi) 	khand / kaf / käsi@Uralic …	
