№ ,English word ,Simplified,Pinyin ,PIE,NOTE,Traditional Chinese ,Simplified Chinese,POS ,IPA ,,,,,,,,,,,,,,,,
89,breast ,胸 xiōngbù ,xiōng ,,,胸 ,胸 xiōngbù ,noun ,ɕyʊŋ˥˥ ,ɕyʊŋ˥˥pu˥˩ ,chest (generic) ,胸部 ,胸部 xiōngtáng ,ɕyʊŋ˥˥tʰɑŋ˧˥ ,chest (academic) ,胸膛 ,胸膛 rǔfáng ,ʐu˨˩fɑŋ˧˥ ,female organ ,乳房 ,乳房,,,,
90,heart ,"心脏, 怀 ","xīnzàng, huaí!",♡ huǒ 火  ~ 心 <> 想 think,,心臟 ,心脏,noun ,ɕin˥˥tsɑŋ˥˩ ,,,,,,,,,,,,,,,,
91,liver ,肝 gānzàng ,gān ,Gen = live!,<,肝 ,肝 gānzàng ,noun ,kan˥˥ ,kan˥˥tsɑŋ˥˩ ,,肝臟 ,肝脏,,,,,,,,,,,,
92,drink ,喝,hē ,,,喝 ,喝,verb ,xɤ˥˥ ,,,,,,,,,,,,,,,,
93,eat ,吃,chī ,e’ssi,~,吃 ,吃,verb ,tʂʰʐ˥˥ ,,,,,,,,,,,,,,,,
94,bite ,咬,yǎo ,jaw,~,咬 ,咬,verb ,iɑu˨˩˦ ,,,,,,,,,,,,,,,,
95,suck ,吸 chuò ,xī ,,~,吸 ,吸 chuò ,verb ,ɕi˥˥ ,tʂʰuo˥˩ ,sip ,啜 ,啜 shǔnxī ,ʂuən˨˩ɕi˥˥ ,suck ,吮吸 ,吮吸,,,,,,,,
96,spit ,吐 tǔkǒushuǐ ,tǔ ,ptu,,吐 ,吐 tǔkǒushuǐ ,verb ,tʰu˨˩˦ ,tʰu˨˩kʰou˧˥ʂuei˨˩˦ ,lit. spit saliva (informal) ,吐口水 ,吐口水 tǔtán ,tʰu˨˩tʰan˧˥ ,lit. spit phlegm (formal) ,吐痰 ,吐痰,,,,,,,,
97,vomit ,呕 tù ,ǒu ,boumit@KO,+,嘔 ,呕 tù ,verb ,ou˨˩˦ ,tʰu˥˩ ,informal ,吐 ,吐 ǒutù ,ou˨˩tʰu˥˩ ,formal ,嘔吐 ,呕吐,,,,,,,,
98,blow ,吹,chuī ,,<,吹 ,吹,verb ,tʂʰuei˥˥ ,,,,,,,,,,,,,,,,
