No. 	English 	日本語 Kanji characters 	にほんご Hiragana syllabary 	nihongo Hepburn romanization	PIE			
177	night 	夜 	よる 	yoru	🌑 yueren 月亻hyouri 🌙	+++	¬jour ¬ri	
178	day 	日 	ひ 	hi	🌕 hori hara = hell Hel	+++		
179	year 	年 	とし 	toshi	Taurusi 🌙 turnus Tausch	^^	<> 月 つき tsuki	
180	warm 	暖かい 	あたたかい 	atatakai	hothot.que ǒt@turk	++™	 -い  -i -y adjectivy	
181	cold 	寒い 	さむい 	samui	vs kor, charm			
182	full 	満ちる 	みちる 	michiru	much			
183	new 	新しい 	あたらしい 	atarashii	kadashi?			
184	old 	古い 	ふるい 	furui	gvero	+++		
185	good 	良い 	いい 	ii	EU, liáng – 	+++	--	
186	bad 	悪い 	わるい 	warui	wrong?			
187	rotten 	腐る 	くさる 	kusaru	cursed?			
188	dirty 	汚い 	きたない 	kitanai	kaka?			
189	straight 	直ぐ 	すぐ 	sugu		~		
190	round 	丸い 	まるい 	marui	ma.ruindey	~	marble = Murmel μάρμᾰρος • (mármaros)	WANDER
191	sharp (as a knife) 	鋭い 	するどい 	surudoi	schere.de	~		
192	dull (as a knife) 	鈍い 	にぶい 	nibui	nibu.y 𓋞!?	+?	soft as gold, dumb as tin 鈍 	
193	smooth 	滑らか 	なめらか 	nameraka	𓈗?			
194	wet 	濡れる 	ぬれる 	nureru	naurer	++		
195	dry 	乾く 	かわく 	kawaku	secco	+--		
196	correct 	正しい 	ただしい 	tadashii	tada;) shi si	~?		
197	near 	近い 	ちかい 	chikai	chick=close/small	<<+		
198	far 	遠い 	とおい 	tōi	dura further, 東太大	½ 		
199	right 	右 	みぎ 	migi				
200	left 	左 	ひだり 	hidari				
201	at 		で 	de	at, to	++™		
202	in 		で 	de		++		
203	with 		と 	to	to=add=and	++		
204	and 		と 	to	to=add=and	++		
205	if 		もし, なら, -ば 	moshi, nara, ba	mo.shi (mwenn sei)	++		
206	because 		から 	kara	car	++		
207	name 	名 	な 	na	na.ming.zi	½ +++	“Na mein néeffe, gut, ne”! +++ kein witz	
	negative form.		あ	a	a¬			
	infinitive form.		い	i	a'going			
	dictionary form.		う	u				
	conditional form.		え	e				
	volitional form.		お	o				
