No. 	English 	Standard Eastern Armenian հայերեն (hayeren) 	Transcription (հh:P WT:HY TR) 	IPA pronunciation	cognate less PIE than ‘Kartvelian’ !	OK?	Egyptian match	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	𒌋	NOT Elamite 	
47	dog 	շուն 	šun 	ʃun	chien Ⲱⲱⲟⲛ <> կենդանի kɛntʰɑˈni 	+++	𓃡	𓍿 𓊃 𓅓 𓃡  2.  𓃛 𓅱 𓃡, 𓃛 𓅱 𓏮 𓊗 𓄛	𒌨™	UR.lg	
48	louse 	ոջիլ 	oǰil 	vɔˈt͡ʃʰil	ᑫvošlau the.lice @ Georgi  ճիճու čiču kitlaus 	ok?	𓎡 𓏏 𓏏 𓆨 •qvtthl	𓎡 𓏏 𓏏 𓆨			
49	snake 	օձ 	ōj 	ɔt͡sʰ	𓆑 = its/it/es  << natter ≠ otter  ᵛɔt͡sʰ	≈!?™	𓆑 𓈖 𓍿 𓆙 vnts	𓆑 𓈖 𓏏 𓆙, 𓆑 𓈖 𓍿 𓆙, 𓅭 𓇾 𓆙  2. 𓎛 𓆑 𓄫 𓅱 𓆙, 𓂋 𓂋 𓎡 𓎡 𓆙, 𓋴 𓍋 𓃀 𓏏 𓆙 3. 𓆓 𓂧 𓆑 𓏏 𓆙	𒅆𒅔	ši-in	
50	worm 	ճիճու 	čiču 	t͡ʃiˈt͡ʃu	𓆑 circul 𓎡 𓏏 𓏏 𓆨	++™	𓎡 𓄿 𓂓 𓏤 𓆙 čičuʳᵐ	𓆑 𓈖 𓍿 𓆙 2. 𓎡 𓄿 𓂓 𓏤 𓆙 3. 𓆓 𓂧 𓆑 𓏏 𓆙	??	*krmi-	
51	tree 	ծառ 	caṙ 	t͡sɑr	𓅂 ṭīr @ tree <> 𓅂 tʿṙčʿun t͡sɑr(in) : green 	+++	𓆭 𓆭 𓆭  ṭīr@tree 𓅡 𓈎 𓆭 boTARnic	1. 𓍲 𓈖 𓆭, 2. 𓏙 𓈎 3. 𓂧 𓈎 𓂋 𓂷 𓈒 𓏥, 4. 𓅡 𓈎 𓆭 5. 𓆭 𓅓 𓆭 6. 𓆱 𓏏 𓏤 7. 𓈎 𓃀 𓆭	𒄑𒄷𒊓	NGIŠ.hu.sa	
52	forest 	անտառ 	antaṙ 	ɑnˈtɑr	some tree, many tree, 𒄷𒊓 hun'tar <> hunt	<++	𓏠 𓏌 𓏌 𓏌 𓆭 𓆭 𓆭 	𓏠 𓏌 𓏌 𓏌 𓆭 𓆭 𓆭, 𓏠 𓏌 𓏌 𓏌 𓆮	𒄷𒊓	hu-sa	
53	stick 	փայտ 	pʿayt 	pʰɑjt	bat ≈ 𒄑 phyto <> beat < backt? ቀንበጥ ḳänbäṭ  𓐍 𓆱 𓏏 | branch | 	+++	𓆱 𓏏 𓏤 !?!	𓆱 𓏏 𓏤, 2. 𓂝 𓅓 𓂝 𓄿 𓌚 amBaait?	𒄑	ngiš	
54	fruit 	պտուղ 	ptuł 	pəˈtuʁ	pəˈtuʁ~fruit ++ ;) 𒌀 ?	+++	𓉐 𓏏 𓂋 𓏯 𓌾 𓏥 ≈	𓉐 𓂋 𓏏 𓏯 𓌾 𓏥, 𓉐 𓂋 𓏏 𓂺 𓈓, 𓉐 𓂋 𓏏 𓍁 𓈓, 𓍁 𓂋 𓏏 , 2. 𓂋 𓂋  3. 𓏙 𓈎 4. 𓂧 𓄿 𓃀 𓆳 5. 𓇭 𓈒 𓏥	𒁍𒌨	bu-ur	
55	seed 	սերմ 	serm 	seɾm	semen < serum < sperm  ++	+++	𓂺 sesamen seeds	𓄝 𓏏 𓇋 𓇋 𓏏 𓂺 𓏥,  𓂸 𓏏 𓏲 𓏏 𓂺 𓏥, 𓅓 𓏏 𓂺 𓅱 𓏏		zišša	
56	leaf 	տերեւ 	terew 	tɛˈɾɛv	𓇥 𓂋 𓆓 𓄔  <> tail?	<<	𓇥 𓂋 𓆓 𓄔?	𓇥 𓂋 𓆓 𓄔 2. 𓂝 𓂋 𓇋 𓇋 𓏏 𓆱, 𓄔 𓏤  3. 𓋴 𓐟 𓄿 𓊪𓏏𓆰			
