 № 	English 	Arabic 	Hebrew 	Syriac 	Akkadian 	Ge'ez 	Coptic 	Tarifiyt Berber 	Hausa 	Oromo (Wallagga) 	Somali
57 	root 	جَذْر‎ (jaḏr), جِذْر‎ (jiḏr) 	שֹׁרֶשׁ‎ (šōreš) 	ܫܪܫܐ‎ (šeršâ), ܥܩܪܐ‎ (ʿeqqârâ) 	𒁼 (šuršu) 	ሥርው (śərw) 	ⲛⲟⲩⲛⲉ (nunə) 	az’wā 	sâiwáa, jíijíyàa 		xidid
58 	bark (of a tree) 	قِلْف‎ (qilf) 	קְלִפָּה‎ (q'lippâ) 	ܩܠܦܬܐ‎ (qlâftâ) 	𒄑𒁇𒄯 (sihpu) 	ቅርፍት (qərəft) 	ⲕⲟⲩⲕⲉ (kukə) 		ɓáawóo 		jilif
59 	flower 	زَهْرَة‎ (zahra) 	פֶּרַח‎ (peraħ) 	ܗܒܒܐ‎ (habbâvâ) 	inbu 	ጽጌ (ṣəgé) 	ϩⲣⲏⲣⲉ (hrērə) 	ŧanəwwašŧ 	fùrée 	daraaraa 	ubax
60 	grass 	حَشِيش‎ (ḥašīš) 	דֶּשֶׁא‎ (dešeʾ) 	ܥܣܒܐ‎ (ʿesbâ) 	dīšu 	ሣዕር (śāʿər) 	ⲥⲓⲙ (sim) 	arrƀiʕ (< Ar.) 	cìyáawàa 	marga 	caws
61 	rope 	حَبْل‎ (ḥabl) 	חֶבֶל‎ (ħevel) 	ܚܒܠܐ‎ (ħavlâ) 	𒂠 (eblu) 	ሐብል (ħabl) 	ⲛⲟⲩϩ (nuh) 	iǧǧi, ŧamriaŧ, asɣun 	ígíyàa 		xarig
62 	skin 	جِلْد‎ (jild) 	עוֹר‎ (ʿōr) 	ܓܠܕܐ‎ (geldâ) 	gildu 	ማእስ (māʾs) 	ϣⲁⲁⲣ (ša'ar) 	ŧiřməšŧ 	fáatàa 	gogaa, ittillee 	maqaar
63 	meat 	لَحْم‎ (laḥm) 	בָּשָׂר‎ (bâśâr) 	ܒܣܪܐ‎ (besrâ) 	ṭabhu 	ሥጋ (śəgā) 	ⲁϥ (af) 	açsum 	náamàa 	foon 	hilib, so'64 	blood 	دَم‎ (dam) 	דָּם‎ (dâm) 	ܕܡܐ‎ (dmâ) 	𒁱 (dāmu) 	ደም (dam) 	ⲥⲛⲟϥ (snof) 	iđammən 	jíníi 	d'iiga 	dhiig
65 	bone 	عَظْم‎ (ʿaẓm) 	עֶצֶם‎ (ʿeṣem) 	ܓܪܡܐ‎ (garmâ) 	𒄈𒉻𒁺 (eṣemtu) 	አፅም (ʿaḍm) 	ⲕⲁⲥ (kas) 	iɣəss 	ƙàshíi 	lafee 	laf
66 	fat (noun) 	دُهْن‎ (duhn) 	חֵלֶב‎ (ħélev) 	ܕܘܗܢܐ‎ (duhhânâ), ܫܘܡܢܐ‎ (šumnâ) 	𒉌𒄑 (šamnu) 	መሥብሕ (maśbəħ) 	ⲱⲧ (ōt) 	ŧađunt 	máiƙòo 	moora 	baruur, caddiin
67 	egg 	بَيْضَة‎ (bayḍa) 	בֵּיצָה‎ (bêṣâ) 	ܒܝܥܬܐ‎ (bêʿθâ) 	𒉭 (pelû) 	አንቆቅሆ (anqoqəho) 	ⲥⲟⲟⲩϩⲉ (souhe) 	ŧaməǧǧač 	ƙwái 	killee, bup'p'aa 	ukun
68 	horn 	قَرْن‎ (qarn) 	קֶרֶן‎ (qeren) 	ܩܪܢܐ‎ (qarnâ) 	qarnu 	ቀርን (qarn) 		išš 	ƙàhóo 	gaafa 	gees
69 	tail 	ذَنَب‎ (ḏanab) 	זָנָב‎ (zânâv) 	ܕܘܢܒܐ‎ (dunbâ) 	zibbatu 	ዘባን (zabān) 	ⲥⲁⲧ (sat) 	ŧanəwwāŧ (< Ar.?) 	wútsíyàa 	eegee 	sayn
70 	feather 	رِيشَة‎ (rīša) 	נוֹצָה‎ (nōṣâ) 	ܐܒܪܐ‎ (ʾevrâ) 	nāṣu 	ጸጒር (ṣagʷr) 	ⲙⲏϩⲉ (mēhə) 	afā 	gáashìi 		baal
71 	hair 	شَعْر‎ (šaʿr), شَعَر‎ (šaʿar) 	שֵׂעָר‎ (śéʿâr) 	ܣܥܪܐ‎ (saʿrâ) 	šārtu 	ጸጕር (ṣagʷr) 	ϥⲱ (fō) 	z’ət’t’u, ašəwwaf 	gáashìi 		tin
72 	head 	رَأْس‎ (raʾs) 	רֹאשׁ‎ (rōš) 	ܪܝܫܐ‎ (rêšâ) 	rēšu 	ርእስ (rəʾəs) 	t-ape (apēue), jō 	aqəyyua 	kâi 	mataa 	madax
73 	ear 	أُذُن‎ (ʾuḏun), أُذْن‎ (ʾuḏn) 	אֹזֶן‎ (ʾōzen) 	ܐܕܢܐ‎ (ʾeðnâ) 	uznu 	እዝን (ʾəzn) 	ⲙⲁⲁϫⲉ (ma'aje) 	aməz’z’uɣ, aməžžun 	kûnnée 	gurra 	dheg
74 	eye 	عَيْن‎ (ʿayn) 	עַיִן‎ (ʿayin) 	ܥܝܢܐ‎ (ʿaynâ) 	īnu 	ዐይን (ʿayn) 	ⲉⲓⲁ (ia) 	ŧit’t’ 	ídòo 	ija 	il
75 	nose 	أَنْف‎ (ʾanf) 	אַף‎ (ʾaf) 	ܢܚܝܪܐ‎ (nḥīrâ) 	appu 	አንፍ (anf) 	ϣⲁ (ša) 	ŧinzā 	háncìi 	fuññaan 	san
76 	mouth 	فَم‎ (fam) 	פֶּה‎ (pe) 	ܦܘܡܐ‎ (pūmâ) 	pû 	አፍ (ʾaf) 	ⲣⲟ (ro) 	aqəmmum 	bàakíi 	afaan 	af
77 	tooth 	سِنّ‎ (sinn) 	שֵׁן‎ (šên) 	ܫܢܐ‎ (šennâ), ܟܟܐ‎ (kakkâ) 	šinnu 	ስን (sən) 	ϣⲟⲗ (šol), ⲛⲁϫϩⲉ (najhe) 	ŧiɣməsŧ 	hákóoríi 		ilig
78 	tongue 	لِسَان‎ (lisān) 	לָשׁוֹן‎ (lâšōn) 	ܠܫܢܐ‎ (leššânâ) 	lišānu 	ምልሓስ (məlħās), ልሳን (ləsān) 	ⲗⲁⲥ (las) 	iřəs 	hárshèe 	arraba 	carrab
79 	fingernail 	ظُفْر‎ (ẓufr) 	צִפֹּרֶן‎ (ṣippōren) 	ܛܦܪܐ‎ (ṭefrâ) 	ṣupru 	ጽፍር (ṣəfr) 	ⲉⲓⲃ (iv) 	iššā 	fárcèe 	qeensa 	ciddi
80 	foot 	قَدَم‎ (qadam) 	כַּף רֶגֶל‎ (kaf reğel) 	ܥܩܠܐ‎ (ʿaqlâ) 	šēpu 	እግር (ʾəgr) 	ⲟⲩⲉⲣⲏⲧⲉ (werētə),ⲣⲁⲧ (rat) 	đ’ā 	ƙáfàa 	miilla 	cag
81 	leg 	رِجْل‎ (rijl) 	רֶגֶל‎ (reğel) 	ܪܓܠܐ‎ (reğlâ) 	kimṣu 	አገዳ (ʾagadā) 	ⲣⲁⲧ (rat) 	ifaddən 	ƙáfàa 	hojjaa, luka 	lug
82 	knee 	رُكْبَة‎ (rukba) 	בֶּרֶךְ‎ (berex) 	ܒܘܪܟܐ‎ (burkâ) 	birku 	ብርክ (bərk) 	ⲕⲗⲗⲉ (kᵊllə) 	fuđ 	gwíwàa 	jilba 	jilib, low
83 	hand 	يَد‎ (yad) 	יָד‎ (yâð) 	ܐܝܕܐ‎ (ʾīðâ) 	qātu 	እድ (ʾəd) 	t-cij, toot 	fus 	hánnúu 	harka 	gacan
84 	wing 	كَنَ‎ (kana), جَنَاح‎ (janāḥ) 	כָּנָף‎ (kânâf) 	ܟܢܦܐ‎ (kenfâ) 	kappu 	ክንፍ (kənf) 	tᵊnh 	afriw 	fíffíkèe 		baal
85 	belly 	بَطْن‎ (baṭn) 	בֶּטֶן‎ (beṭen) 	ܒܛܢܐ‎ (baṭnâ), ܟܪܣܐ‎ (karsâ) 	libbu 	ከርሥ (karś) 	ϩⲏ(ⲧ) (hē(t)) 	aʕəddis 	cíkìi 		calool
86 	guts 	أَمْعَاء‎ (ʾamʿāʾ) 	מֵעַיִם‎ (mêʿayim) 	ܡܥܝܐ‎ (mʿayyâ), ܓܘܐ‎ (gawwâ) 	erru 	አማዑት (amāʿut) 	ⲙⲁϩⲧ (maht),ⲙⲉϩⲧⲟ (mehto) 	ađan, ƀururu 	hánjíi 	mar'umaan 	mindhicir, xiidmo
87 	neck 	رَقَبَة‎ (raqaba) 	צַוָּאר‎ (ṣawwâr) 	ܨܘܪܐ‎ (ṣawrâ), ܩܕܠܐ‎ (qðâlâ) 	kišādu, labiānu 	ክሳድ (kəsād) 	p-makh 	iri 	wúyàa 	qoosee 	quur, luqun, sur
