No. 	English 	Tajik	IE		Kurdish (Central) 	Romani 
190	round 	oblo		<<	гирд 	গোল gol 
191	sharp (as a knife) 	kucime	cutty?		тез 	চোক্ষা cokkha 
192	dull (as a knife) 	bikucime			кунд 	ভোঁতা bhōm̐ta 
193	smooth 	samtalo	S-m-t.al	🗸!	ҳамвор 	মসৃণ masr̥ṇa 
194	wet 	kindyilo	≠kindle!?		тар 	ভেজা bheja 
195	dry 	shuko		<🗸?	хушк 	শুকনা shukna 
196	correct 	uchito			дуруст 	ঠিক ṭhik 
197	near 	pashe	prês	🗸	наздик 	কাছে kache 
198	far 	dur		🗸🗸	дур 	দূর dur 
199	right 	chacho			рост 	ডান dan 
200	left 	stungo			чап 	বাঁ bã 
201	at 	kaj			дар 	-এ -e 
202	in 	ando	into	🗸	дар 	-এ -e 
203	with 	-ca	com	🗸	бо 	-র সাথে/সঙ্গে -r shathe/shôngge 
204	and 	thaj			ва 	আর/ও/এবং ar/o/ebong 
205	if 	te	sei 	🗸-	агар 	যদি jodi 
206	because 	ke	car	🗸	зеро 	কারণ karon 
207	name 	anav	anaume	🗸~<	ном 	নাম nam 
