№ 	English 	Arabic 	Romanized Arabic 	Tarifiyt Berber 		Hebrew 	Romanized Hebrew 	Syriac 	Romanized Syriac 	Romanized Akkadian 	Ge'ez 	Romanized Ge'ez 	Maltese 	Romanized Coptic 	Tarifiyt Berber 	Hausa 	Oromo (Wallagga) 	Somali
54	fruit 	فاكهة‎ 	fākiha 	řxuđ’āŧ (< Ar.) 	frxudt	פרי‎ 	p'ri 	ܦܐܪܐ‎ 	pérā 		ፍሬ 	fəré 	frott 	pe (o)utah 	řxuđ’āŧ (< Ar.) 	’yár̃ ítàacée 	ija 	miro
55	seed 	زرعة‎ 	zarʿa 	řħəbb (< Ar.) 		זרע‎ 	zeraʿ 	ܙܪܥܐ‎ 	zarʿā 	zēru 	ዘርአ/ብዝር 	zarʾ/bəzr 	żerriegħa 	evra, croc 	řħəbb (< Ar.) 	írìi (< Kanuri?) 	garii, saññii 	
56	leaf 	ورقة‎ 	wáraqa 	ŧifāšŧ 	Leavest @ ast	עלה‎ 	ʿâle 	ܛܪܦܐ‎ 	ṭarpā 		ቈጽል 	qʷaṣl 	werqa 	cōve 	ŧifāšŧ 	gányée 	baala 	baal
57	root 	جذر‎ 	jaðr 	az’wā 	wurzel	שרש‎ 	šóreš 	ܫܪܫܐ‎ 	šeršā 	šuršu 	ሥርው 	śərw 	għerq 	noune 	az’wā 	sâiwáa, jíijíyàa 		xidid
58	bark 	قلف‎ 	qilf 			קלפה‎ 	q'lippâ 	ܩܠܦܬܐ‎ 	qlāftā 		ቅርፍት 	qərəft 	qoxra 					qolof
59	flower 	زهرة‎ 	záhra 	ŧanəwwašŧ 		פרח‎ 	perah 	ܗܒܒܐ‎ 	habbāvā 		ጽጌ 	ṣəgé 	fjur 	pe-hrēre 	ŧanəwwašŧ 	fùrée 	daraaraa 	ubax
60	grass 	حشيش‎ 	ħašīš 	arrƀiʕ (< Ar.) 		דשא‎ 	dešeʾ 	ܓܠܐ‎ 	gillā 	dīšu 	ሣዕር 	śāʿər 	ħaxix 	p-sim 	arrƀiʕ (< Ar.) 	cìyáawàa 	marga 	caws
61	rope 	حبل‎ 	ħabl 	iǧǧi, ŧamriaŧ, asɣun 	asɣun!!	חבל‎ 	ħevel 	ܚܒܠܐ‎ 	ħavlā 	eblu 	ሐብል 	ħabl 	ħabel 	nouh 	iǧǧi, ŧamriaŧ, asɣun 	ígíyàa 		xarig
62	skin 	جلد‎ 	jild 	ŧiřməšŧ 	Cor!!! < tir	עור‎ 	ʿór 	ܓܠܕܐ‎ 	geldā 	gildu 	ማእስ 	māʾs 	ġilda 	p-šaar 	ŧiřməšŧ 	fáatàa 	gogaa, ittillee 	jir
63	meat 	لحم‎ 	laħm 	açsum 		בשר‎ 	bâsâr 	ܒܣܪܐ‎ 	besrā 		ሥጋ 	śəgā 	laħam 	p-af 	açsum 	náamàa 	foon 	hilib, so'
64	blood 	دم‎ 	dam 	iđammən 	blidam III	דם‎ 	dâm 	ܕܡܐ‎ 	dmā 	dāmu 	ደም 	dam 	demm 	pe-snof 	iđammən 	jíníi 	d'iiga 	dhiig
65	bone 	عظم‎ 	ʿaẓm 	iɣəss 	osteo	עצם‎ 	ʿeṣem 	ܓܪܡܐ‎ 	garmā 	eṣemtu 	አፅም 	ʿaḍm 	għadma 	p-kas (kaas) 	iɣəss 	ƙàshíi 	lafee 	laf
66	fat 	دهن‎ 	duhn 	ŧađunt 		חלב‎ 	ħélev 	ܕܗܢܐ‎, ܫܘܡܢܐ‎ 	dahnā, šumnā 	šamnu 	መሥብሕ 	maśbəħ 			ŧađunt 	máiƙòo 	moora 	baruur
67	egg 	بيضة‎ 	báyḍa 	ŧaməǧǧač 	√tam.egg!	ביצה‎ 	béṣâ 	ܒܝܥܬܐ‎ 	béʿθâ 		አንቆቅሆ 	anqoqəho 	bajda 	t-soouhe 	ŧaməǧǧač 	ƙwái 	killee, bup'p'aa 	ukun, beed
