No. 	English 	Romani rromani ćhib	Tajik	IE		Kurdish (Central) 	Romani(Gypsie) 
182	full 	pherdo	pherdo	ⲉⲃⲟⲗ over 𓎔? 	~	пур 	ভরা bhôra 
183	new 	nevo	nyevo	novo / nev	🗸🗸	нав 	নতুন notun 
184	old 	purano	phurano	gheron.to	🗸🗸- ½  	кӯҳна 	পুরানো purano 
185	good 	laćho	lasho	laisse?	<<<	хуб 	ভালো bhalo 
186	bad 	nasul	nasul	𓂜?	<<<	бад 	খারাপ kharap 
187	rotten 	kerno	kerno	carne	🗸<	пӯсида 	পচা pôca 
188	dirty 	melalo	melalo	mal, melano	🗸🗸	чиркин 	ময়লা môela 
189	straight 	vorta	vorta	…fort vright	🗸🗸	рост 	সোজা shoja 
190	round 	oblo	oblo	oval bowl	~?	гирд 	গোল gol 
191	sharp (as a knife) 	kucime	kucime	cutting?	~?	тез 	চোক্ষা cokkha 
192	dull (as a knife) 	bikucime	bikucime	bu¬	^	кунд 	ভোঁতা bhōm̐ta 
193	smooth 	samtalo	samtalo	S-m-t.al	🗸!	ҳамвор 	মসৃণ masr̥ṇa 
194	wet 	kindyilo	kindyilo	𓄡𓀔𓈖 ≠kindle!?		тар 	ভেজা bheja 
195	dry 	shuko	shuko	𓄡𓀔  suck secco	<🗸	хушк 	শুকনা shukna 
196	correct 	ćaćo	uchito		~~?	дуруст 	ঠিক ṭhik 
197	near 	pashe	pashe	prês	🗸	наздик 	কাছে kache 
198	far 	dur	dur		🗸🗸	дур 	দূর dur 
199	right 	chacho	chacho			рост 	ডান dan 
200	left 	stungo	stungo	𓏏 𓋁 𓏮	??	чап 	বাঁ bã 
201	at 	kaj	kaj			дар 	-এ -e 
202	in 	ande	ando	into	🗸	дар 	-এ -e 
203	with 	-ça	-ca	com	🗸	бо 	-র সাথে/সঙ্গে -r shathe/shôngge 
204	and 	thaj	thaj	& et'aj attach?		ва 	আর/ও/এবং ar/o/ebong 
205	if 	te	te	sei denn	🗸-	агар 	যদি jodi 
206	because 	ke	ke	car	🗸	зеро 	কারণ karon 
207	name 	anav	anav	anaume	🗸~<	ном 	নাম nam 
							
							
