 No 	English 	Oroqen (IPA) 	PIE – NO?	Manchu (MT) very different vocab	Altaic? Turk?	Turkmen 	Aryan		Hungarian = corrupted PIE/Turk	Best Uralic	Eurasian
90	heart 	mɛɣan 	menta	niyaman	~-	ýürek 	coeur сүрэх ++	✓	szív 		? Süden swine??
91	liver 	a:kin 		fahūn		bagyr 	bags+ liBor!	✓	máj 		
92	to drink 	um- 		omi-		içmek 	iq…make! 𓂋 Nomnom;)	½ + ✓✓	Isz <> viz = water		J’uoda : water
93	to eat 	dʒəb- 		'je-/jefu (''eat!'')'		Iýmek, çиме’	isse…make!	✓ - ✓✓	esz	eszik 	eat
94	to bite 	kɪk- 		sai-		dişlemek 	ытыр BIT …bisser make! snack	✓✓	harap 		happ,rupf <> pour, pull?
95	to suck 	lʊpkʊ- 	lip lick	goci-		emmek 	mamma	✓✓	szopik emik 	szopik	Imie <> mamma
96	to spit 	tə: 		cifele-		tüýkürmek 	tüýkür…make!	✓ ?	Köp ~ kotz		
97	to vomit 	iʃə- 		fuyakiya-, oksi-, juru-		gusmak 	kotz…make! ++	✓✓	hány 		ostentativ?
98	to blow 	u:- 	fulg~balg~blow	fulgiye-	ONO	üflemek, öwüsmek 	eshu,lüfle, a-woosh	~	fúj 	puhuo 	pust
99	to breathe 	əri:- 		ergen gai-		dem almak 	aдем atem ++ (in)hale	✓✓	lélegzik 	--	
100	to laugh 	iɲə- 		inje-		gülmek 	johl, күл kill;) gelächter	✓ ~ ;)	nevet 	nagrua, nauraa	Narr, neck, nagh, laugh @ Romain
101	to see 	itʃə- 	sabvoir	sabu-	++	görmek 	𓂋𓁹𓁺 Care eygör! Gvr vs mvr 	✓!	lát néz 	nvizio	𓈖𓍇𓏌𓅱 NADZAR@SEM ħzā auszi 𒌋𒀪𒄭  𓈖𓍯𓄿𓁺
103	to hear 	dɔ:ldi- 	denk	donji-		eşitmek 	sDm!	✓✓	hall 		hall<hear ++ kohra=ear ^^
104	to know 	ʃa:- 	Sai’ < see	sa-	++	bilmek 	bil.dung? saba! Savoir  		tud (sg.) ismer (sy.) 		vISM wissen ++ tied? Tan,talmud ?
106	to think 	bɔdɔ- 	gondol	gūni-, bodo-	HUN?	pikir etmek, saýmak, üýtmek 	Şün saengga think!!!	✓✓	gondol gondolkozik 		Gondel;) mind
105	to smell 	ŋɔkɔ- 	@nose	wangkiya-	+^	ysgamak (sniff) 	ysga, шăшлама ~ sensmell		szagol 	nuusutama haistma 	<>nose, ?
102	to fear 		gork>golo < care?	gele- olho- golo-	Turk	gorkmak, eýmenmek 	<> kerker!  Eierman	✓	Fél  < varata	varata	fear, pelle
107	to sleep 	a:ʃɪn- 	i’Schna(x)	amga- šabura-	++	uklamak 	haia, nukl, nickt	✓	Alszik ~ Al sick/Siech	nukkua, magama ?	nique, nicker@night
108	to live 	i:nikin 		banji-		ýaşamak 	Yashen 生 Fire		él 	eliä 	alive! Erlebe   vel<vir?
109	to die 	bu- 	卜不 butcher	buce-		ölmek 	mör→öl? Old	~	(meg)hal 	(mur)kuolla 	kill, halt
110	to kill 	wa:- 		wa-		öldürmek 	old! Oʻldir: al’tuer!	^	öl megöl 		me.kill, topple?
111	to fight 	wa:ldɪ- 	a’faigd / warus>wal	afa-	Turk	uruşmak (war) , söweşmek, göreşmek (wrestle) , 	warus++ Garaus machen	✓!	harcol küzd 	harc	beharken?
112	to hunt 	bəyu:- 	abala> awla 	abala-	TURK!	awlamak 	awl < owl, angel Abala- 		vadászik 	jahtima 	jagt.time @ mecca?
113	to hit 	mʊnda:- 		tanta-		patlamak; urmak (beat) 	beatle, charge	✓✓	üt megüt 	üt	hit
114	to cut 	dʒig- 	tcuc~cut furu~part	faita- furu-	~~	kesmek 	Кес ~ cut	✓~	vág 		fetch?
115	to split 	i:wə:- 		delhebu- dendebu-		ýarylmak 	yaw!	<	hasít 		Hulk, hal.be, Hase’it > cut
116	to stab 	gɪdala:- 		toko- gidala- (with a spear) huwesile- (with a dagger)	/	pyçaklamak, naýzalamak 	Bat! <> beat, push		szúr 		piks పొడుచు poḍucu
117	to scratch 	ʊkɪ:- 		waša- wasihala-		dyrnaçaklamak 	Dyrna.çakla		vakar 	kratsima kraapima 	kratz, krabbel, rapir, Rabe
118	to dig 	ulə:- 		fete-		gazmak 	Kaspian, kratz, carve	✓~	Ás < dash < dig	kaivaa 	Cave < carve < grave < grabe
119	to swim 	əlbi- 		ebiše- muke selbi-		ýüzmek 	鱼水 yuswumak <> juice 	<~	úszik 	uida 	yú@water
120	to fly 	dəyli- dəg- 	^^ dactyl duck > uc	deye-	+<<<	uçmak 	(fl)UG! Off	!	repül[y]	repül[y]	repulse=re.fly linda=bird rebhun;)
121	to walk 	girani- 	GIR 	okso- yabu-	++	ýöremek, barmak, gitmek	jire++ gyro geht	✓✓✓	megy sétál 		kav?aller
122	to come 	əmə- 	'om@…	ji-	+<	gelmek 	kel,ko’mak ++	✓	jön 	jön 	𓇍 yourn?
123	to lie 	ulə:- 	u’lie	dedu-	+-	ýatmak, uzanmak 	shut, jute?		fekszik 		Sick:siech:set^^ √fake  maat¬a!
124	to sit 	tə: 	<<>> (s)itur!	te-	<>	oturmak 	<<>> (s)itur!		ül 	istua@ül	sit @stuhl
125	to stand 	ɪlɪ- 	Áll  < Halt	ili-	Hun	durmak 	dura, turm!! ++	✓<<	áll 	seižuo 	HALT alift <> sit, cess
126	to turn 	ukukin- 		forgošo-		dönmek 	turn.make  бур+dön QED	✓✓	fordul 	pyöriä 	q/wende, pirouette
127	to fall 	tik- 		tuhe-		ýykylmak 	Yekyl dussel, kill <<	<~	esik 		sick^lie lang@pod?
128	to give 	bu:- 	bur/bear	bu-	Turk/PIE	bermek 	bear™ (auf)baren fair, dar, poner	<~	ad 	andua 	Hand out ante ad at yad … 𓏙𓀞  𓅱𓂧𓏴𓂡 !!!
129	to hold 	dʒɔ:tʃa- 	Tut ~ tzatja	jafa-	Turk	tutmak 	grab++ tut? Total? Donde?		fog 	pidiä 	Pfote > fetch > fog
130	to squeeze 	ʃir- 	~	hafita-	~ 	sykmak 	sqy.ez	✓	Szorít ~	puristaa 	press
131	to rub 	iki- 		monji-, monjira-	/	oýkamak, sürtenmek 	oýka<>eyes qed	✓<	dörzsöl 	--	! vs mörser
132	to wash 	ʃɪlkɪ- 	Ab-wash 💧	obo-		ýuwmak 	jew! 鱼雨 <> swimak	✓<	Mos < mwash	pestä 	沐洗 mùxǐ mnwässer @ pest
133	to wipe 	awʊ- 	a’wuip	fu- (Chinese?) mabula-	++?	süpürmek 	wish+  awʊ- fu  super+ sauber++ spühl	✓✓	töröl (Öl-Tuch)		tear, pull, wig?
134	to pull 	ta:n- 	darta	tata-	Turk	dartmak, çekmek 	dartj~drag awʊ-  tau/tract!	✓<	Huz < Thau-zieh?	vetää	fetch?
135	to push 	ana- 	Ana-tol ;)	ana-	;)	itmek 	Hit! ‘ttack	✓~	tol 	-- 	¬tow tauen
