 № 	English 	Chuvash 	Aryan		Turkmen 	Yakut 	Tuvan 	Khakas 	Standard Altai 	Tatar 	Bashkir 	Karachay-Balkar 	Kazakh 	Kyrgyz 	Uzbek 	Uyghur 	Turkmen 	Azerbaijani 	Turkish 	Crimean Tatar 	Karakhanid
37	man (adult male) 	арçын 	ER! < vir san~sir kek<>gök	🗸	erkek (adam) 	эр киһи 	эр (кижи) 	ир кiзi 	эр кижи 	ир 	ир 	эркиши, эркегирыу 	ер, еркек 	эркек 	erkak 	er, erkek 	erkek (adam) 	kişi 	erkek, er, adam (Ar.) 		اَرْ‎ (er)
38	man (human being) 	çын, этем 	<< insane, kysir, adam		ynsan, adam, kişi 	киһи 	кижи 	кiзi 	кижи 	кеше 	кеше, әҙәм 	адам 	кiсi, адам 	киши, адам 	kishi, odam, inson 	insan, kishi 	ynsan, adam, kişi 	insan, adam 	insan (Ar.), kişi (person, individual) 	insan, adam, kişi 	كِشٖى‎ (kišī)
39	child (a youth) 	ача 	chiculn! 𓅱 Balg	🗸	çaga 	оҕо 	уруг 	пала, олған 	бала 	бала, сабый 	бала, caбый 	сабий, бала 	бала 	бала 	bola, chaqa 	bola 	çaga 	bala, uşaq, çağa 	çocuk 	bala 	كَنْجْ‎ (kenč)
40	wife 	арăм 	girl, kardin/kathrin, care	🗸	aýal 	ойох, кэргэн 	кадай, амдыы кижи 	ипчiзi 	эмегени, ӱй кижизи,катын, 	хатын 	ҡатын 	къатын 	әйел, қатын 	аял, катын 	xotin, ayol, rafiqa 	xotun, xotin 	aýal 	arvad, əyal 	karı, avrat, kadın (woman) 	apay 	كِسْ‎ (kis)
41	husband 	упăшка 	ER, HusHer?	🗸	är, adam 	эр 	эр, ашак 	ирi 	öбöгöни, эр кижизи,эр 	ир 	ир 	эр 	күйеу 	күйөө 	er, kuyov 	er 	är, adam 	ər 	koca, er (man) 	aqay 	باكْ‎ (bēg)
42	mother 	анне 	ana, ama, egen?	🗸	eje 	ийэ 	ие, ава 	иӌе, ине 	эне 	ана 	әсә 	ана 	ана 	эне 	ona, aya, oyi 	ana 	eje 	ana 	anne, ana 	ana 	اَنا‎ (anā), اَبا‎ (ebē)
43	father 	атте 	papa, vata ! VS AMA! Köka	🗸	kaka 	аҕа 	ада, ача 	аба; ада 	ада 	ата 	ата 	ата 	әке, ата 	ата 	ota, ada 	ata, ota 	kaka 	ata 	baba, ata (ancestor) 	ata 	اَتا‎ (atā)
44	animal 	чĕр чун, выльăх 	! hurvan™ хайван (Pers.)	🗸	haýwan 	кыыл, харамай 	аң-мең, аң (beast) 	аң (beast) 	тынду; аҥ (beast) 	хайван (Pers.), җәнлек 	йәнлек, хайван 	хайыуан, джаныуар 	хайуан, жануар 	айбан, жаныбар, аң (beast) 	hayvon, jonivor 	haywan, janliq 	haýwan 	heyvan 	hayvan (Pers.) 	ayvan	
45	fish 	пулă 	bei.lake (l’aqua) !! uralic!	🗸	balyk 	балык 	балык 	палых 	балык 	балык 	балыҡ 	чабакъ 	балық 	балык 	baliq 	béliq 	balyk 	balıq 	balık 	balıq 	بَلِقْ‎ (balïq)
46	bird 	кайăк 	cuch! 𓅱 	!	guş 	көтөр; чыычаах (birdie) 	куш 	хус 	куш 	кош 	ҡош 	чыпчыкъ 	құс 	куш 	qush 	qush 	guş 	quş 	kuş 	quş 	قُشْ‎ (quš)
47	dog 	йытă 	Hunt : ит ! Köter 	🗸	it; köpek (male); güýük 	ыт 	ыт 	адай (Tung.?) 	ийт 	эт 	эт 	ит 	ит 	ит 	it, kuchuk, ko'ppak 	it 	it; köpek (male); güýük 	it, köpək 	köpek, it 	köpek, it 	اِتْ‎ (ït)
48	louse 	пыйтă 	bit ~ beetle!	🗸	bit 	быт 	быт 	пiт 	бийт 	бет 	бет 	бит 	бит 	бит 	bit 	pit 	bit 	bit 	bit 	bit 	بِتْ‎ (bit)
49	snake 	çĕлен 	schlange!! kʊlɪn  curlen	🗸	ýylan 	моҕой (Even.) , эриэн үөн 	чылан 	чылан 	jылан 	елан 	йылан 	джылан 	жылан 	жылан 	ilon 	yilan 	ýylan 	ilan 	yılan 	yılan 	يِلانْ‎ (yïlān)
50	worm 	ăман, хурт 	Curled !	🗸	gurt, gurçuk 	үөн 	курт, шыйлашкын 	хурт 	курт 	суалчан, чели 	ҡорт 	къурт 	құрт 	курт 	qurt 	qurut 	gurt, gurçuk 	qurd 	kurt, solucan 	qurt 	قُرْتْ‎ (qurt)
51	tree 	йывăç 	Mwood ++, borke	🗸	bag, agaç 	мас (Tung.) 	ыяш 	ағас 	агаш 	агач 	ағас 	терек 	ағаш 	бак, дарак 	daraxt; yogʻoch (wood) 	derex; yaghach 	bag, agaç 	ağac 	ağaç 	terek 	يِغَجْ‎ (yïɣač)
52	forest 	вăрман 	mùs 木 turkee tree	🗸	tokaý 	тыа, ойуур 	арга, арыг, эзим 	ағас 	арка, агаш 	урман 	урман 	чегет, агъач 	орман, тоғай 	токой 	oʻrmon, toʻqay 	ormanliq 	tokaý 	meşə, orman 	orman 	orman	
53	stick (of wood) 	патак, туя 	мод 木 stick~sтаяк ++ 	🗸	çöp; taýak (stick, cane) 	мас; баалкы (Rus) ; тайах 	будук, даянгыыш, сып 	таях 	табық 	таяк 	ботаҡ, сыбыҡ 	таякъ 	таяқ 	таяк 	yogʻoch, tayoq 	choxmaq,soyla; tayaq (stick, cane) 	çöp; taýak (stick, cane) 	çubuq 	değnek; çubuk, dayak (support) 	çubuq 	جِبِقْ‎ (čïbïq)
54	fruit 	çимĕç 	<< ≠malve		miwe 	фрукт (Rus) 	чимис 	фрукт, нимис 	јилек, јискен,јеммыш 	җимеш 	емеш 	кёгет 	жемiс 	жемиш 	meva 	méwe 	miwe 	meyvə 	yemiş, meyve (Pers.) 	meyva, yemiş 	يَمِشْ‎ (yémiš)
55	seed 	вăрлăх, вăрă 	urə 𓂋 !!! fruit 	>	tohum 	туораах, бурдук 	үрезин 	ӱрен 	ӱрен 	бөртек, орлык 	орлоҡ 	урлукъ 	ұрық, тұқым 	урук, үрөн 	urugʻ, tuxum 	uruq 	tohum 	toxum 	tohum (Pers.) , ur (lump, knob, tumor) 	urluq, tuhum 	اُرُغْ‎ (uruɣ)
56	leaf 	çулçă 	𓌾 		ýaprak 	сэбирдэх 	бүрү 	пӱр 	бӱр, бӱри,јабрак 	яфрак 	япраҡ 	чапракъ 	жапырақ 	жалбырак 	yaproq, barg 	yopurmaq 	ýaprak 	yarpaq 	yaprak 	yaprak 	يَبُرْغاقْ‎ (yapurɣāq)
57	root 	тымар 	Kök™ силис<>ciel!?		kök; düýp (base) 	силис; төрдө (base) 	дазыл 	чилеге; тазыл 	таммыр 	тамыр 	тамыр 	тамыр 	тамыр 	тамыр 	ildiz, tomir 	yiltiz 	kök; düýp (base) 	kök, tüp 	kök, damar (vein) 	tamır 	كُكْ‎ (kök), تُوبْ‎ (tǖp), يِلْدِزْ‎ (yïldïz)
58	bark (of tree) 	хупă, хуйăр 	*karbark кора (kora) barka	🗸🗸	gabyk 	хатырык 	чөвүрээ 	хахпас, хабых 	чобра,kabïq 	кабык 	ҡайыр, ҡабыҡ 	къабукъ 	қабық 	кабык 	qobiq, qobuq 	qowzaq 	gabyk 	qabıq 	kabuk 	qabuq 	قاسْ‎ (qās)
