№	English	Ossetian<Skythian<PIE (Iron) Ирон (Iron)	Ossetian (Digor) Дигорон (Digoron) 	PIE +++
187	rotten	æмбыд (æmbyd )		
188	dirty	чъизи (ḱ’izi)	цъумур (c’umur)	
189	straight	раст (rast)		right
190	round	тымбыл (tymbyl)		
191	sharp (as a knife)	цыргъ (cyrǧ)		
192	dull (as a knife)	къуымых (k’°ymyx)		
193	smooth	лæгъз (læǧz)		
194	wet	хуылыдз (x°ylyʒ)		
195	dry	хус (xus)		
196	correct	раст (rast)		right
197	near	фарсмæ (farsmæ), цур (cur)		kurz, far¬ 
198	far	дард (dard)	изол (izol)	durat
199	right	раст (rast)		
200	left	галиу (galiw )		
201	at	цур (cur)		𓂋
202	in	-ы (-y)*		à, iⁿ
203	with	æд (æd), -имæ (-imæ)*	æд (æd)	mi, et <> mit
204	and	æмæ, дæр (dær)	дæр (dær)	
205	if	куы (k°y)	ку (ku)	que
206	because	уымæн (wymæn), æмæ, уымæ (wymæ)	уомæн æма (uomæn æma), уомæ (uomæ)	
207	name	ном (nom)	ном (nom)	ном (nom)
