 № 	English 	Aryan		Telugu 	Tamil 	Malayalam 	Kannada 	Tulu 	Gondi 	Konda-Dora 	Brahui
38	man (human being) 	man…isi		మనిషి (maniṣi) 	மனிதன் (maṉitaṉ) 	ആള് (/aːɭɨ̆/), -ആൾ (/-aːɭ/) 	ಮಂದಿ (maṃdi) 	 	 	 	
39	child (a youth) 			పిల్ల (pilla) (female), పిల్లవాడు (pillavāḍu) (male) 	குழந்தை (kuḻantai), பிள்ளை (pillai) 	കുട്ടി (/kuʈʈi/), കുഞ്ഞ് (/kuɲɲɨ̆/), പിള്ള (/piɭɭa/), കിടാവ് (/kiʈaːʋɨ̆/) 	ಮಗು (magu), ಕೂಸು (koosu) 	 	 	 	 (cunaa, maxa)
40	wife 	man.eve	+?	పెళ్ళాం (peḷḷāM), భార్య (bhārya), ఆలి (āli) 	மனைவி (maṉaivi) 	കെട്ടിയവൾ (/keʈʈijaʋaɭ/), മണവാട്ടി (/maɳaʋaːʈʈi/) (bride) 	ಹೆಂಡತಿ (heNDati), ಮಡದಿ (maḍadi) 	 	 	 	
41	husband 			మొగుడు (moguḍu), భర్త (bharta), పెనిమిటి (penimiṭi) 	கணவன் (kaNavan) 	കെട്ടിയവൻ (/keʈʈijaʋan/), മണവാളൻ (/maɳaʋaːɭan/) (bridegroom) 	ಗಂಡ (gaNDa) 	 	 	 	
42	mother 	amma	++	అమ్మ (amma), తల్లి (talli) 	அம்மா (ammā) 	അമ്മ (/amma/), തള്ള (/t̪aɭɭa/) 	ಅಮ್ಮ (amma), ತಾಯಿ (thayi) 	 	 	 	 (ammaa)
43	father 	அப்பா (appā)	++ -?	నాన్న (nānna), తండ్రి (tandri) 	அப்பா (appā), தந்தை (thandhai) 	അച്ഛൻ (/at͡ʃt͡ʃʰan/), അപ്പൻ (/appan/), തന്ത (/t̪an̪t̪a/) 	ಅಪ್ಪ (appa) 	 	 	 	
44	animal 			జంతువు (jaMtuvu) 	விலங்கு (vilaṅku), மிருகம் (mirugam) 	 	 	 	 	 	
45	fish 	Min ~ naun	~+	చేప (cēpa) 	மீன் (mīṉ) 	മീൻ (/miːn/) 	ಮೀನು (meenu) 	 	 	 	
46	bird 	പറവ (/paraʋa/) 	++	పక్షి (pakṣi), పిట్ట (piṭṭa) 	பறவை (paṟavai) 	കിളി (/kiɭi/), പറവ (/paraʋa/) 	ಹಕ್ಕಿ (hakki) 	 	 	 	
47	dog 	Kuan*2, perro	~+	కుక్క (kukka) 	நாய் (nāy) 	പട്ടി (/paʈʈi/), നായ (/n̪aːja/) 	ನಾಯಿ (nāyi) 	 	 	 	
48	louse 			పేను (pēnu) 	பேன் (pēn) 	പേൻ (/peːn/) 	ಹೇನು (hēnu) 	 	 	 	
49	snake 	phy.mu <> wurm?	~?	పాము (pāmu) 	பாம்பு (pāmpu), நாகம் (nāgam) 	പാമ്പ് (/paːmpɨ̆/) 	ಹಾವು (hāvu) 	 	 	 	 (dûSva)
50	worm 	புழு (puzhu) <> pytho?		పురుగు (purugu) 	புழு (puzhu) 	പുഴു (/puɻu/), വിര (/ʋiɾa/) 	ಹುಳ (huLa) 	 	 	 	
51	tree 			చెట్టు (ceṭṭu) 	மரம் (maram) 	മരം (/maɾam/), ചെടി (/t͡ʃeʈi/) (plant) 	ಮರ (mara) 	 	 	 	 (draxt)
52	forest 			అడవి (aḍavi) 	காடு (kāṭu) 	കാട് (/kaːʈɨ̆/) 	ಕಾಡು (kāḍu) 	 	 	 	
53	stick (of wood) 			కర్ర (karra), కట్టె (kaṭṭe) 	குச்சி (kucci) 	വടി (/ʋaʈi/), കമ്പ് (/kampɨ̆/) (twig), കോൽ (/koːl/) (staff) 	ಕೋಲು, ಕಡ್ಡಿ, ಬಡಿ 	 	 	 	
54	fruit 	പഴം (/paɻam/)	~+	పండు (paNḍu), ఫలము (phalamu) 	பழம் (paḻam) 	പഴം (/paɻam/), കായ്‌ (/kaːjɨ̆/) 	ಹಣ್ಣು 	 	 	 	
