No. 	English	PIE	Hindi	Bengali 	Farsi/Persian	Romani 	PIE 2		Tajik 	Kurdish (Central) 	Mazandarani (Tabari) 	Punjabi[1] 	Urdu 	Nepali 	Gujarati 	Zazaki @ Turk	PIE 3			
59	flower 	phulvr pulver:pollen fallen!	✓	फूल phūl 	گل gol 	ফুল phul 	lilidy™	✓✓	luludyi 	гул 	gull 	گل gol 	ਫੁੱਲ 	پھول phūl 	फूल 	vıle, fıle	vıle, fıle < f’lower	✓		
60	grass 	ghass + char  = grass	✓	घास ghās 	علف alaf 	গাস ghash 	घास ghās chaors	✓✓	char 	алаф 	allif 	بند ِواش band-e-vash 	ਘਾਹ 	گھاس ghās 	घाँस 	vaş	Fresh? گھاس ghās	✓		
61	rope 	𓎛 DHR cord QED  𓍿  طناب tanåb 2	!!!	डोरी ḍōrī 	طناب tanåb 	দড়ী ḍori 	Seil.o	✓✓	shelo 	таноб 	tenaf 	رَسِن rasen 	ਰੱਸੀ 	رسی rassī 	डोरी 	urgan		<<<		
62	skin 	khroma, skim	✓	चमड़ी camṛī 	پوست pust 	চামড়া camṛa 	<> pustel?	?<<<>>>	morchi 	пӯст 	pêst 	جلد jeld 	ਖੱਲ/ਚਮੜੀ 	چمڑا camṛa 	छाला 	post	peltst, post=outer	✓		
63	meat 	Meath, Goĝi @ Korean	✓ <<<	मांस/गोश्त mā̃s/gośt 	گوشت gušt 	মাংস/গোশ্ত mangsho/goshto 	meth@	✓✓	mas 	гӯшт 	goşt 	گوشت gusht 	ਮਾਸ 	گوشت gošt 	मासु 	goşt	gastro…	✓ !		
64	blood 	red! Lack, 血 [血] xuèn < k/hong	✓™	रक्त, ख़ून, लहू rakt, xūn, lahū 	خون khun 	রক্ত rôkto 	rot	✓✓	rat 	хун 	xwên 	خون khun 	ਲਹੂ/ਖ਼ੂਨ/ਰੱਤ 	خون, لہو rakt, xūn, lahū 	रगत  rakta	goni	xun 𐭧𐭥𐭭‎  血xuèn XIN 心 KIN ♡ 	✓ !!	血 china/jaun:yellow?	
65	bone 	Hosteo-Khari < korn	✓™	हड्डी haḍḍī 	استخوان ostokhån 	হাড়ী haṛi 			kokalo 	устухон 	êsk 	هِسِّکا hesseka 	ਹੱਡੀ 	ہڈی haḍḍī 	हाड,हड्डी 	este	osteo	✓		
66	fat (n.) 	carbon™ körper fass vasa fath	✓™	वसा/चरबी vasā/carbī 	روغن/چربی charbi/rowghan 	চর্বি corbi 			thulo 	равған 	çewrî 	راغون/چَلبی raghun/chalbi 	ਚਰਬੀ 	چربی carbī 	बोसो 	Şişman ?	carbon?	?		
67	egg 	蛋 [蛋] dàn @ t’animal	<<<<	अंडा anḍā 	تخم tokhm 	ডিম ḍim 			anro 	тухм 	hêlke 	مرغانه merghane 	ਆਂਡਾ 	انڈا anḍā 	फुल,अण्डा 	hag	HEgg < hatch, hegen @ Hecke?	+ <<		
68	horn 	𓌳 sichorn > sicheln!	✓<<<?	सींग sī̃g 	شاخ šâkh 	শিং shing 	𓄃		shing 	шох 	şax ਸਿੰਗ 	سینگ sī̃g 	सिङ 	ustıne			şax ਸਿੰਗ	<<?		
69	tail 	dommel, puschel, lasso	~~	दुम/पूँछ dum/pū̃ch 	دم dom 	লেজ lej 	pony?		pori 	дум 	kilk 	دم dem 	ਪੂਛ 	دم dum 	पुच्छर 	tım, dım	Tail.ma dommel	;)	<> atom	
70	feather 	pahr, fur	✓!<	पंख/पर pãkh/par 	پر par 	পর pôr 		✓	por 	пар 	perr 	پر par 	ਖੰਭ/ਪਰ 	پر par 	प्वाँख 	fır, mu	fur	✓		
71	hair 	ball, mwolle, maol 毛	✓!<	बाल/केश bāl/keś 	مو mu 	চুল cul 		<~	bal 	мӯ 	mû 	می mi 	ਵਾਲ਼/ਕੇਸ 	بال bāl 	कपाल,रौँ 	gıck, porr	phair Ball! Vs shair!	<< !		
72	head 	首shourpf @SEM Mhead Matte@KOR	~<	सर sar 	سر sar 	মাথা matha 		!	shero 	сар 	ser 	سَر sar 	ਸਿਰ 	سر sar 	टाउको,शिर 	ser, qaf	Shair @ SAR ↔ RAS	!!! <<		
73	ear 	kohrn@*		कान kān 	گوش guš 	কান kān 	kohrn@ural,turk		kan 	гӯш 	gwê 	گوش gush 	ਕੰਨ 	کان kān 	कान 	goş	Goschen	!+	DE	
74	eye 	Augh, seesm, chasm	✓	आँख ā̃kh 	چشم cheshm 	চোখ cokh 	eyakhe ayge	✓✓	jakh 	чашм 	çaw 	چـِش chesh 	ਅੱਖ/ਨੈਣ 	آنکھ ā̃kh 	आँखा 	çım	Auge, sees, seem	✓	DE	
75	nose 	Noce <> knock! bi.noize > bizi 	✓	नाक nāk 	دماغ/بینی bini/damågh 	নাক nak 		✓✓	nakh 	[[]] 	lût 	دِماغ demagh 	ਨੱਕ 	ناک nāk 	नाक 	zınci, pırnıke	Zinke!	✓ +	DE	
76	mouth 	muhk! Dan:zahn 𓂎:	✓	मूँह/मुख mū̃h/mukh 	دهن dahan 	মুখ mukh 		✓✓	muj 	даҳон 	dem, zar 	داهون dahun 	ਮੂੰਹ 	منہ mū̃h 	मुख 	fek	Face < le.pu* fresse	✓ ?	منہ mū̃h	
77	tooth 	دندان dandån , दाँत dãt 	✓	दाँत dãt 	دندان dandån 	দাঁত dãt 	dent	✓✓	dand 	дандон 	didan ਦੰਦ 	دانت dãt 	दाँत 	dından			dentzan	✓		
78	tongue 	Sabbern! ;)	™!? ;)	जीभ/ज़बान jībh/zabān 	زبان zabån 	জীভ/জিহবা jibh/jibba 			shib 	забон 	ziman 	زوون zevun 	ਜੀਭ/ਜ਼ੁਬਾਨ 	زبان zabån 	जिब्रो 	zon, zuan	zuange	✓	DE	
79	fingernail 	nokhuln	✓	नाख़ुन nāxūn 	ناخن nâkhun 	নখ nôkh 			vundya 	нохун 	nînok ਨਹੁੰ 	ناخن nâkhun 	नङ 	nengu, nake			Nagel	✓	DE	
80	foot 	pa, paw, pair, bein!	✓	पैर/पांव pair/pā̃v 	پا pâ 	পা pa 	bein	;)	punro 	по 	pê 	چَک chak 	ਪੈਰ 	پیر/پاؤں pair/pā̃v 	खुट्टा 	pa	pair of pedes	✓ +		
81	leg 	pa, paw	✓	टांग/पांव ṭāng/pā̃v 	لنگ leng 	পা pa 	fuß	;)	fujeri 	линг 	laq, ling 	لینگ ling 	ਲੱਤ 	ٹانگ/پاؤں ṭāng/pā̃v 	गोडा 	leng	Long link > leg	✓ ++		
82	knee 	canie	~ <	घुटना ghuṭnā 	زانو zânu 	হাঁটু hãṭu 	gkañie	✓	chang 	зону 	ejno ਗੋਡਾ 	زانو zânu 	घुँडा 	zana			Zan ~ k’nee ~ ankle	~		
83	hand 	हाथ hāth 	✓!	हाथ hāth 	دست dast 	হাত hat 		<<<	vast 	даст 	dest 	دَس/بال das/bal 	ਹੱਥ 	ہاتھ hāth 	हात 	dest	Dos ~ donh hand ہاتھ hāth	!		
84	wing 	pflugk	~✓	पंख pãkh 	بال bâl 	পাখা pakha 	flugk	✓	phak 	бол 	ball 	بال bal 	ਖੰਭ 	پر par 	पंखेटा 	perre	par, fur @ bird	✓ !		
85	belly 	pot belly bottom	✓	पेट peṭ 	شکم šekam 	পেট peṭ 		~<	per 	шикам 	sik 	اِشکِم eshkem 	ਢਿੱਡ 	پیٹ peṭ 	पेट 	Navık ?	pot	✓		
86	guts 	interi’ burry<>belly	<✓	अंतड़ी antaṛī 	روده rude 	ভুড়ী bhuṛi 	^^		porra 	рӯда 	rîxolle 	چنیک chenik 	ਆਂਦਰ 	انتڑی antaṛī 	आन्द्रा 	Logare	Interior, Lunge?	✓, ?		
87	neck 	gorgel, gordan!	<✓	गर्दन gardan 	گردن gardan 	গলা gôla 	𓐍𓐍𓄈 кърга gurgel	✓	korr 	гардан 	mil 	گِس ges 	ਧੌਣ/ਗਲ 	گردن gardan 	घाँटी 	gerdan	gurgel	✓		
88	back 	post, beith! 北	<✓	पीठ pīṭh 	پشت/پس pas/posht 	পীঠ piṭh 		<?	dumo 	пушт 	dwa, pişt 	پِشت pesht 	ਕੰਡ/ਢੂੰਹੀ 	پیٹھ pīṭh 	पिठ्युँ,ढाड 	pey	back=pack	✓ +		
89	breast 	chearti	<	छाती/सीना chātī/sīnā 	سینه sine 	বুক buk 	tcitce	✓	chuchi 	сина 	sîng 	سینه sine 	ਹਿੱਕ/ਛਾਤੀ 	چھاتی/سینه chātī/sīnā 	स्तन stana	sine	Sine < Zizen? Stunning	??<		
90	heart 	DIL Teil????	???	दिल dil 	دل del 	মন/হৃদয় 		<?	jilo 	дил 	dill 	دل del 	ਦਿਲ/ਹਿਰਦਾ 	دل dil 	मुटु 	zerre	zheart, Herz Teil “zirδ > dil ;)”	! -		
91	liver 	kol(dampf)<kar,coeur		कलेजा kalejā 	جگر jegar 	কলজে kolje 			buko 	ҷигар 	cerg 	جیگر jiger 	ਜਿਗਰ/ਕਾਲਜਾ 	جگر jigar 	कलेजो 	cigera siya		/		
92	drink 	pina™  …na = …en	✓™	पीना pīnā 	نوشیدن nušidan 	পান pana 	El,al,lel == .en	pij.en	pijel 	нӯшидан 	xwardinewe ਪੀਣਾ 	پینا pīnā 	पिउनु 	şimitene			pina colada	✓		
93	eat 	chien, carne, kauen	~✓	खाना khānā 	خوردن khordan 	খাওয়া khaoa 		esx.en	xal 	хӯрдан 	xwardin 	بَخاردِن baxarden 	ਖਾਣਾ 	کھانا khānā 	खानु 	werdene	Kauen / werden !			
94	bite 	cut	~✓	काटना kāṭnā 	گزیدن gazidan 	কামড়ানো kamṛano 			dindalel 	газидан 	gestin 	دَئیشتِن da'ishten 	ਵੱਢਣਾ 	کترنا kaṭarnā 	टोक्नु 	baziten	beißen!! bazi’eaten	++		
95	suck 	~	~	चूसना cūsnā 	مکیدن makidan 	চোষা cosha 		~	chuchi pel 	макидан 	mijtin 	بَلِشتِن baleshten 	ਚੂਸਣਾ 	چوسنا cūsnā 	चुस्नु 	likitene	lick	✓		
96	spit 	𓏏 𓈙 𓂐 туф toƒ thūk थूक spit	~	थूक thūk 	دشنه/تف tof/dešne 	ছ্যাপ/থুতু sêp/thutu 		~	shungardel 	туф кардан 	tif kirdin 	تف tof 	ਥੁੱਕਣਾ 	تھوکنا thūk 	थुक्नु 	tu kerdış	Du kotzt	✓		
97	vomit 	kai’dzan, bomit!	~✓	क़ै Qay 	kai kardan قی کردن 	বমি bomi 		;)	shandel 	қай кардан 	rişanewe 	اخ تف akh tof 	ਕੈ ਕਰਨੀ/[[ਉਲਟੀ ਕਰਨੀ 	قے Qay 	बान्ता 	ravırıznayene	/	/		
98	blow 	phuci.tan	✓	फूँकना phũkna 	وزیدن vazidan 	ফুঁ দেত্তয়া phũ dêoa 	Pust < !	<~	phurdel 	вазидан 	fû kirdin 	سَر هاکِردِن sar hakerden 	ਫੂਕਣਾ/ਝੱਲਣਾ 	پھونکنا phũkna 	फुक्नु 	puf kerdış	puff [tun] pusten	✓		
99	breathe 	…na = …en		सांस लेना sā̃s lenā 	دم زدن/نفس کشیدن nafas kashidan/dam zadan 	শ্বাস নেওয়া shash neoa 	≠suffocate!		shanshel 	нафас кашидан 	henase dan 	نفس بَکشی‌ین nafes bakshiyen 	ਸਾਹ ਲੈਣਾ 	سانس لینا sā̃s lenā 	स्वास लिनु 	nefes gırewtene	@Nose			
